method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
MaxLoss,fashion_mnist,0,0.3,0.0,200,200,5000,0,220,4390,4610,0.9362237160094082,0.7923,0.9,,,,,3.6139256600290537,0,1,201,0.6954545454545454,0.0,0.7347729206085205,0.7347729206085205,0.9745094776153564,0.024024578534304824,0.9178082191780822,0.954337899543379,0.91324200913242,0.0,0.0,0.23715452653570385,1.381422736732148
Marginal,fashion_mnist,0,0.3,0.0,200,200,5000,0,220,2555,2775,0.5808921449352056,0.3278,0.3523,,,,,4.085632028058171,0,1,201,0.3,0.0,0.6629099249839783,0.6629099249839783,0.9941326379776001,0.020028193383456364,0.9360730593607306,0.958904109589041,0.9360730593607306,0.0,0.0,0.2544670810581799,1.3727664594709101
EL2N,fashion_mnist,0,0.3,0.0,200,200,5000,0,220,3967,4187,0.8569707638816908,0.6637,0.783,,,,,4.47608377225697,0,1,201,0.5636363636363636,0.0,0.7158864140510559,0.7158864140510559,0.9890083074569702,0.022461804625106184,0.91324200913242,0.958904109589041,0.908675799086758,0.0,0.0,0.2400279472869011,1.3799860263565495
GraNdLast,fashion_mnist,0,0.3,0.0,200,200,5000,0,220,3888,4108,0.8418899840908125,0.648,0.7655,,,,,4.753346797078848,0,1,201,0.5363636363636364,0.0,0.7003785967826843,0.7003785967826843,0.9854400157928467,0.023152215159646997,0.9269406392694064,0.958904109589041,0.9269406392694064,0.0,0.0,0.24979447915789596,1.375102760421052
RHO-PretrainRef,fashion_mnist,0,0.3,0.0,200,200,5000,0,220,4445,4665,0.9462422293727286,0.8286,0.921,,,,,5.221804415807128,0,1,201,0.6909090909090909,0.0,0.7293258905410767,0.7293258905410767,0.9808440208435059,0.02383736524407722,0.9406392694063926,0.958904109589041,0.9406392694063926,0.0,0.0,0.238972140649735,1.3805139296751325
PU-R,fashion_mnist,0,0.3,0.0,200,200,5000,0,220,2878,3098,0.6450060840579681,0.4436,0.4715,,,,,7.871823356486857,0,1,201,0.42272727272727273,0.0,0.7006555199623108,0.7006555199623108,0.983122706413269,0.02396319160178372,0.9178082191780822,0.958904109589041,0.9178082191780822,0.0,0.0,0.24839375063712896,1.3758031246814355
GREATS,fashion_mnist,0,0.3,0.0,200,200,5000,0,220,4245,4465,,0.7509,0.8682,,,,,8.066709739156067,0,1,201,0.7090909090909091,0.0,0.726403534412384,0.726403534412384,0.9881401658058167,0.02466613312834474,0.908675799086758,0.958904109589041,0.908675799086758,0.0,0.0,0.24230802106339955,1.3788459894683003
MaxLoss,fashion_mnist,0,0.3,0.1,200,200,4500,500,220,3748,3968,0.8997496623196639,0.7063999999999999,0.8364,,,,,3.032303787767887,0,1,201,0.6772727272727272,0.0,0.7318365573883057,0.7318365573883057,0.9879242777824402,0.02511746807185482,0.9269406392694064,0.958904109589041,0.9269406392694064,0.0,0.0,0.23944191603330137,1.3802790419833493
Marginal,fashion_mnist,0,0.3,0.1,200,200,4500,500,220,2231,2451,0.5718892830773257,0.3438,0.3653,,,,,3.855869174003601,0,1,201,0.29545454545454547,0.0,0.6658402681350708,0.6658402681350708,0.9916994571685791,0.02127693505047663,0.9406392694063926,0.958904109589041,0.9406392694063926,0.0,0.0,0.2521424498987941,1.373928775050603
EL2N,fashion_mnist,0,0.3,0.1,200,200,4500,500,220,3657,3877,0.8807761397329159,0.7118,0.8138,,,,,4.196871167048812,0,1,201,0.5681818181818182,0.0,0.7156105041503906,0.7156105041503906,0.98847496509552,0.022178479253429258,0.91324200913242,0.954337899543379,0.91324200913242,0.0,0.0,0.24230939137973834,1.378845304310131
GraNdLast,fashion_mnist,0,0.3,0.1,200,200,4500,500,220,3440,3660,0.8349817471462302,0.645,0.7559,,,,,4.398571010679007,0,1,201,0.4954545454545455,0.0,0.7003167867660522,0.7003167867660522,0.9900528192520142,0.022813935530240134,0.9315068493150684,0.9634703196347032,0.9315068493150684,0.0,0.0,0.24608459079124573,1.376957704604377
RHO-PretrainRef,fashion_mnist,0,0.3,0.1,200,200,4500,500,220,3800,4020,0.9105131057440303,0.7399,0.8669,,,,,4.8012144127860665,0,1,201,0.6681818181818182,0.0,0.7264696955680847,0.7264696955680847,0.9787945747375488,0.023576535862874767,0.908675799086758,0.9634703196347032,0.908675799086758,0.0,0.0,0.24036279071484892,1.3798186046425756
PU-R,fashion_mnist,0,0.3,0.1,200,200,4500,500,220,2379,2599,0.6046156519441865,0.38180000000000003,0.4166,,,,,7.263729948550463,0,1,201,0.41363636363636364,0.0,0.6875227093696594,0.6875227093696594,0.9882268905639648,0.022370890259198403,0.9315068493150684,0.958904109589041,0.9315068493150684,0.0,0.0,0.24842425122660539,1.3757878743866974
GREATS,fashion_mnist,0,0.3,0.1,200,200,4500,500,220,3702,3922,,0.7067,0.8283,,,,,7.392536890693009,0,1,201,0.6590909090909091,0.0,0.7321355938911438,0.7321355938911438,0.9783017635345459,0.023054751086997116,0.9360730593607306,0.958904109589041,0.9360730593607306,0.0,0.0,0.238543143228186,1.380728428385907
MaxLoss,fashion_mnist,0,0.3,0.2,200,200,4000,1000,220,3414,3634,0.9253885134239681,0.7719,0.8855,,,,,2.9149634167551994,0,1,201,0.7227272727272728,0.0,0.7270098924636841,0.7270098924636841,0.9813399314880371,0.024737584128227408,0.9269406392694064,0.958904109589041,0.9269406392694064,0.0,0.0,0.24277242569099292,1.3786137871545034
Marginal,fashion_mnist,0,0.3,0.2,200,200,4000,1000,220,1997,2217,0.5829585448373109,0.34919999999999995,0.3751,,,,,3.671239004470408,0,1,201,0.2863636363636364,0.0,0.6728726625442505,0.6728726625442505,0.9942538738250732,0.020603626830392775,0.9360730593607306,0.958904109589041,0.9315068493150684,0.0,0.0,0.2503394230232082,1.3748302884883958
EL2N,fashion_mnist,0,0.3,0.2,200,200,4000,1000,220,3093,3313,0.8503597081289627,0.6846,0.7812,,,,,3.9400048200041056,0,1,201,0.5772727272727273,0.0,0.6942797303199768,0.6942797303199768,0.987594485282898,0.022476453487187215,0.9178082191780822,0.958904109589041,0.9178082191780822,0.0,0.0,0.2500542425116036,1.3749728787441982
GraNdLast,fashion_mnist,0,0.3,0.2,200,200,4000,1000,220,3036,3256,0.8367988538229838,0.6527000000000001,0.756,,,,,4.161810923367739,0,1,201,0.5590909090909091,0.0,0.6947464942932129,0.6947464942932129,0.9838372468948364,0.02312199056965031,0.9315068493150684,0.958904109589041,0.9315068493150684,0.0,0.0,0.2500128677989225,1.3749935661005388
RHO-PretrainRef,fashion_mnist,0,0.3,0.2,200,200,4000,1000,220,3384,3604,0.9185042481985874,0.7486999999999999,0.8745,,,,,4.457211107946932,0,1,201,0.7090909090909091,0.0,0.7299943566322327,0.7299943566322327,0.976630687713623,0.024611795873946796,0.9315068493150684,0.958904109589041,0.9269406392694064,0.0,0.0,0.24141687340565332,1.3792915632971734
PU-R,fashion_mnist,0,0.3,0.2,200,200,4000,1000,220,2371,2591,0.6754977036034688,0.4646,0.5152,,,,,6.954361982643604,0,1,201,0.4590909090909091,0.0,0.6901392936706543,0.6901392936706543,0.9875874519348145,0.02187430940262259,0.9315068493150684,0.9634703196347032,0.9315068493150684,0.0,0.0,0.2493057182624743,1.375347140868763
GREATS,fashion_mnist,0,0.3,0.2,200,200,4000,1000,220,3227,3447,,0.6865,0.8138,,,,,6.820658629760146,0,1,201,0.6863636363636364,0.0,0.7306737303733826,0.7306737303733826,0.9741053581237793,0.02356189135547098,0.9360730593607306,0.954337899543379,0.9315068493150684,0.0,0.0,0.23884691141787015,1.380576544291065
MaxLoss,fashion_mnist,0,0.3,0.3,200,200,3500,1500,220,2881,3101,0.9057721173739992,0.7273000000000001,0.8511,,,,,2.8449819069355726,0,1,201,0.6772727272727272,0.0,0.7304744124412537,0.7304744124412537,0.9788894057273865,0.024284702321710108,0.9360730593607306,0.9634703196347032,0.9360730593607306,0.0,0.0,0.2405974905406824,1.3797012547296588
Marginal,fashion_mnist,0,0.3,0.3,200,200,3500,1500,220,1702,1922,0.5797000793390907,0.32930000000000004,0.349,,,,,3.4369523376226425,0,1,201,0.2909090909090909,0.0,0.668870747089386,0.668870747089386,0.989627480506897,0.022442680379571436,0.91324200913242,0.9634703196347032,0.91324200913242,0.0,0.0,0.2568271857292393,1.3715864071353803
EL2N,fashion_mnist,0,0.3,0.3,200,200,3500,1500,220,2721,2941,0.8630910313222557,0.6898,0.7934,,,,,3.6950352620333433,0,1,201,0.5636363636363636,0.0,0.7013967037200928,0.7013967037200928,0.9858009815216064,0.02325784193870684,0.9041095890410958,0.958904109589041,0.8995433789954338,0.0,0.0,0.24779512131396286,1.3761024393430186
GraNdLast,fashion_mnist,0,0.3,0.3,200,200,3500,1500,220,2632,2852,0.8390247462084517,0.6527000000000001,0.7531,,,,,3.8814569180831313,0,1,201,0.4818181818181818,0.0,0.692811131477356,0.692811131477356,0.9867545962333679,0.022507894665138906,0.9406392694063926,0.954337899543379,0.9315068493150684,0.0,0.0,0.24940471256701413,1.375297643716493
RHO-PretrainRef,fashion_mnist,0,0.3,0.3,200,200,3500,1500,220,2856,3076,0.899162910936866,0.7197,0.8446,,,,,4.144197512418032,0,1,201,0.6818181818181818,0.0,0.7278568148612976,0.7278568148612976,0.9854578375816345,0.0238671585849431,0.9497716894977168,0.9634703196347032,0.9497716894977168,0.0,0.0,0.23932046622230643,1.3803397668888469
PU-R,fashion_mnist,0,0.3,0.3,200,200,3500,1500,220,1956,2176,0.6516209125402384,0.4376,0.4757,,,,,6.319343737326562,0,1,201,0.38181818181818183,0.0,0.6802794933319092,0.6802794933319092,0.9895975589752197,0.021242420150809092,0.9178082191780822,0.9634703196347032,0.9178082191780822,0.0,0.0,0.24937505184884212,1.3753124740755789
GREATS,fashion_mnist,0,0.3,0.3,200,200,3500,1500,220,2904,3124,,0.7457,0.8536,,,,,6.371443599462509,0,1,201,0.6636363636363637,0.0,0.7317053079605103,0.7317053079605103,0.9731011390686035,0.02295153026711451,0.9269406392694064,0.954337899543379,0.9223744292237442,0.0,0.0,0.23725475854532388,1.381372620727338
MaxLoss,fashion_mnist,0,0.3,0.4,200,200,3000,2000,220,2487,2707,0.9220663015730679,0.7499,0.8718,,,,,2.75875580124557,0,1,201,0.6545454545454545,0.0,0.725386381149292,0.725386381149292,0.9784141778945923,0.024167183327348265,0.9315068493150684,0.954337899543379,0.9269406392694064,0.0,0.0,0.24136141979768494,1.3793192901011575
