method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,group_revisit_rate,unique_group_fraction,max_group_selection_fraction,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu,dynamic_redundancy_weight,variant,sweep_name,sweep_value,mu,global_redundancy_weight,residual_rank,gamma_value
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,100,100,3500,1500,104,1318,1422,0.4361771795665845,0.27349999999999997,0.2735,,,,,2.0008968139300123,0,0,101,0.8173076923076923,0.8269230769230769,0.7258754968643188,0.7258754968643188,0.9954508543014526,0.08528397210593362,0.7184466019417476,0.7961165048543689,0.7184466019417476,0.9807692307692307,0.019230769230769232,0.8269230769230769,0.6646953053493418,0.17307692307692307,0.271891809343039,1.3640540953284805,1.3640540953284805,mu=1,mu,1.0,1.0,1.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,200,200,3500,1500,204,1292,1496,0.45757957780733705,0.35150000000000003,0.3515,,,,,5.654312358004972,0,1,201,0.7745098039215687,0.8333333333333334,0.7978479862213135,0.7978479862213135,0.9935411214828491,0.05824957428307369,0.729064039408867,0.8817733990147784,0.729064039408867,0.9901960784313726,0.00980392156862745,0.8333333333333334,0.6500224216483541,0.16666666666666666,0.2269024328041661,1.386548783597917,1.386548783597917,mu=1,mu,1.0,1.0,1.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,3500,1500,54,1367,1421,0.4358875657781027,0.29900000000000004,0.299,,,,,0.8404811570653692,0,0,51,0.7592592592592593,0.8888888888888888,0.702753484249115,0.702753484249115,0.9970451593399048,0.13577429359813906,0.5283018867924528,0.5471698113207547,0.5283018867924528,0.9629629629629629,0.037037037037037035,0.8888888888888888,0.5032583347756457,0.1111111111111111,0.31572516840690484,2.0132061236948213,1.3421374157965476,mu=1.5,mu,1.5,1.5,1.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,100,100,3500,1500,104,1319,1423,0.4364667828194797,0.27575000000000005,0.27575,,,,,2.020783170009963,0,0,101,0.7980769230769231,0.8461538461538461,0.7217970490455627,0.7217970490455627,0.9955267906188965,0.0915440216805171,0.6893203883495146,0.7669902912621359,0.6893203883495146,0.9807692307692307,0.019230769230769232,0.8461538461538461,0.6193821946787638,0.15384615384615385,0.2782853453303464,2.04128599100224,1.3608573273348268,mu=1.5,mu,1.5,1.5,1.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,200,200,3500,1500,204,1284,1488,0.45526855054777116,0.35250000000000004,0.3525,,,,,5.66000927996356,0,1,201,0.7647058823529411,0.8284313725490197,0.7972638010978699,0.7972638010978699,0.9933164119720459,0.060407671435125945,0.7093596059113301,0.8669950738916257,0.7044334975369458,0.9901960784313726,0.00980392156862745,0.8284313725490197,0.6612805854775594,0.1715686274509804,0.22841849507782863,2.0786861286916287,1.3857907524610857,mu=1.5,mu,1.5,1.5,1.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,3500,1500,54,1366,1420,0.4355979414540343,0.2995,0.2995,,,,,0.8649549999972805,0,0,51,0.8333333333333334,0.8518518518518519,0.7268748879432678,0.7268748879432678,0.996842622756958,0.10928531525269994,0.7169811320754716,0.6981132075471698,0.6981132075471698,0.9629629629629629,0.037037037037037035,0.8518518518518519,0.6051865766334205,0.14814814814814814,0.2796986262420334,1.3601506868789834,0.0,lambda=0,global_redundancy_weight,0.0,1.0,0.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,100,100,3500,1500,104,1327,1431,0.4387832303182222,0.27825,0.27825,,,,,2.018059954047203,0,0,101,0.8461538461538461,0.8269230769230769,0.731430172920227,0.731430172920227,0.9952683448791504,0.07748260399670277,0.8155339805825242,0.8349514563106796,0.7961165048543689,0.9807692307692307,0.019230769230769232,0.8269230769230769,0.6646953053493418,0.17307692307692307,0.26335358510202844,1.3683232074489857,0.0,lambda=0,global_redundancy_weight,0.0,1.0,0.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,200,200,3500,1500,204,1315,1519,0.464220100606326,0.35550000000000004,0.3555,,,,,5.637084161047824,0,1,201,0.7794117647058824,0.8235294117647058,0.8010976314544678,0.8010976314544678,0.993660569190979,0.05516581347423234,0.7684729064039408,0.9064039408866995,0.7684729064039408,0.9901960784313726,0.00980392156862745,0.8235294117647058,0.672294817075638,0.17647058823529413,0.22358657054710898,1.3882067147264454,0.0,lambda=0,global_redundancy_weight,0.0,1.0,0.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,3500,1500,54,1369,1423,0.4364667828194797,0.29974999999999996,0.29975,,,,,0.8487397109856829,0,0,51,0.7962962962962963,0.8703703703703703,0.7140724062919617,0.7140724062919617,0.9969278573989868,0.12117438946130141,0.6415094339622641,0.6415094339622641,0.6415094339622641,0.9629629629629629,0.037037037037037035,0.8703703703703703,0.5564215672884281,0.12962962962962962,0.29631376011913435,1.3518431199404328,0.6759215599702164,lambda=0.5,global_redundancy_weight,0.5,1.0,0.5,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,100,100,3500,1500,104,1320,1424,0.43675637553678825,0.276,0.276,,,,,2.0018803200218827,0,0,101,0.8269230769230769,0.8269230769230769,0.7256713509559631,0.7256713509559631,0.9952805042266846,0.08315157022291017,0.7475728155339806,0.8058252427184466,0.7475728155339806,0.9807692307692307,0.019230769230769232,0.8269230769230769,0.6646953053493418,0.17307692307692307,0.2700968133086406,1.3649515933456797,0.6824757966728399,lambda=0.5,global_redundancy_weight,0.5,1.0,0.5,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,200,200,3500,1500,204,1283,1487,0.4549796255887486,0.348,0.348,,,,,5.647394145024009,0,1,201,0.7598039215686274,0.8137254901960784,0.7981964945793152,0.7981964945793152,0.9931632280349731,0.05737719600423803,0.7487684729064039,0.8916256157635468,0.7487684729064039,0.9901960784313726,0.00980392156862745,0.8137254901960784,0.6936126404300949,0.18627450980392157,0.22641473479890137,1.3867926326005493,0.6933963163002747,lambda=0.5,global_redundancy_weight,0.5,1.0,0.5,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,3500,1500,54,1368,1422,0.4361771795665845,0.29874999999999996,0.29875,,,,,0.8457160550169647,0,0,51,0.7962962962962963,0.8703703703703703,0.7056053876876831,0.7056053876876831,0.996968150138855,0.1255852478855061,0.5849056603773585,0.6037735849056604,0.5849056603773585,0.9629629629629629,0.037037037037037035,0.8703703703703703,0.5564215672884281,0.12962962962962962,0.304048498579196,1.347975750710402,1.347975750710402,lambda=1,global_redundancy_weight,1.0,1.0,1.0,0,0.6931471805599453
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,100,100,3500,1500,104,1318,1422,0.4361771795665845,0.27349999999999997,0.2735,,,,,2.001534797018394,0,0,101,0.8173076923076923,0.8269230769230769,0.7258754968643188,0.7258754968643188,0.9954508543014526,0.08528397210593362,0.7184466019417476,0.7961165048543689,0.7184466019417476,0.9807692307692307,0.019230769230769232,0.8269230769230769,0.6646953053493418,0.17307692307692307,0.271891809343039,1.3640540953284805,1.3640540953284805,lambda=1,global_redundancy_weight,1.0,1.0,1.0,0,0.6931471805599453
