method,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-C,0,0.3,0.0,50,50,3000,0,54,406,460,0.17645711061777547,0.10229999999999995,0.27178612496936694,0,0,51,0.4074074074074074,0.42592592592592593,0.7210921049118042
PU-C,0,0.3,0.0,100,100,3000,0,104,385,489,0.18672525027068332,0.1028,0.5107202910003252,0,0,101,0.36538461538461536,0.38461538461538464,0.7537359595298767
PU-C,0,0.3,0.0,200,200,3000,0,204,251,455,0.1746836540987715,0.061000000000000054,1.0319581659859978,0,1,201,0.27941176470588236,0.31862745098039214,0.4566150903701782
PU-F,0,0.3,0.0,50,50,3000,0,54,601,655,0.24499302072217688,0.14239999999999997,0.6022335420129821,0,0,51,0.42592592592592593,0.48148148148148145,0.713836133480072
PU-F,0,0.3,0.0,100,100,3000,0,104,350,454,0.174328850582242,0.09430000000000005,1.3892644579755142,0,0,101,0.3557692307692308,0.4326923076923077,0.623546838760376
PU-F,0,0.3,0.0,200,200,3000,0,204,205,409,0.15832214610418305,0.05830000000000002,2.64011187502183,0,1,201,0.29411764705882354,0.38235294117647056,0.662128746509552
PU-G,0,0.3,0.0,50,50,3000,0,54,328,382,0.1486772975185886,0.0756,0.4180393749848008,0,0,51,0.24074074074074073,0.3333333333333333,0.7498993277549744
PU-G,0,0.3,0.0,100,100,3000,0,104,235,339,0.13324576301965863,0.0524,0.8566709169535898,0,0,101,0.2403846153846154,0.3076923076923077,0.7867750525474548
PU-G,0,0.3,0.0,200,200,3000,0,204,176,380,0.14796155341900885,0.03649999999999998,1.8452900829724967,0,1,201,0.28431372549019607,0.3431372549019608,0.684844970703125
MaxLoss,0,0.4,0.0,50,50,3000,0,54,352,406,0.1572520800982602,0.08730000000000004,0.14070566702866927,0,0,51,0.3148148148148148,0.3148148148148148,0.7891256213188171
MaxLoss,0,0.4,0.0,100,100,3000,0,104,357,461,0.17681169032584876,0.08979999999999999,0.2628463330329396,0,0,101,0.28846153846153844,0.34615384615384615,0.7251380085945129
MaxLoss,0,0.4,0.0,200,200,3000,0,204,253,457,0.17539314867462963,0.07140000000000002,0.4213266250444576,0,1,201,0.28921568627450983,0.4166666666666667,0.5436508059501648
PU-C,0,0.4,0.0,50,50,3000,0,54,1134,1188,0.4279616988496855,0.38770000000000004,0.22306229203240946,0,0,51,0.3148148148148148,0.35185185185185186,0.8060389757156372
