method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,runtime_sec,stop_reached,hit_limit,train_calls,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,group_revisit_rate,unique_group_fraction,max_group_selection_fraction,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu,dynamic_redundancy_weight
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,5000,0,54,1893,1947,0.4144968476030044,0.5204872020985931,0,0,51,,,,,,,0.12962962962962962,0.46296296296296297,0.677866518497467,0.677866518497467,0.9663091897964478,0.07651938385558578,0.8490566037735849,0.9245283018867925,0.8301886792452831,0.14814814814814814,0.8518518518518519,0.05555555555555555,0.9831757935720518,0.018518518518518517,0.2783041200185505,0.6123815729958262,1.4969327339897973
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,100,100,5000,0,104,1924,2028,0.4309037435450591,1.1689051270950586,0,0,101,,,,,,,0.07692307692307693,0.4423076923076923,0.6556055545806885,0.6556055545806885,0.9868552684783936,0.04522624814394608,0.9805825242718447,0.9805825242718447,0.970873786407767,0.17307692307692307,0.8269230769230769,0.038461538461538464,0.9782961702950487,0.009615384615384616,0.22832717627602325,0.6236263853378948,1.5244200530481873
MaxLoss,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,200,200,5000,0,204,924,1128,0.2467973077436909,3.083760521025397,0,1,201,,,,,,,0.08823529411764706,0.4215686274509804,0.6203914880752563,0.6203914880752563,0.9884198307991028,0.02451434026798004,0.9950738916256158,0.9901477832512315,0.9901477832512315,0.24019607843137256,0.7598039215686274,0.029411764705882353,0.968883303090074,0.004901960784313725,0.19507707261605306,0.6311076586613881,1.542707610061171
GREATS,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,5000,0,54,1731,1785,,1.0325045880163088,0,0,51,,,,,,,0.07407407407407407,0.46296296296296297,0.685619056224823,0.685619056224823,0.971023440361023,0.06595585200021852,0.9245283018867925,0.9245283018867925,0.9056603773584906,0.09259259259259259,0.9074074074074074,0.05555555555555555,0.9894942166268909,0.018518518518518517,0.256655787833042,0.6172524477375656,1.5088393166918272
GREATS,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,100,100,5000,0,104,1654,1758,,2.161694969981909,0,0,101,,,,,,,0.0673076923076923,0.40384615384615385,0.6438568830490112,0.6438568830490112,0.9857810735702515,0.044028006132366584,0.9514563106796117,0.9611650485436893,0.9514563106796117,0.15384615384615385,0.8461538461538461,0.038461538461538464,0.9814747146398936,0.009615384615384616,0.22811742254612313,0.6236735799271224,1.5245354175996324
GREATS,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,200,200,5000,0,204,1076,1280,,4.993658543913625,0,1,201,,,,,,,0.0784313725490196,0.46078431372549017,0.6225185394287109,0.6225185394287109,0.989932656288147,0.02611199529667206,0.9950738916256158,0.9950738916256158,0.9950738916256158,0.2696078431372549,0.7303921568627451,0.029411764705882353,0.9656630199402922,0.004901960784313725,0.19502937204358425,0.6311183912901935,1.5427338453760289
PU-R,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,5000,0,54,1966,2020,0.4292845939635299,0.9095520579721779,0,0,51,,,,,,,0.09259259259259259,0.5,0.6191060543060303,0.6191060543060303,0.9825872182846069,0.07280190766982313,0.9056603773584906,0.9245283018867925,0.8867924528301887,0.1111111111111111,0.8888888888888888,0.05555555555555555,0.988133023460844,0.018518518518518517,0.27511797079932676,0.6130984565701515,1.4986851160603702
PU-R,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,100,100,5000,0,104,1616,1720,0.3683591784792952,2.0932422690093517,0,0,101,,,,,,,0.09615384615384616,0.46153846153846156,0.604124903678894,0.604124903678894,0.9897054433822632,0.04133179740419666,0.9805825242718447,0.970873786407767,0.970873786407767,0.18269230769230768,0.8173076923076923,0.0673076923076923,0.9735258151665894,0.009615384615384616,0.22595551148860654,0.6241600099150636,1.5257244686812665
PU-R,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,200,200,5000,0,204,1044,1248,0.27160203270614147,5.63323485001456,0,1,201,,,,,,,0.06372549019607843,0.4166666666666667,0.5976078510284424,0.5976078510284424,0.991364598274231,0.02327847049521108,0.9950738916256158,0.9901477832512315,0.9901477832512315,0.23529411764705882,0.7647058823529411,0.03431372549019608,0.9720145315731283,0.004901960784313725,0.1911745919466331,0.6319857168120075,1.544853974429352
PU-R-Manifold,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,50,50,5000,0,54,1912,1966,0.4183479804196395,1.1125961740035564,0,0,51,,,,,,,0.05555555555555555,0.5925925925925926,0.6390525698661804,0.6390525698661804,0.9803305864334106,0.0698602962887512,0.9245283018867925,0.9056603773584906,0.8679245283018868,0.16666666666666666,0.8333333333333334,0.05555555555555555,0.9846539366203958,0.018518518518518517,0.2678559772109895,0.6147324051275274,1.5026792125339559
PU-R-Manifold,manifold_group_noise_fashion_mnist,0,0.1,0.0,support,100,100,5000,0,104,1171,1275,0.27717044565360993,2.5350413790438324,0,0,101,,,,,,,0.028846153846153848,0.5,0.6177632808685303,0.6177632808685303,0.9871693849563599,0.039002512120506136,0.9902912621359223,0.970873786407767,0.970873786407767,0.22115384615384615,0.7788461538461539,0.038461538461538464,0.9776090733263214,0.009615384615384616,0.2229220136217143,0.6248425469351143,1.5273928925080573
