dataset,method,noise_rate,pretrain_fraction,es_budget,n,step_mean,step_se,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,test_inappropriate_risk_mean,test_inappropriate_risk_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se,mean_support_redundancy_mean,mean_support_redundancy_se,max_support_redundancy_mean,max_support_redundancy_se,mean_selected_residual_novelty_mean,mean_selected_residual_novelty_se,local_redundancy_hit_rate_mean,local_redundancy_hit_rate_se,residual_redundancy_hit_rate_mean,residual_redundancy_hit_rate_se,strong_redundancy_hit_rate_mean,strong_redundancy_hit_rate_se,mode_entropy_mean,mode_entropy_se,minority_mode_fraction_mean,minority_mode_fraction_se,spectral_entropy_mean,spectral_entropy_se,dynamic_mu_mean,dynamic_mu_se
fashion_mnist,EL2N,0.3,0.0,50,5,50.0,0.0,70.0,0.0,4759.6,43.31235389585747,4829.6,43.31235389585747,0.9750056477729231,0.007403772206049075,0.7202400000000001,0.022081317895451816,0.95626,0.010907135279256424,,,,,,,,,0.9303940894082189,0.01483841649788976,0.0,0.0,1.0,0.0,51.0,0.0,0.6342857142857142,0.026954231805875997,0.0,0.0,0.7700759172439575,0.003392601529366748,0.7700759172439575,0.003392601529366748,0.9943293809890748,0.0009948208762660781,0.05025320726892222,0.0016737281010592066,0.7739130434782607,0.013440026805066247,0.8550724637681159,0.006481356456521133,0.7594202898550723,0.010845383729779544,0.0,0.0,0.0,0.0,0.2572521279414839,0.0032500945433241164,1.3713739360292578,0.0016250472716620582
fashion_mnist,EL2N,0.3,0.1,50,5,50.0,0.0,70.0,0.0,4199.6,35.83657349691792,4269.6,35.83657349691792,0.9607803735882043,0.007017346630509408,0.73742,0.009368479065462008,0.9341800000000001,0.010519477173319972,,,,,,,,,0.8980096446350216,0.010108137936577851,0.0,0.0,1.0,0.0,51.0,0.0,0.6485714285714286,0.011605769149479927,0.0,0.0,0.7637305617332458,0.005108970648784889,0.7637305617332458,0.005108970648784889,0.9912144303321838,0.001973297952713632,0.049491753699122995,0.0010630553034073915,0.7507246376811594,0.019117255011989753,0.8666666666666666,0.00709997026893676,0.7391304347826086,0.021001995284332525,0.0,0.0,0.0,0.0,0.2606842313464611,0.0037396501641639886,1.3696578843267697,0.0018698250820819945
fashion_mnist,EL2N,0.3,0.2,50,5,50.0,0.0,70.0,0.0,3726.2,15.262372030585546,3796.2,15.262372030585546,0.9617713996209204,0.003350143064903502,0.7235800000000001,0.020432386057433437,0.93848,0.004664375628098589,,,,,,,,,0.8233245899900794,0.011638115796581033,0.0,0.0,1.0,0.0,51.0,0.0,0.6285714285714286,0.023035022137995853,0.0,0.0,0.7596578359603882,0.005444926869219986,0.7596578359603882,0.005444926869219986,0.9918235659599304,0.0012784703077348071,0.0482696551343669,0.0011928582214013842,0.7826086956521738,0.004583011101693306,0.8579710144927537,0.0054226918648897695,0.7739130434782608,0.00354998513446839,0.0,0.0,0.0,0.0,0.26039427339989984,0.003438256946478603,1.3698028633000499,0.0017191284732393
fashion_mnist,EL2N,0.3,0.3,50,5,50.0,0.0,70.0,0.0,3257.0,34.212570789112,3327.0,34.212570789112,0.9635250079096295,0.008408166170729436,0.74848,0.023333310952370224,0.93682,0.012590965014644434,,,,,,,,,0.7696221742779017,0.0035355168059603534,0.0,0.0,1.0,0.0,51.0,0.0,0.6228571428571429,0.02050385727772474,0.0,0.0,0.7596018791198731,0.006827522417963334,0.7596018791198731,0.006827522417963334,0.9901350140571594,0.0018095312639414328,0.0484844610310983,0.0008870348124927629,0.7681159420289855,0.007938008079785031,0.8579710144927535,0.00542269186488977,0.7565217391304347,0.008450654920065645,0.0,0.0,0.0,0.0,0.2620100387898215,0.004757806831624379,1.3689949806050892,0.002378903415812157
fashion_mnist,EL2N,0.3,0.4,50,5,50.0,0.0,70.0,0.0,2771.4,29.523888632766518,2841.4,29.523888632766518,0.9614704374806025,0.008406615911202876,0.73654,0.008276508925869647,0.92958,0.014560645590082877,,,,,,,,,0.704358134046197,0.0024051447880764575,0.0,0.0,1.0,0.0,51.0,0.0,0.6342857142857142,0.005714285714285719,0.0,0.0,0.7495574951171875,0.005107947261354687,0.7495574951171875,0.005107947261354687,0.9889663100242615,0.002535276058884208,0.05015330081400664,0.0007009116876227411,0.7536231884057971,0.019976882249406122,0.8695652173913043,0.006481356456521133,0.7507246376811594,0.019117255011989735,0.0,0.0,0.0,0.0,0.2679391004973146,0.0034036763795141237,1.3660304497513427,0.001701838189757053
fashion_mnist,EL2N,0.3,0.5,50,5,50.0,0.0,70.0,0.0,2254.6,25.07309314783479,2324.6,25.07309314783479,0.9478415715042502,0.00874527558950691,0.70958,0.012340761726895138,0.91324,0.01096547308600956,,,,,,,,,0.6744295744225383,0.0018418332472714702,0.0,0.0,1.0,0.0,51.0,0.0,0.5914285714285714,0.014708043058552866,0.0,0.0,0.7602596759796143,0.004595616656907716,0.7602596759796143,0.004595616656907716,0.9909384965896606,0.0008898794827693148,0.047415443002313803,0.002186692964650097,0.7739130434782607,0.014921203102879718,0.8840579710144928,0.006481356456521133,0.7652173913043478,0.015474026452219304,0.0,0.0,0.0,0.0,0.26066153708228157,0.003042494109302074,1.3696692314588592,0.0015212470546510318
fashion_mnist,EL2N,0.3,0.6,50,5,50.0,0.0,70.0,0.0,1829.0,13.446189051177289,1899.0,13.446189051177289,0.9662645854288712,0.005525646267440828,0.7346999999999999,0.009550549722398171,0.93424,0.0065753783161123045,,,,,,,,,0.6120456146076322,0.001482821248205529,0.0,0.0,1.0,0.0,51.0,0.0,0.6171428571428572,0.011428571428571436,0.0,0.0,0.7580425262451171,0.0064769975424148075,0.7580425262451171,0.0064769975424148075,0.9913289070129394,0.0006203408198363193,0.05034612771393596,0.0019638074498307184,0.7536231884057971,0.02049584873004485,0.8724637681159422,0.011594202898550728,0.7507246376811595,0.0212010707801852,0.0,0.0,0.0,0.0,0.2620360664844963,0.004598507758248808,1.368981966757752,0.0022992538791244167
fashion_mnist,EL2N,0.3,0.7,50,5,50.0,0.0,70.0,0.0,1336.8,22.859133841858487,1406.8,22.859133841858487,0.9582445496344008,0.012603630358920167,0.73472,0.029729032947608647,0.9240999999999999,0.018147368955305887,,,,,,,,,0.5824559314176441,0.0011392511860387738,0.0,0.0,1.0,0.0,51.0,0.0,0.6142857142857143,0.012777531299998795,0.0,0.0,0.7523467421531678,0.004529852603220118,0.7523467421531678,0.004529852603220118,0.9878387212753296,0.002120519560201556,0.049885029464528184,0.0005636637072127371,0.7594202898550725,0.010845383729779548,0.881159420289855,0.005422691864889776,0.7565217391304347,0.009613405189435943,0.0,0.0,0.0,0.0,0.26408191175033113,0.002952701613896607,1.3679590441248344,0.001476350806948274
fashion_mnist,EL2N,0.3,0.8,50,5,50.0,0.0,70.0,0.0,855.0,11.610340218959994,925.0,11.610340218959994,0.9520365255186334,0.009310826736255344,0.7138,0.027966926895889,0.8965400000000001,0.015485754744280291,,,,,,,,,0.5191283585503698,0.0010556916344286011,0.0,0.0,1.0,0.0,51.0,0.0,0.6028571428571429,0.024907993963089566,0.0,0.0,0.750835657119751,0.0061477445650361335,0.750835657119751,0.0061477445650361335,0.9920012831687928,0.0024009791134177146,0.04865391867748205,0.002871669838934859,0.7449275362318841,0.014199940537873493,0.8724637681159422,0.005422691864889776,0.7362318840579711,0.01246713806817772,0.0,0.0,0.0,0.0,0.26473697573732813,0.0044478506604935155,1.367631512131336,0.002223925330246755
fashion_mnist,GREATS,0.3,0.0,50,5,50.0,0.0,70.0,0.0,4805.2,20.028479722634966,4875.2,20.028479722634966,,,0.78284,0.00870968426523029,0.9690799999999999,0.00489156416701243,,,,,,,,,1.761734100431204,0.025233145249323335,0.0,0.0,1.0,0.0,51.0,0.0,0.7085714285714285,0.007284313590846833,0.0,0.0,0.7811598062515259,0.0037896097017777026,0.7811598062515259,0.0037896097017777026,0.9913548707962037,0.002545226486384922,0.05321922544120015,0.0010233904630350635,0.7362318840579711,0.01159420289855073,0.855072463768116,0.004583011101693306,0.7246376811594203,0.009166022203386593,0.0,0.0,0.0,0.0,0.2555313370436195,0.0031795686122593893,1.3722343314781902,0.0015897843061297187
fashion_mnist,GREATS,0.3,0.1,50,5,50.0,0.0,70.0,0.0,4304.0,29.135888522576412,4374.0,29.135888522576412,,,0.77928,0.020517319513035814,0.96106,0.008264901693305262,,,,,,,,,1.6236924400553108,0.0065735044478963155,0.0,0.0,1.0,0.0,51.0,0.0,0.6942857142857142,0.02147613768338987,0.0,0.0,0.7756915926933289,0.004105383243121406,0.7756915926933289,0.004105383243121406,0.9935519695281982,0.000959095735379258,0.050724054073941885,0.001618490555907377,0.7275362318840579,0.020186069966933503,0.8521739130434783,0.005422691864889776,0.7101449275362318,0.021496227498828013,0.0,0.0,0.0,0.0,0.25916513544090075,0.002832508987994121,1.3704174322795497,0.0014162544939970508
fashion_mnist,GREATS,0.3,0.2,50,5,50.0,0.0,70.0,0.0,3821.0,26.68520189168521,3891.0,26.68520189168521,,,0.79724,0.010403682040508533,0.96806,0.0076526858030367415,,,,,,,,,1.4691990336403251,0.01410003707358845,0.0,0.0,1.0,0.0,51.0,0.0,0.7114285714285714,0.02407471363764674,0.0,0.0,0.7789229631423951,0.0049665147492941085,0.7789229631423951,0.0049665147492941085,0.988233494758606,0.001446205582150102,0.05010482565216395,0.00206235664826671,0.7565217391304347,0.014051245963525609,0.8608695652173914,0.008695652173913056,0.7420289855072464,0.01064995540340513,0.0,0.0,0.0,0.0,0.2548970144019261,0.00420275134549149,1.3725514927990368,0.0021013756727457397
fashion_mnist,GREATS,0.3,0.3,50,5,50.0,0.0,70.0,0.0,3307.6,16.369483803712317,3377.6,16.369483803712317,,,0.76238,0.014540130673415572,0.95278,0.006663662656527569,,,,,,,,,1.3373623821884393,0.007065980939670257,0.0,0.0,1.0,0.0,51.0,0.0,0.6857142857142856,0.012777531299998795,0.0,0.0,0.7778657674789429,0.004171901308910859,0.7778657674789429,0.004171901308910859,0.9889215111732483,0.0024206223144852715,0.05062094961387524,0.0005599976144458682,0.7478260869565216,0.02226419057353219,0.855072463768116,0.004583011101693306,0.7304347826086957,0.02318840579710146,0.0,0.0,0.0,0.0,0.25593510302122957,0.0033875263471423774,1.372032448489385,0.0016937631735711761
fashion_mnist,GREATS,0.3,0.4,50,5,50.0,0.0,70.0,0.0,2839.4,6.087692502089769,2909.4,6.087692502089769,,,0.80022,0.014333296899178498,0.9648000000000001,0.004641012820495106,,,,,,,,,1.2134903820231557,0.007652077501442771,0.0,0.0,1.0,0.0,51.0,0.0,0.6971428571428572,0.015252968931473302,0.0,0.0,0.7743672966957093,0.004520077629927788,0.7743672966957093,0.004520077629927788,0.9868767976760864,0.0018785477133730854,0.05354850084885306,0.0011285180683573315,0.7362318840579711,0.01677657522143511,0.8695652173913043,0.004583011101693306,0.727536231884058,0.016776575221435108,0.0,0.0,0.0,0.0,0.2588619391735681,0.0035747789168681806,1.3705690304132159,0.0017873894584340899
fashion_mnist,GREATS,0.3,0.5,50,5,50.0,0.0,70.0,0.0,2351.2,14.266744548074028,2421.2,14.266744548074028,,,0.7821800000000001,0.011876337819378484,0.9605400000000002,0.006937189632697094,,,,,,,,,1.0901264706626534,0.00865864733927492,0.0,0.0,1.0,0.0,51.0,0.0,0.6971428571428572,0.01989769753883446,0.0,0.0,0.7771577119827271,0.005826481550021124,0.7771577119827271,0.005826481550021124,0.9878028631210327,0.0034306760902353814,0.051004546707954956,0.0011976585273953595,0.7681159420289856,0.023368863038546517,0.8782608695652174,0.00354998513446839,0.7565217391304347,0.02120107078018521,0.0,0.0,0.0,0.0,0.2568230806433672,0.0042870242347393,1.3715884596783163,0.0021435121173696467
fashion_mnist,GREATS,0.3,0.6,50,5,50.0,0.0,70.0,0.0,1845.6,13.563185466548777,1915.6,13.563185466548777,,,0.78224,0.017782423906768173,0.9486799999999999,0.006515934315199936,,,,,,,,,0.9573455728590489,0.0032893844349488753,0.0,0.0,1.0,0.0,51.0,0.0,0.6857142857142857,0.013552618543578766,0.0,0.0,0.772375226020813,0.0031207295648919926,0.772375226020813,0.0031207295648919926,0.991247045993805,0.0017797932857560878,0.05282114234523496,0.0013061052509333129,0.7217391304347827,0.027267953220618524,0.8695652173913043,0.00793800807978501,0.7159420289855072,0.02991270643558014,0.0,0.0,0.0,0.0,0.2605022507335,0.0028476263601443794,1.36974887463325,0.0014238131800722175
fashion_mnist,GREATS,0.3,0.7,50,5,50.0,0.0,70.0,0.0,1342.6,13.69160326623584,1412.6,13.69160326623584,,,0.7579,0.012403265699000392,0.9275599999999999,0.013432222451999522,,,,,,,,,0.8573539866134524,0.0033093569664170304,0.0,0.0,1.0,0.0,51.0,0.0,0.6628571428571428,0.016035674514745454,0.0,0.0,0.7724531531333924,0.005334317048452829,0.7724531531333924,0.005334317048452829,0.9865853071212769,0.001300598776523519,0.050776127110356874,0.002293448592808689,0.7507246376811594,0.03019227051594154,0.8927536231884059,0.007389883353033016,0.7391304347826086,0.025102185616940262,0.0,0.0,0.0,0.0,0.25901184253280757,0.004685341643851451,1.3704940787335962,0.002342670821925738
fashion_mnist,GREATS,0.3,0.8,50,5,50.0,0.0,70.0,0.0,877.2,6.711184694225007,947.2,6.711184694225007,,,0.77628,0.012809192011988891,0.9330400000000001,0.009909974772924502,,,,,,,,,0.7394291261211038,0.00041770222793141066,0.0,0.0,1.0,0.0,51.0,0.0,0.6942857142857143,0.016659862556700846,0.0,0.0,0.7735400557518005,0.00358893772737422,0.7735400557518005,0.00358893772737422,0.9872053623199463,0.002988521364703463,0.05067472570184349,0.00118511854470851,0.7449275362318841,0.010845383729779548,0.8753623188405797,0.0057971014492753685,0.736231884057971,0.014051245963525598,0.0,0.0,0.0,0.0,0.2574427283343114,0.002627056893992242,1.3712786358328444,0.0013135284469961265
fashion_mnist,GraNdLast,0.3,0.0,50,5,50.0,0.0,70.0,0.0,4428.2,94.10494142179782,4498.2,94.10494142179782,0.9151838359539397,0.017380213030422087,0.6694799999999999,0.0213860094454295,0.8619399999999999,0.02633153242787059,,,,,,,,,1.0387230472639204,0.016728842797401115,0.0,0.0,1.0,0.0,51.0,0.0,0.5485714285714286,0.02240626734479732,0.0,0.0,0.7443312287330628,0.0030995672430507923,0.7443312287330628,0.0030995672430507923,0.9925863742828369,0.0015992999591767957,0.05106889182242794,0.0008371497408528139,0.7565217391304347,0.015474026452219288,0.8666666666666668,0.00542269186488977,0.7420289855072463,0.013282828101321274,0.0,0.0,0.0,0.0,0.26605425880203154,0.0010090084143728774,1.3669728705989843,0.0005045042071864141
fashion_mnist,GraNdLast,0.3,0.1,50,5,50.0,0.0,70.0,0.0,4002.6,56.93733397341326,4072.6,56.93733397341326,0.9211229406530037,0.01160037465538093,0.68136,0.018989091605445475,0.8739000000000001,0.01835426380980724,,,,,,,,,0.9860451659187675,0.012867621796904713,0.0,0.0,1.0,0.0,51.0,0.0,0.5771428571428571,0.01895214165917372,0.0,0.0,0.7464115619659424,0.007406662932388726,0.7464115619659424,0.007406662932388726,0.9941972613334655,0.0022036318682800383,0.04944136064985525,0.0007548630568278261,0.7623188405797101,0.008695652173913056,0.8695652173913043,0.004583011101693306,0.7536231884057971,0.010247924365022434,0.0,0.0,0.0,0.0,0.26488003826866574,0.004014367672895161,1.367559980865667,0.002007183836447603
fashion_mnist,GraNdLast,0.3,0.2,50,5,50.0,0.0,70.0,0.0,3656.8,45.728984244131205,3726.8,45.728984244131205,0.9461982012609951,0.010365402475840271,0.7155400000000001,0.03425005985396228,0.9097000000000002,0.015700573237942612,,,,,,,,,0.90080401673913,0.011298696573242326,0.0,0.0,1.0,0.0,51.0,0.0,0.5857142857142857,0.018626292586293277,0.0,0.0,0.7439745783805847,0.0042683883629316965,0.7439745783805847,0.0042683883629316965,0.9916529059410095,0.0019364789549115022,0.05062098408090896,0.001915689300171144,0.7739130434782607,0.014921203102879718,0.8637681159420291,0.00738988335303303,0.7594202898550725,0.010845383729779544,0.0,0.0,0.0,0.0,0.2667459568534608,0.003910100242258249,1.3666270215732694,0.001955050121129141
fashion_mnist,GraNdLast,0.3,0.3,50,5,50.0,0.0,70.0,0.0,3178.0,36.469165057620934,3248.0,36.469165057620934,0.943769744609017,0.00926144079884071,0.6837,0.007178370288582219,0.9091000000000001,0.012515630227839098,,,,,,,,,0.8383699217811227,0.004966610627808323,0.0,0.0,1.0,0.0,51.0,0.0,0.5571428571428572,0.023035022137995853,0.0,0.0,0.7435487985610962,0.005070508084314077,0.7435487985610962,0.005070508084314077,0.9925189137458801,0.0020546193333236666,0.051798664832460706,0.002783899743417925,0.7536231884057971,0.014492753623188399,0.863768115942029,0.005797101449275363,0.7420289855072464,0.014779766706066034,0.0,0.0,0.0,0.0,0.2663712545737207,0.005584335179560869,1.3668143727131397,0.0027921675897804427
