source,source_dir,condition,condition_fields,dataset,noise_rate,pretrain_fraction,es_budget,target_method,baseline_method,metric,direction,n_pairs,paired_seeds,target_mean,baseline_mean,diff_mean,diff_se,diff_ci95_low,diff_ci95_high,relative_change_percent,target_win_rate,target_loss_rate,target_tie_rate,target_better_all_pairs,target_better_ci95,baseline_better_ci95
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5,"dataset=manifold_duplicate_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",manifold_duplicate_fashion_mnist,0.1,0.0,100,PU-R-Manifold,MaxLoss,effective_compression_size,lower,5,0 1 2 3 4,2305.0,2332.6,-27.6,60.642889113234034,-195.94466017833767,140.74466017833768,-1.1832290148332334,0.6,0.4,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5,"dataset=manifold_duplicate_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",manifold_duplicate_fashion_mnist,0.1,0.0,100,PU-R-Manifold,MaxLoss,noise_hit_rate,lower,5,0 1 2 3 4,0.18461538461538463,0.24615384615384617,-0.06153846153846154,0.015081141482075117,-0.10340371029270207,-0.019673212784221017,-25.0,1.0,0.0,0.0,1,1,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5,"dataset=manifold_duplicate_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",manifold_duplicate_fashion_mnist,0.1,0.0,100,PU-R-Manifold,MaxLoss,duplicate_hit_rate,lower,5,0 1 2 3 4,0.7519230769230769,0.7115384615384616,0.04038461538461537,0.023825984025699732,-0.025756316270727074,0.10652554703995781,5.675675675675674,0.2,0.8,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5,"dataset=manifold_duplicate_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",manifold_duplicate_fashion_mnist,0.1,0.0,100,PU-R-Manifold,MaxLoss,mode_entropy,higher,5,0 1 2 3 4,0.8985923798749826,0.9127541667219793,-0.014161786846996649,0.008891734341605522,-0.03884524137929357,0.010521667685300277,-1.5515444753165684,0.2,0.8,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5,"dataset=manifold_duplicate_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",manifold_duplicate_fashion_mnist,0.1,0.0,100,PU-R-Manifold,MaxLoss,spectral_entropy,higher,5,0 1 2 3 4,0.23809584983394433,0.27425451416344876,-0.036158664329504445,0.0029970339273887796,-0.044478430511935695,-0.027838898147073195,-13.184346095377228,0.0,1.0,0.0,0,0,1
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5,"dataset=manifold_duplicate_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",manifold_duplicate_fashion_mnist,0.1,0.0,100,PU-R-Manifold,MaxLoss,runtime_sec,lower,5,0 1 2 3 4,3.326361583545804,1.5953399382531643,1.7310216452926397,0.21979321672682395,1.1208756756589766,2.3411676149263028,108.50487747382803,0.0,1.0,0.0,0,0,1
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5,"dataset=manifold_duplicate_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",manifold_duplicate_fashion_mnist,0.1,0.0,100,PU-R-Manifold,GREATS,test_inappropriate_risk,lower,5,0 1 2 3 4,0.45249999999999996,0.4521,0.00040000000000000034,0.01881980339961074,-0.05184377423731941,0.052643774237319405,0.08847600088476008,0.4,0.6,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5,"dataset=manifold_duplicate_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",manifold_duplicate_fashion_mnist,0.1,0.0,100,PU-R-Manifold,GREATS,effective_compression_size,lower,5,0 1 2 3 4,2305.0,2298.4,6.6,81.57548651402577,-219.85355056293554,233.05355056293553,0.28715628263139575,0.4,0.6,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5,"dataset=manifold_duplicate_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",manifold_duplicate_fashion_mnist,0.1,0.0,100,PU-R-Manifold,GREATS,noise_hit_rate,lower,5,0 1 2 3 4,0.18461538461538463,0.24038461538461536,-0.05576923076923076,0.014066095036853646,-0.09481671059153648,-0.01672175094692504,-23.199999999999996,1.0,0.0,0.0,1,1,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions/pu_r_manifold/manifold_duplicate_noise_0p1_aug5,"dataset=manifold_duplicate_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",manifold_duplicate_fashion_mnist,0.1,0.0,100,PU-R-Manifold,GREATS,duplicate_hit_rate,lower,5,0 1 2 3 4,0.7519230769230769,0.8,-0.04807692307692306,0.022956416127525612,-0.11180393424693415,0.01565008809308803,-6.0096153846153815,0.8,0.2,0.0,0,0,0
