method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-F,mnist,0,0.4,0.0,1000,0,300,282,582,0.6358288149931468,0.385,0.8348963905585239,0.28141,0.43934518682332907,395.8497530767982,4.554869179613888,0,297,0.43333333333333335,0.0,0.6010076403617859
PU-G,mnist,0,0.4,0.0,1000,0,300,340,640,0.692357134190388,0.44220000000000004,0.8619956088479273,0.34039,0.5017599420767607,360.6228689302782,4.516714579425752,0,297,0.36333333333333334,0.0,0.5908973813056946
GREATS,mnist,0,0.4,0.0,1000,0,300,229,529,,0.4345,0.8234333641771864,0.22944000000000003,0.3819054987466168,473.5161577055924,2.9952118899673223,0,297,0.44,0.0,0.605923593044281
MaxLoss,mnist,0,0.4,0.2,800,200,300,147,447,0.6187314896960743,0.43589999999999995,0.8152936408443747,0.1839125,0.3292966662919414,445.71221489763735,1.8490047501400113,0,297,0.47,0.0,0.5888813138008118
PU-C,mnist,0,0.4,0.2,800,200,300,210,510,0.6954617571318522,0.4295,0.8342024833076416,0.2635125,0.41984439827455916,343.33210728422233,2.5476106479763985,0,297,0.43,0.0,0.5830543637275696
PU-F,mnist,0,0.4,0.2,800,200,300,195,495,0.6773438767995685,0.4112,0.8432344199140237,0.2438875,0.398129084676142,401.3388287749571,3.9757655719295144,0,297,0.43333333333333335,0.0,0.5950312614440918
PU-G,mnist,0,0.4,0.2,800,200,300,238,538,0.7290117193479091,0.3973,0.8459163659111838,0.2974999999999999,0.4566443625784535,315.20864261689235,3.959888602606952,0,297,0.38,0.0,0.5811758637428284
GREATS,mnist,0,0.4,0.2,800,200,300,141,441,,0.4526,0.8175996833046836,0.17538749999999997,0.31916352193601244,469.8240615250717,2.8323159869760275,0,297,0.45666666666666667,0.0,0.5967345833778381
MaxLoss,mnist,0,0.4,0.4,600,400,300,39,339,0.6332060400745831,0.4051,0.7654091550014501,0.06585,0.17667841786148414,457.5513401788855,1.7841748567298055,0,297,0.44333333333333336,0.0,0.5796414017677307
PU-C,mnist,0,0.4,0.4,600,400,300,123,423,0.7672169948928058,0.4154,0.8437333039274656,0.20445,0.3533260756752192,359.29947842546153,2.398508945479989,0,297,0.4166666666666667,0.0,0.5805819630622864
