method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,selection_steps,certified_bound,test_error,pool_empirical_error,support_empirical_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,self_selected_bound,self_selected_bound_raw,self_selected_empirical_risk,self_selected_initial_gap,self_selected_reciprocal_gap,self_selected_total_gap,self_selected_lipschitz_sample,self_selected_log_cover_constant,self_selected_concentration_rate_constant,self_selected_data_diameter,self_selected_dimension,self_selected_wasserstein_p,ada_bound,ada_bound_raw,ada_empirical_risk,ada_alpha,ada_query_count,ada_initial_size,ada_final_size,ada_sigma,ada_beta,ada_epsilon,ada_delta_sum,ada_gamma_star,runtime_sec,stop_reached,train_calls,loss_eval_count,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-C,mnist,0,0.0,0.0,3000,0,600,71,671,596,0.25056935334578156,0.05249999999999999,0.023666666666666614,0.0,0.33514607253693274,0.02378666666666665,0.16451589625570703,213.34672591464394,1.0,17.38900882669936,0.0,1.0111501526918,16.37785867400756,17.38900882669936,0.9996666666666667,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.8450769857259958,0.8450769857259958,0.023666666666666614,0.8214103190593292,597,3000,3000,0.058780160722749115,1.582581761977049e-05,0.3076923076923077,6.2478772085903165,19.29827820173125,69.30186138954014,0,597,1610706,0.0,0.0,0.3251560628414154
PU-C,mnist,0,0.0,0.1,2700,300,600,77,677,596,0.28021522710332647,0.08199999999999996,0.03888888888888886,0.046666666666666634,0.4581990673437172,0.03926666666666666,0.19397650511670744,406.26026628517593,1.0,19.063035980444724,0.046666666666666634,1.0112858755596354,18.00508343821842,19.016369313778057,0.9996296296296296,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.9628517650697463,0.9628517650697463,0.03888888888888886,0.9239628761808575,597,2700,2700,0.058780160722749115,0.00012568600613418795,0.46153846153846156,0.6810336643452553,21.940676860158618,64.55916733387858,0,597,1431606,0.0,0.0,0.2566220462322235
PU-C,mnist,0,0.0,0.2,2400,600,600,66,666,596,0.30974780081305653,0.08819999999999995,0.029166666666666674,0.00666666666666671,0.5254487383097431,0.029658333333333342,0.1761495310811266,620.7060204823608,1.0,21.0074158434771,0.00666666666666671,1.011437622383479,19.989311554426955,21.000749176810434,0.9995833333333334,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,0.9963588649434241,0.9963588649434241,0.029166666666666674,0.9671921982767574,597,2400,2400,0.058780160722749115,0.00012568600613418795,0.46153846153846156,1.9427192483105111,17.81184805924931,61.52999093569815,0,597,1252506,0.0,0.0,0.2739819586277008
PU-C,mnist,0,0.0,0.3,2100,900,600,51,651,596,0.34553756087552756,0.1008,0.04238095238095241,0.06333333333333335,0.6516985245934007,0.22987619047619048,0.45126344013066133,167.6371686659872,1.0,23.536360364853913,0.06333333333333335,1.0116096862840014,22.46141734523658,23.47302703152058,0.9995238095238095,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.031648677874172,0.04238095238095241,0.9892677254932197,597,2100,2100,0.1193776641714437,0.00099817731491033,0.3076923076923077,0.18184575754987314,35.86786952960795,55.8856801725924,0,597,1073406,0.0,0.0,0.353447288274765
PU-C,mnist,0,0.0,0.4,1800,1200,562,0,562,558,0.35051139286952093,0.07189999999999996,0.013333333333333308,0.042704626334519546,0.5896480387512566,0.023055555555555548,0.16301775105748634,688.8140468823707,1.0,25.285951328212462,0.042704626334519546,1.0118083558800346,24.23143834599791,25.243246701877943,0.9994444444444445,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.02970238241367,0.013333333333333308,1.0163690490803368,559,1800,1800,0.1193776641714437,0.00012568600613418795,0.3076923076923077,0.5742883538703029,28.831160138764943,49.523299721069634,1,559,848003,0.0,0.0,0.22927133738994598
PU-C,mnist,0,0.0,0.5,1500,1500,413,0,413,409,0.315497042494826,0.06440000000000001,0.0040000000000000036,0.014527845036319653,0.44862129512735843,0.004640000000000016,0.11857802657886535,375.8584285619575,1.0,22.722904210481587,0.014527845036319653,1.0120433825029667,21.6963329829423,22.708376365445268,0.9993333333333333,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.0210748718714047,0.0040000000000000036,1.0170748718714047,410,1500,1500,0.1193776641714437,0.00012568600613418795,0.3076923076923077,0.6204588705640945,27.464358640011103,32.018894309177995,1,410,529515,0.0,0.0,0.34756410121917725
PU-C,mnist,0,0.0,0.6,1200,1800,387,0,387,383,0.369257953367196,0.0686,0.008333333333333304,0.025839793281653756,0.5296828122975227,0.032466666666666665,0.18149727345230143,303.34966520207956,1.0,25.88090775830475,0.025839793281653756,1.0123311061396187,24.842736858883477,25.855067965023096,0.9991666666666666,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.130436133059707,0.008333333333333304,1.1221027997263737,384,1200,1200,0.1193776641714437,0.00012568600613418795,0.3076923076923077,2.2889722293029617,19.72404218682189,26.874142571352422,1,384,385728,0.0,0.0,0.3311288356781006
PU-C,mnist,0,0.0,0.7,900,2100,265,0,265,261,0.3466584041598253,0.07140000000000002,0.0033333333333332993,0.01132075471698113,0.6215862882186295,0.019133333333333325,0.15475510108801935,410.2386880045156,1.0,23.91407403538902,0.01132075471698113,1.0127021671347267,22.890051113537314,23.90275328067204,0.9988888888888889,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.217364680259752,0.0033333333333332993,1.2140313469264186,262,900,900,0.1193776641714437,0.00099817731491033,0.46153846153846156,0.17853550878734134,22.809875019381636,16.672911619767547,1,262,200561,0.0,0.0,0.3565051257610321
PU-C,mnist,0,0.0,0.8,600,2400,170,0,170,166,0.3459377421531826,0.08520000000000005,0.010000000000000009,0.03529411764705881,0.7040068319597834,0.01680000000000002,0.14963165086295266,392.1763965237772,1.0,23.030693722370497,0.03529411764705881,1.0132253791814296,21.98217422554201,22.99539960472344,0.9983333333333333,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.2874658746720693,0.010000000000000009,1.2774658746720693,167,600,600,0.1193776641714437,0.00012568600613418795,0.46153846153846156,0.6928139324424782,16.588876979630584,10.89649323001504,1,167,85671,0.0,0.0,0.34725868701934814
PU-C,mnist,0,0.4,0.0,3000,0,600,1202,1802,596,0.6330478093586862,0.5099,0.491,0.45166666666666666,0.8770323005784627,0.49323333333333336,0.7126185254920656,280.0023770847159,1.0,17.840675493366028,0.45166666666666666,1.0111501526918,16.37785867400756,17.38900882669936,0.9996666666666667,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.312410319059329,0.491,0.8214103190593292,597,3000,3000,0.058780160722749115,1.582581761977049e-05,0.3076923076923077,6.2478772085903165,19.29827820173125,79.6830331273377,0,597,1610706,0.39666666666666667,0.0,0.0006677796482108533
PU-C,mnist,0,0.4,0.1,2700,300,600,988,1588,596,0.6222800256800838,0.46519999999999995,0.43407407407407406,0.30666666666666664,0.8847758872334055,0.46294074074074076,0.6857903262151206,371.34234421629117,1.0,19.323035980444722,0.30666666666666664,1.0112858755596354,18.00508343821842,19.016369313778057,0.9996296296296296,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.3580369502549314,0.43407407407407406,0.9239628761808575,597,2700,2700,0.058780160722749115,0.00012568600613418795,0.46153846153846156,0.6810336643452553,21.940676860158618,73.01999096665531,0,597,1431606,0.44333333333333336,0.0,0.07585233449935913
PU-C,mnist,0,0.4,0.2,2400,600,600,928,1528,596,0.671943357330747,0.48629999999999995,0.49583333333333335,0.43666666666666665,0.9217325973891771,0.4857,0.7060182852019509,474.0236832637966,1.0,21.4374158434771,0.43666666666666665,1.011437622383479,19.989311554426955,21.000749176810434,0.9995833333333334,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.4630255316100906,0.49583333333333335,0.9671921982767574,597,2400,2400,0.058780160722749115,0.00012568600613418795,0.46153846153846156,1.9427192483105111,17.81184805924931,67.6537338513881,0,597,1252506,0.4066666666666667,0.0,0.007486123126000166
PU-C,mnist,0,0.4,0.3,2100,900,600,682,1282,596,0.6484547956497408,0.45899999999999996,0.43619047619047624,0.39,0.9228531334716557,0.4497142857142857,0.6738353043186764,534.5977995028292,1.0,23.86302703152058,0.39,1.0116096862840014,22.46141734523658,23.47302703152058,0.9995238095238095,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.4254582016836959,0.43619047619047624,0.9892677254932197,597,2100,2100,0.1193776641714437,0.00099817731491033,0.3076923076923077,0.18184575754987314,35.86786952960795,61.79593309108168,0,597,1073406,0.38666666666666666,0.0,0.03276422247290611
PU-C,mnist,0,0.4,0.4,1800,1200,600,594,1194,596,0.7028710661106743,0.5126999999999999,0.43000000000000005,0.30000000000000004,0.9177130708160689,0.42216666666666663,0.64845913980859,505.7046383166819,1.0,26.936013018957095,0.30000000000000004,1.0118083558800346,25.62420466307706,26.636013018957094,0.9994444444444445,544.120536739557,3.0265981483731384e-05,90.8850861696579,785.0,1.0,1.0,1.457208473069508,0.43000000000000005,1.0272084730695081,597,1800,1800,0.1193776641714437,0.00012568600613418795,0.3076923076923077,0.7838425439325508,27.195191905821627,58.67722810059786,0,597,894306,0.38166666666666665,0.0,0.35710662603378296
