dataset,method,noise_rate,pretrain_fraction,n,n_cert_mean,n_cert_se,n_pretrain_mean,n_pretrain_se,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,selection_steps_mean,selection_steps_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,pool_empirical_error_mean,pool_empirical_error_se,support_empirical_error_mean,support_empirical_error_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,self_selected_bound_mean,self_selected_bound_se,self_selected_bound_raw_mean,self_selected_bound_raw_se,self_selected_empirical_risk_mean,self_selected_empirical_risk_se,self_selected_initial_gap_mean,self_selected_initial_gap_se,self_selected_reciprocal_gap_mean,self_selected_reciprocal_gap_se,self_selected_total_gap_mean,self_selected_total_gap_se,self_selected_lipschitz_sample_mean,self_selected_lipschitz_sample_se,self_selected_log_cover_constant_mean,self_selected_log_cover_constant_se,self_selected_concentration_rate_constant_mean,self_selected_concentration_rate_constant_se,self_selected_data_diameter_mean,self_selected_data_diameter_se,self_selected_dimension_mean,self_selected_dimension_se,self_selected_wasserstein_p_mean,self_selected_wasserstein_p_se,ada_bound_mean,ada_bound_se,ada_bound_raw_mean,ada_bound_raw_se,ada_empirical_risk_mean,ada_empirical_risk_se,ada_alpha_mean,ada_alpha_se,ada_query_count_mean,ada_query_count_se,ada_initial_size_mean,ada_initial_size_se,ada_final_size_mean,ada_final_size_se,ada_sigma_mean,ada_sigma_se,ada_beta_mean,ada_beta_se,ada_epsilon_mean,ada_epsilon_se,ada_delta_sum_mean,ada_delta_sum_se,ada_gamma_star_mean,ada_gamma_star_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,train_calls_mean,train_calls_se,loss_eval_count_mean,loss_eval_count_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se
mnist,PU-C,0.0,0.0,5,3000.0,0.0,0.0,0.0,600.0,0.0,79.4,8.028698524667618,679.4,8.028698524667618,596.0,0.0,0.2534913323237561,0.0027937530744623633,0.05449999999999999,0.0022969545054267082,0.026666666666666637,0.0027828841952989066,0.0010000000000000009,0.0006666666666666626,0.36036277447486353,0.014457236755697453,0.02683866666666666,0.0029770570106137416,0.17032758997216774,0.005764440942367753,260.2120475371319,33.72316021290989,1.0,0.0,17.390008826699358,0.000666666666666682,0.0010000000000000009,0.0006666666666666626,1.0111501526918,0.0,16.37785867400756,0.0,17.38900882669936,0.0,0.9996666666666666,5.551115123125783e-17,544.120536739557,0.0,3.026598148373138e-05,1.6940658945086007e-21,90.8850861696579,0.0,785.0,0.0,1.0,0.0,0.8480769857259958,0.002782884195298907,0.8480769857259958,0.002782884195298907,0.026666666666666637,0.0027828841952989066,0.8214103190593292,0.0,597.0,0.0,3000.0,0.0,3000.0,0.0,0.05878016072274912,3.469446951953614e-18,1.582581761977049e-05,0.0,0.3076923076923077,0.0,6.2478772085903165,0.0,19.29827820173125,0.0,69.8601644743234,0.4614562056945339,0.0,0.0,597.0,0.0,1610706.0,0.0,0.0,0.0,0.0,0.0,0.33038105368614196,0.009705296565453608
mnist,PU-C,0.0,0.1,5,2700.0,0.0,300.0,0.0,600.0,0.0,68.4,12.048236385463227,668.4,12.048236385463227,596.0,0.0,0.27688936196500435,0.004652253623723505,0.07439999999999998,0.0044469090388718205,0.03037037037037038,0.00549597683008874,0.022666666666666658,0.007238016916869489,0.5098221065372119,0.01990565218824996,0.06410666666666667,0.009101938652990275,0.23448992769183036,0.01449176051161049,424.4714549676981,15.211131200695785,1.0,0.0,19.03903598044472,0.007238016916869678,0.022666666666666658,0.007238016916869489,1.0112858755596354,0.0,18.00508343821842,0.0,19.016369313778057,0.0,0.9996296296296296,0.0,544.120536739557,0.0,3.026598148373138e-05,1.6940658945086007e-21,90.8850861696579,0.0,785.0,0.0,1.0,0.0,0.9543332465512279,0.00549597683008874,0.9543332465512279,0.00549597683008874,0.03037037037037038,0.00549597683008874,0.9239628761808575,0.0,597.0,0.0,2700.0,0.0,2700.0,0.0,0.05878016072274912,3.469446951953614e-18,0.00012568600613418795,0.0,0.46153846153846156,0.0,0.6810336643452553,0.0,21.940676860158618,0.0,64.75661998782307,0.24982573881994768,0.0,0.0,597.0,0.0,1431606.0,0.0,0.0,0.0,0.0,0.0,0.3421928882598877,0.027295517801339153
mnist,PU-C,0.0,0.2,5,2400.0,0.0,600.0,0.0,600.0,0.0,44.8,8.782938005018593,644.8,8.782938005018593,596.0,0.0,0.30056721755536275,0.0038039500801263135,0.07453999999999998,0.006193512735112436,0.02833333333333332,0.005852646599806135,0.03866666666666667,0.016179548132682128,0.5246294055189902,0.035091219487079245,0.029293333333333338,0.005919957066285756,0.17409618913459318,0.011792458088418988,649.5756660038396,104.44077599345819,1.0,0.0,21.0394158434771,0.01617954813268225,0.03866666666666667,0.016179548132682128,1.011437622383479,0.0,19.989311554426955,0.0,21.000749176810434,0.0,0.9995833333333334,0.0,544.120536739557,0.0,3.026598148373138e-05,1.6940658945086007e-21,90.8850861696579,0.0,785.0,0.0,1.0,0.0,0.9928370919547392,0.0041710000507669985,0.9955255316100906,0.005852646599806135,0.02833333333333332,0.005852646599806135,0.9671921982767573,5.551115123125783e-17,597.0,0.0,2400.0,0.0,2400.0,0.0,0.05878016072274912,3.469446951953614e-18,0.00012568600613418795,0.0,0.46153846153846156,0.0,1.942719248310511,1.1102230246251565e-16,17.81184805924931,0.0,61.97326406240463,0.5626964206284022,0.0,0.0,597.0,0.0,1252506.0,0.0,0.0,0.0,0.0,0.0,0.26566716134548185,0.020897851031644994
mnist,PU-C,0.0,0.3,5,2100.0,0.0,900.0,0.0,583.8,9.32416216075203,19.8,12.13424904969401,603.6,19.86353442869622,579.8,9.32416216075203,0.32212391225621106,0.009817243185873473,0.07724000000000002,0.010490071496419836,0.021523809523809546,0.009916202184285933,0.04272537480734202,0.016612495469296076,0.48633836019297416,0.042214219573099176,0.06979619047619048,0.04061169548825608,0.2298296547154722,0.05686942596049453,309.8681929916435,56.17468914892474,1.0,0.0,22.983016344878468,0.3200846069635096,0.04272537480734202,0.016612495469296076,1.0116096862840014,0.0,21.92868128378712,0.30765588673519356,22.940290970071125,0.3076558867351936,0.9995238095238095,0.0,544.120536739557,0.0,3.026598148373138e-05,1.6940658945086007e-21,90.8850861696579,0.0,785.0,0.0,1.0,0.0,0.9934841253796378,0.004099554047690247,1.0075759133189646,0.011389832010036424,0.021523809523809546,0.009916202184285933,0.986052103795155,0.0018197635996632774,580.8,9.32416216075203,2100.0,0.0,2100.0,0.0,0.11937766417144371,6.938893903907228e-18,0.00099817731491033,0.0,0.3076923076923077,0.0,0.15613118941705467,0.014065575924009349,36.81323120320625,0.5576743219636237,54.67825082410127,0.9483408354320242,0.6,0.24494897427831783,580.8,9.32416216075203,1048809.0,14222.975479835433,0.0,0.0,0.0,0.0,0.33804391622543334,0.04552688603043594
mnist,PU-C,0.0,0.4,5,1800.0,0.0,1200.0,0.0,560.0,24.256957764732164,5.2,3.1843366656181313,565.2,26.505471133333966,556.0,24.256957764732164,0.35226015161024404,0.015283197712513297,0.07386,0.006861967647839793,0.016999999999999994,0.005615235008219239,0.043601204169288074,0.012048060095969593,0.5610310451277235,0.021180947319449795,0.024466666666666664,0.006646083967176868,0.16364597967200498,0.014061080189701636,605.2085845766737,31.8988465740371,1.0,0.0,25.188224782792886,0.9237531083717284,0.043601204169288074,0.012048060095969593,1.0118083558800346,0.0,24.132815222743563,0.9136214034629419,25.1446235786236,0.9136214034629419,0.9994444444444446,5.551115123125783e-17,544.120536739557,0.0,3.026598148373138e-05,1.6940658945086007e-21,90.8850861696579,0.0,785.0,0.0,1.0,0.0,0.9983703645719441,0.0016296354280559864,1.032792206335404,0.011991370693185923,0.016999999999999994,0.005615235008219239,1.0157922063354041,0.00690310527712241,557.0,24.256957764732164,1800.0,0.0,1800.0,0.0,0.11937766417144371,6.938893903907228e-18,0.00030018426788941643,0.00017449826175522842,0.3076923076923077,0.0,0.5951478730891823,0.10338476602624284,29.14124266424174,1.2626514155537005,49.83076573200524,2.409441442142163,0.6,0.24494897427831783,557.0,24.256957764732164,844349.2,30738.76528001735,0.0,0.0,0.0,0.0,0.2536751329898834,0.03655966767783437
mnist,PU-C,0.0,0.5,5,1500.0,0.0,1500.0,0.0,493.0,30.400657887618156,0.0,0.0,493.0,30.400657887618156,489.0,30.400657887618156,0.370803954359144,0.02093567291118295,0.07772000000000001,0.005774028056738201,0.01986666666666668,0.007053446753971511,0.056660442584693785,0.018100265604904735,0.5840900978920609,0.04853272262890167,0.025992000000000015,0.007613462462419228,0.1661770531205737,0.0159122169655972,575.741151797155,91.28455568590964,1.0,0.0,26.305918145515136,1.3365675831632828,0.056660442584693785,0.018100265604904735,1.0120433825029667,0.0,25.237214320427476,1.3211557653055566,26.249257702930443,1.3211557653055566,0.9993333333333332,5.551115123125783e-17,544.120536739557,0.0,3.026598148373138e-05,1.6940658945086007e-21,90.8850861696579,0.0,785.0,0.0,1.0,0.0,1.0,0.0,1.080611256251937,0.024760905879350537,0.01986666666666668,0.007053446753971511,1.0607445895852705,0.018245412921635878,490.0,30.400657887618156,1500.0,0.0,1500.0,0.0,0.11937766417144371,6.938893903907228e-18,0.00012568600613418795,0.0,0.3076923076923077,0.0,1.4359906018919744,0.3548523132155283,23.788710541257466,1.2564633929765323,39.477340162172915,2.916141153902288,1.0,0.0,490.0,30.400657887618156,611386.6,30280.11697896823,0.0,0.0,0.0,0.0,0.2795740783214569,0.045494915936146706
mnist,PU-C,0.0,0.6,5,1200.0,0.0,1800.0,0.0,374.6,14.87817193071783,0.0,0.0,374.6,14.87817193071783,370.6,14.87817193071783,0.35843184049008414,0.01293848554382496,0.07997999999999998,0.006362106569368366,0.017999999999999995,0.007113172444291106,0.054942667646379006,0.021051152072421274,0.5646012202777362,0.04691855454532846,0.029959999999999997,0.011270784010982653,0.17241849713519725,0.0214382145879801,406.5342248221069,76.58987030871732,1.0,0.0,25.203104431271726,0.8516030284588353,0.054942667646379006,0.021051152072421274,1.0123311061396187,0.0,24.135830657485727,0.8344334018707672,25.148161763625346,0.8344334018707672,0.9991666666666668,5.551115123125783e-17,544.120536739557,0.0,3.026598148373138e-05,1.6940658945086007e-21,90.8850861696579,0.0,785.0,0.0,1.0,0.0,1.0,0.0,1.1272495474050401,0.022934480877948856,0.017999999999999995,0.007113172444291106,1.1092495474050401,0.016707096559408892,371.6,14.87817193071783,1200.0,0.0,1200.0,0.0,0.11937766417144371,6.938893903907228e-18,0.00012568600613418795,0.0,0.3076923076923077,0.0,2.0824310141328026,0.2759063650589762,20.400667443258122,0.739360972055872,26.056458792090417,1.1518478818622655,1.0,0.0,371.6,14.87817193071783,375133.4,12415.490729729534,0.0,0.0,0.0,0.0,0.3206314265727997,0.013146637490986613
mnist,PU-C,0.0,0.7,5,900.0,0.0,2100.0,0.0,275.6,20.264747716169573,0.0,0.0,275.6,20.264747716169573,271.6,20.264747716169573,0.35873872351367025,0.02345921962598088,0.0813,0.0055292856681491715,0.01599999999999997,0.005001234415523062,0.05028214305229741,0.013970753383567997,0.6810651925100373,0.035974729014221773,0.02209333333333332,0.005699306433870747,0.15948613870814715,0.011672478467495672,534.351436253851,60.69720892176968,1.0,0.0,24.682425565529222,1.4869219842513055,0.05028214305229741,0.013970753383567997,1.0127021671347267,0.0,23.6194412553422,1.4801283350464423,24.632143422476922,1.4801283350464423,0.9988888888888889,0.0,544.120536739557,0.0,3.026598148373138e-05,1.6940658945086007e-21,90.8850861696579,0.0,785.0,0.0,1.0,0.0,1.0,0.0,1.2214255900796236,0.024442846035468053,0.01599999999999997,0.005001234415523062,1.2054255900796234,0.021020775784692403,272.6,20.264747716169573,900.0,0.0,900.0,0.0,0.11937766417144371,6.938893903907228e-18,0.00030018426788941643,0.00017449826175522842,0.4,0.03768445758127966,1.1821085746029867,0.49574918957328035,19.716618365630286,1.054144521228324,17.614923116005958,1.343023528424434,1.0,0.0,272.6,20.264747716169573,206409.2,12221.891749643342,0.0,0.0,0.0,0.0,0.3336497604846954,0.020900669892657216
mnist,PU-C,0.0,0.8,5,600.0,0.0,2400.0,0.0,166.0,13.118688958886096,0.0,0.0,166.0,13.118688958886096,162.0,13.118688958886096,0.338459093158599,0.02346800705424412,0.08472000000000002,0.004111860892588657,0.009666666666666667,0.0019293061504650486,0.03426117412798877,0.006573696955187822,0.7183435237236946,0.017208171856082356,0.012620000000000011,0.0019544138081105953,0.13955676241493878,0.004797068900591421,436.4099388766179,30.971962126483074,1.0,0.0,22.50124838940271,1.544983272114381,0.03426117412798877,0.006573696955187822,1.0132253791814296,0.0,21.453761836093292,1.5427387949398583,22.466987215274724,1.5427387949398579,0.9983333333333333,0.0,544.120536739557,0.0,3.026598148373138e-05,1.6940658945086007e-21,90.8850861696579,0.0,785.0,0.0,1.0,0.0,1.0,0.0,1.2861224477083368,0.026386230213723584,0.009666666666666667,0.0019293061504650486,1.2764557810416703,0.025373091421536154,163.0,13.118688958886096,600.0,0.0,600.0,0.0,0.11937766417144371,6.938893903907228e-18,0.00030018426788941643,0.00017449826175522842,0.46153846153846156,0.0,0.7093000377352222,0.19114568695610268,17.390878048377807,1.422732068825625,10.87446453794837,0.5042807022304358,1.0,0.0,163.0,13.118688958886096,83600.8,5810.461904186275,0.0,0.0,0.0,0.0,0.34967543482780455,0.014698402054850625
mnist,PU-C,0.4,0.0,5,3000.0,0.0,0.0,0.0,600.0,0.0,1188.2,17.511139311878026,1788.2,17.511139311878026,596.0,0.0,0.6284914792398922,0.00577387230053204,0.46560000000000007,0.025708967307147914,0.45233333333333337,0.02710821933575786,0.2813333333333333,0.11074921619988506,0.8272915010873749,0.018306561100658696,0.453756,0.025880627641367417,0.6763647300220124,0.02371920885706973,198.96666294075027,24.24833712174699,1.0,0.0,17.670342160032696,0.11074921619988541,0.2813333333333333,0.11074921619988506,1.0111501526918,0.0,16.37785867400756,0.0,17.38900882669936,0.0,0.9996666666666666,5.551115123125783e-17,544.120536739557,0.0,3.026598148373138e-05,1.6940658945086007e-21,90.8850861696579,0.0,785.0,0.0,1.0,0.0,1.0,0.0,1.2737436523926626,0.027108219335757824,0.45233333333333337,0.02710821933575786,0.8214103190593292,0.0,597.0,0.0,3000.0,0.0,3000.0,0.0,0.05878016072274912,3.469446951953614e-18,1.582581761977049e-05,0.0,0.3076923076923077,0.0,6.2478772085903165,0.0,19.29827820173125,0.0,79.02109880745411,0.6341244906590588,0.0,0.0,597.0,0.0,1610706.0,0.0,0.39866666666666667,0.00639878460681749,0.0,0.0,0.1394565648835851,0.08613215096097238
