method,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,train_calls
MaxLoss,0,0.4,0.2,2400,600,379,0,379,0.18397163227200508,0.02429999999999999,0.5886400830349885,1,376
PU-C,0,0.4,0.2,2400,600,393,0,393,0.190200247510802,0.016900000000000026,1.7192012089653872,1,390
PU-F,0,0.4,0.2,2400,600,377,0,377,0.1830808500526473,0.012499999999999956,2.7375290420022793,1,374
PU-G,0,0.4,0.2,2400,600,455,0,455,0.21765006688656285,0.01429999999999998,3.8235772499465384,1,452
GREATS,0,0.4,0.2,2400,600,462,0,462,,0.01090000000000002,2.369667374994606,1,459
MaxLoss,0,0.4,0.3,2100,900,354,0,354,0.19710935821058229,0.027599999999999958,0.6205053750309162,1,351
PU-C,0,0.4,0.3,2100,900,372,0,372,0.20626018091570586,0.023599999999999954,1.489270917023532,1,369
PU-F,0,0.4,0.3,2100,900,340,0,340,0.18997423280961812,0.023499999999999965,2.276253500021994,1,337
PU-G,0,0.4,0.3,2100,900,371,0,371,0.20575245609506965,0.021199999999999997,2.44342670799233,1,368
GREATS,0,0.4,0.3,2100,900,414,0,414,,0.009499999999999953,2.1078733750036918,1,411
MaxLoss,0,0.4,0.4,1800,1200,303,0,303,0.19904772489098832,0.023499999999999965,0.5538916250225157,1,300
PU-C,0,0.4,0.4,1800,1200,301,0,301,0.19785415864316747,0.022199999999999998,1.410523458966054,1,298
PU-F,0,0.4,0.4,1800,1200,297,0,297,0.19546560902381316,0.02300000000000002,1.7218560829642229,1,294
PU-G,0,0.4,0.4,1800,1200,328,0,328,0.21392894187010825,0.012399999999999967,1.7317479160265066,1,325
GREATS,0,0.4,0.4,1800,1200,354,0,354,,0.014599999999999946,1.2746288750204258,1,351
MaxLoss,0,0.4,0.5,1500,1500,220,0,220,0.17836390651063994,0.01649999999999996,0.45346629101550207,1,217
