dataset,method,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget,n,step_mean,step_se,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,test_inappropriate_risk_mean,test_inappropriate_risk_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se,mean_support_redundancy_mean,mean_support_redundancy_se,max_support_redundancy_mean,max_support_redundancy_se,mean_selected_residual_novelty_mean,mean_selected_residual_novelty_se,local_redundancy_hit_rate_mean,local_redundancy_hit_rate_se,residual_redundancy_hit_rate_mean,residual_redundancy_hit_rate_se,strong_redundancy_hit_rate_mean,strong_redundancy_hit_rate_se,group_revisit_rate_mean,group_revisit_rate_se,unique_group_fraction_mean,unique_group_fraction_se,max_group_selection_fraction_mean,max_group_selection_fraction_se,mode_entropy_mean,mode_entropy_se,minority_mode_fraction_mean,minority_mode_fraction_se,spectral_entropy_mean,spectral_entropy_se,dynamic_mu_mean,dynamic_mu_se
volume_gap_fashion_mnist,GREATS,0.1,0.0,warm_start,100,5,100.0,0.0,104.0,0.0,2117.6,93.16952291387993,2221.6,93.16952291387993,,,0.4125500000000001,0.011541609506476976,0.4125500000000001,0.011541609506476992,,,,,,,,,2.3245855920249596,0.03642344580105734,0.0,0.0,0.0,0.0,101.0,0.0,0.3557692307692307,0.009121954788947248,0.5769230769230769,0.026854307776478733,0.7373951077461243,0.005097588281693963,0.7373951077461243,0.005097588281693963,0.999994444847107,3.173878774215879e-06,0.05186593827692051,0.0011522498234844251,0.8466019417475728,0.0232604826227397,0.8815533980582526,0.005661118344510023,0.8233009708737864,0.022644473378040004,0.275,0.012756249193674614,0.7250000000000001,0.01275624919367461,0.02692307692307692,0.001923076923076923,0.9837786419687917,0.001099938229924518,0.009615384615384616,0.0,0.24710910643919387,0.0036894482335909245,1.4040472509851285,0.005165227527027283
volume_gap_fashion_mnist,GREATS,0.1,0.0,warm_start,200,5,200.0,0.0,204.0,0.0,1740.0,53.31041174104735,1944.0,53.31041174104735,,,0.33575,0.014910566722965294,0.33575,0.014910566722965294,,,,,,,,,5.4378942350391295,0.07280270895586488,0.0,0.0,1.0,0.0,201.0,0.0,0.32843137254901966,0.010398629135096286,0.5764705882352942,0.03792610026251901,0.7117317676544189,0.012365307981526415,0.7117317676544189,0.012365307981526415,0.9999980211257935,1.6983035868175625e-06,0.03348909701619829,0.0020448109171942795,0.8817733990147782,0.02347020541787506,0.9231527093596059,0.007567631278688274,0.8729064039408867,0.0227562748028593,0.3352941176470588,0.02592020405176919,0.6647058823529411,0.025920204051769192,0.021568627450980392,0.0012007302660701853,0.9746886375145518,0.001116483370577113,0.004901960784313725,0.0,0.22569080031340233,0.005603045151349499,1.4340328795612365,0.007844263211889312
volume_gap_fashion_mnist,GREATS,0.1,0.0,warm_start,50,5,50.0,0.0,54.0,0.0,1951.2,132.15233633954415,2005.2,132.15233633954415,,,0.39065000000000005,0.007772387020729214,0.39065000000000005,0.007772387020729214,,,,,,,,,1.0283638316206634,0.010174303966124147,0.0,0.0,0.0,0.0,51.0,0.0,0.3518518518518518,0.00828173324999922,0.5555555555555556,0.020286020648339495,0.7519343137741089,0.0017788493007352517,0.7519343137741089,0.0017788493007352517,0.9999887347221375,6.74370649269298e-06,0.06789564141687357,0.002214568874519237,0.8415094339622641,0.03406692468918451,0.8301886792452831,0.008437992367923733,0.8,0.02708056621586289,0.24074074074074076,0.013094570021973105,0.7592592592592593,0.013094570021973105,0.037037037037037035,0.0,0.9844460111061052,0.0003192351494104154,0.018518518518518517,0.0,0.26039427898871415,0.003640688198979957,1.3854480094158002,0.005096963478571946
volume_gap_fashion_mnist,GREATS,0.1,0.3,warm_start,100,5,100.0,0.0,104.0,0.0,1420.8,92.09636257746556,1524.8,92.09636257746556,,,0.3958,0.015416590089899913,0.3958,0.015416590089899913,,,,,,,,,1.8219061683863402,0.016786279434000868,0.0,0.0,0.0,0.0,101.0,0.0,0.3653846153846154,0.006081303192631499,0.6442307692307693,0.012900392177883406,0.74806649684906,0.008375628727775508,0.74806649684906,0.008375628727775508,0.9999971508979797,2.1310140151556844e-06,0.051014306186472326,0.0021044805703019772,0.8446601941747574,0.014724029988449624,0.8699029126213592,0.00788741592683104,0.8174757281553398,0.012433250946471545,0.3153846153846154,0.007692307692307699,0.6846153846153845,0.007692307692307699,0.03076923076923077,0.001923076923076923,0.9822132191698397,0.0013693444296971153,0.009615384615384616,0.0,0.24689500909456652,0.006794324170196438,1.4043469872676069,0.009512053838275003
volume_gap_fashion_mnist,GREATS,0.1,0.3,warm_start,200,5,200.0,0.0,204.0,0.0,1221.4,25.815886581715528,1425.4,25.815886581715528,,,0.32245,0.008040289173904125,0.32245,0.008040289173904137,,,,,,,,,4.527441835799254,0.024688971340552604,0.0,0.0,1.0,0.0,201.0,0.0,0.35196078431372546,0.005233861888250644,0.6686274509803922,0.007994856093284352,0.7320892930030822,0.0055093270991542305,0.7320892930030822,0.0055093270991542305,0.9999991297721863,5.091227651611e-07,0.03429064251519189,0.0006941193538601274,0.8660098522167488,0.0054854821308670315,0.9142857142857144,0.004568284973150588,0.864039408866995,0.004568284973150608,0.39999999999999997,0.011026688116864703,0.6000000000000001,0.011026688116864695,0.024509803921568627,0.0,0.9717891470598709,0.0011211775266332436,0.004901960784313725,0.0,0.22650648385612202,0.0038861431264349123,1.432890922601429,0.005440600377008927
volume_gap_fashion_mnist,GREATS,0.1,0.3,warm_start,50,5,50.0,0.0,54.0,0.0,1444.0,101.45935146648631,1498.0,101.45935146648631,,,0.4166,0.009820450600659824,0.4166,0.009820450600659832,,,,,,,,,0.8028849021764473,0.010524287668677444,0.0,0.0,0.0,0.0,51.0,0.0,0.3814814814814814,0.012559870339120868,0.625925925925926,0.019772367133391325,0.7509121537208557,0.01010644519695291,0.7509121537208557,0.01010644519695291,0.9999943733215332,2.889540721182137e-06,0.06669138175136638,0.002459892829140755,0.8415094339622641,0.02708056621586287,0.7849056603773585,0.02117919275532421,0.7773584905660378,0.02559369804952933,0.26666666666666666,0.012559870339120864,0.7333333333333334,0.01255987033912087,0.037037037037037035,0.0,0.9839752716092229,0.0001373212498355338,0.018518518518518517,0.0,0.26372017887088595,0.006820708472621859,1.3807917495807598,0.009548991861670608
volume_gap_fashion_mnist,GREATS,0.1,0.6,warm_start,100,5,100.0,0.0,104.0,0.0,657.0,21.77613372479146,761.0,21.77613372479146,,,0.34304999999999997,0.005503067326500738,0.34304999999999997,0.005503067326500738,,,,,,,,,1.4384215305792167,0.013408292526548404,0.0,0.0,0.0,0.0,101.0,0.0,0.37500000000000006,0.01489608979310545,0.7134615384615385,0.024589830485662358,0.7482824087142944,0.00864379940130431,0.7482824087142944,0.00864379940130431,0.9999953150749207,2.3666571947474177e-06,0.052752665987292544,0.0013325456987621736,0.8019417475728154,0.021839265784858227,0.858252427184466,0.009995757418433995,0.7941747572815534,0.01826688128371531,0.33076923076923076,0.019374463153471046,0.6692307692307693,0.019374463153471046,0.0326923076923077,0.002355278598829979,0.9819583493665205,0.0010460927322315085,0.009615384615384616,0.0,0.24952532143259604,0.001997124772896091,1.4006645499943653,0.0027959746820545098
volume_gap_fashion_mnist,GREATS,0.1,0.6,warm_start,200,5,200.0,0.0,204.0,0.0,478.2,31.862831010442246,682.2,31.862831010442246,,,0.32595,0.009813702155659717,0.32595,0.009813702155659706,,,,,,,,,3.6265776703832673,0.011448447975487719,0.0,0.0,1.0,0.0,201.0,0.0,0.3303921568627451,0.005046877520091669,0.7333333333333334,0.019398391115107237,0.7353525042533875,0.005017322864317854,0.7353525042533875,0.005017322864317854,0.999995493888855,3.3859740407023116e-06,0.03329394105913604,0.001819675731641125,0.8699507389162562,0.022552754960117428,0.9192118226600984,0.009029705802868639,0.8630541871921181,0.021607598226070255,0.4519607843137255,0.0181703460714222,0.5480392156862746,0.018170346071422188,0.021568627450980392,0.0012007302660701853,0.9711529981151383,0.0010858803094722371,0.004901960784313725,0.0,0.22428095069478388,0.005195473129170807,1.4360066690273023,0.00727366238083914
volume_gap_fashion_mnist,GREATS,0.1,0.6,warm_start,50,5,50.0,0.0,54.0,0.0,801.8,85.42973721134814,855.8,85.42973721134814,,,0.40404999999999996,0.02466759007280606,0.40404999999999996,0.024667590072806063,,,,,,,,,0.6589296085759997,0.003953223756221389,0.0,0.0,0.0,0.0,51.0,0.0,0.39629629629629626,0.0171733675842513,0.737037037037037,0.02371527495345499,0.7531052589416504,0.0027778446284971773,0.7531052589416504,0.0027778446284971773,0.9999920964241028,4.847569210285798e-06,0.0752531331665111,0.003416862281677909,0.709433962264151,0.043272999778036676,0.781132075471698,0.030772653642075654,0.6981132075471699,0.037735849056603786,0.3,0.021436735005167087,0.7,0.021436735005167087,0.037037037037037035,0.0,0.9842050573537048,0.00016517816053442368,0.018518518518518517,0.0,0.27433725755015603,0.006110280974466498,1.3659278394297814,0.008554393364253104
volume_gap_fashion_mnist,MaxLoss,0.1,0.0,warm_start,100,5,100.0,0.0,104.0,0.0,2062.6,164.28408322171688,2166.6,164.28408322171688,0.45867860574508085,0.03315156088033685,0.40815,0.009307792434299335,0.40815,0.009307792434299335,,,,,,,,,1.5940972447860986,0.445598210436598,0.0,0.0,0.0,0.0,101.0,0.0,0.3903846153846154,0.010356086167566355,0.5865384615384615,0.06710133200910731,0.7624343395233154,0.019077517554915456,0.7624343395233154,0.019077517554915456,0.99999920129776,5.887297737534401e-07,0.049562932681111456,0.002188912883956641,0.8194174757281554,0.018059296347318704,0.8563106796116505,0.01352270706522732,0.7980582524271844,0.01692776288753659,0.4076923076923077,0.07282344703369803,0.5923076923076923,0.07282344703369803,0.06730769230769232,0.0129003921778834,0.9325092578483878,0.01854334601180025,0.009615384615384616,0.0,0.24533574451092438,0.008182683223091337,1.4065299576847057,0.011455756512327908
