dataset,method,noise_rate,pretrain_fraction,pretrain_training_mode,budget,n,step_mean,step_se,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,test_inappropriate_risk_mean,test_inappropriate_risk_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se,mean_support_redundancy_mean,mean_support_redundancy_se,max_support_redundancy_mean,max_support_redundancy_se,mean_selected_residual_novelty_mean,mean_selected_residual_novelty_se,local_redundancy_hit_rate_mean,local_redundancy_hit_rate_se,residual_redundancy_hit_rate_mean,residual_redundancy_hit_rate_se,strong_redundancy_hit_rate_mean,strong_redundancy_hit_rate_se,group_revisit_rate_mean,group_revisit_rate_se,unique_group_fraction_mean,unique_group_fraction_se,max_group_selection_fraction_mean,max_group_selection_fraction_se,mode_entropy_mean,mode_entropy_se,minority_mode_fraction_mean,minority_mode_fraction_se,spectral_entropy_mean,spectral_entropy_se,dynamic_mu_mean,dynamic_mu_se,dynamic_redundancy_weight_mean,dynamic_redundancy_weight_se
manifold_group_noise_fashion_mnist,GREATS,0.1,0.0,support,100,10,100.0,0.0,104.0,0.0,1395.9,75.12366841119751,1499.9,75.12366841119751,,,,,,,,,,,,,,,2.1278269252041353,0.02464218756484217,0.0,0.0,0.0,0.0,101.0,0.0,0.08173076923076923,0.005597515768132366,0.5307692307692309,0.022010621427422297,0.6441210210323334,0.002347294355057437,0.6441210210323334,0.002347294355057437,0.9840956211090088,0.0007426976735898387,0.04353780671230797,0.0008807868239340265,0.9757281553398057,0.003316165296427053,0.9689320388349516,0.0031708605084571867,0.9592233009708739,0.0028212938145894314,0.2365384615384615,0.015384615384615384,0.7634615384615384,0.015384615384615384,0.04230769230769231,0.0015701857325533192,0.9734596212953001,0.0017096169773111619,0.009615384615384614,5.782411586589357e-19,0.22677497557413145,0.0011063716072040402,0.6239756304958204,0.000248933611620914,1.5252737634342277,0.0006085043839622308
manifold_group_noise_fashion_mnist,GREATS,0.1,0.0,support,200,10,200.0,0.0,204.0,0.0,897.2,52.0881304457487,1101.2,52.0881304457487,,,,,,,,,,,,,,,4.878204984799959,0.059516876350879745,0.0,0.0,1.0,0.0,201.0,0.0,0.07794117647058824,0.0029637838475844855,0.4897058823529411,0.010600785348567707,0.6212943732738495,0.0024937304620496394,0.6212943732738495,0.0024937304620496394,0.9908822894096374,0.0005722824176482066,0.024818163750500513,0.00042990724112963323,0.9935960591133005,0.0007524754835723866,0.9926108374384237,0.0008210180623973716,0.9916256157635468,0.0010514161309413531,0.292156862745098,0.008209056658222526,0.707843137254902,0.00820905665822253,0.030392156862745094,0.0012227638518869093,0.9626636269136141,0.001629959154319275,0.0049019607843137246,2.8912057932946783e-19,0.19162653693822881,0.0011117893507970346,0.6318840291888985,0.0002501526039293334,1.5446054046839741,0.0006114841429383759
manifold_group_noise_fashion_mnist,GREATS,0.1,0.0,support,50,10,50.0,0.0,54.0,0.0,1871.7,77.71101023092616,1925.7,77.71101023092616,,,,,,,,,,,,,,,1.0112703174119815,0.011000736309332277,0.0,0.0,0.0,0.0,51.0,0.0,0.08888888888888888,0.007709874072096787,0.5388888888888889,0.025962643018287764,0.6796791970729827,0.002514530608482279,0.6796791970729827,0.002514530608482279,0.9775290787220001,0.0015593470313724496,0.06474319114437643,0.0013137968905387201,0.9358490566037736,0.008054244323814902,0.909433962264151,0.010820534927097641,0.8981132075471697,0.01132075471698113,0.13333333333333333,0.015320584748136858,0.8666666666666666,0.015320584748136861,0.05555555555555556,0.0027605777499997396,0.9857563225867565,0.0017695334998735015,0.018518518518518517,0.0,0.2568874609117338,0.0015686657084646959,0.6172003212948599,0.0003529497844045581,1.5087118964985464,0.0008627661396555966
manifold_group_noise_fashion_mnist,MaxLoss,0.1,0.0,support,100,10,100.0,0.0,104.0,0.0,1678.8,95.90907731341757,1782.8,95.90907731341757,0.38094970835954883,0.01954121842973442,,,,,,,,,,,,,1.1523775484063663,0.004176748327765578,0.0,0.0,0.0,0.0,101.0,0.0,0.0673076923076923,0.007718970883841214,0.4288461538461538,0.02584851942776404,0.6399710774421692,0.0027745060242218077,0.6399710774421692,0.0027745060242218077,0.9854848444461822,0.0005005005478239411,0.044129870774097815,0.0009389659540039413,0.9766990291262136,0.0033003362547526097,0.9689320388349515,0.0028212938145894314,0.958252427184466,0.0035598705501618108,0.1980769230769231,0.02141447831857701,0.8019230769230768,0.021414478318577002,0.047115384615384615,0.003023711901300193,0.9740429273438009,0.002923302477329061,0.009615384615384614,5.782411586589357e-19,0.2288944430722057,0.0016565718215220964,0.6234987503087537,0.00037272865984245966,1.5241080563102871,0.0009111145018371423
manifold_group_noise_fashion_mnist,MaxLoss,0.1,0.0,support,200,10,200.0,0.0,204.0,0.0,903.9,59.05655481541966,1107.9,59.05655481541966,0.242520869045984,0.012250512780965688,,,,,,,,,,,,,3.053778916504234,0.004803527902501009,0.0,0.0,1.0,0.0,201.0,0.0,0.07941176470588236,0.005972440157678779,0.4465686274509804,0.021509748313312014,0.6107232868671417,0.004126402288369962,0.6107232868671417,0.004126402288369962,0.9916615128517151,0.0010575661572371615,0.024433718796296442,0.0003411037283209559,0.9911330049261083,0.000985221674876846,0.9911330049261083,0.0012287873191375817,0.9881773399014777,0.0015049509671447728,0.2686274509803922,0.017896446496853683,0.7313725490196079,0.01789644649685368,0.03382352941176471,0.0004901960784313729,0.9633182102016102,0.00265321347402702,0.0049019607843137246,2.8912057932946783e-19,0.19296447710744297,0.001072380452560247,0.6315829926508254,0.00024128560182605862,1.5438695375909064,0.0005898092489081403
manifold_group_noise_fashion_mnist,MaxLoss,0.1,0.0,support,50,10,50.0,0.0,54.0,0.0,1822.7,72.4460028803062,1876.7,72.4460028803062,0.4001261063211132,0.014709848896774642,,,,,,,,,,,,,0.5110069607151673,0.0021215546696050397,0.0,0.0,0.0,0.0,51.0,0.0,0.07592592592592592,0.008486251286955258,0.4444444444444445,0.0292152088054302,0.6707929491996765,0.0055022684962312265,0.6707929491996765,0.0055022684962312265,0.9735211193561554,0.0016755133292015367,0.07615916882905197,0.0015680281537930726,0.8754716981132076,0.009412974557921863,0.8962264150943395,0.010983804526146525,0.8264150943396228,0.011528492314354313,0.14259259259259255,0.021920099882178648,0.8574074074074074,0.02192009988217865,0.06481481481481481,0.004140866624999609,0.9816309217596076,0.0026260131677671083,0.018518518518518517,0.0,0.2738813719421568,0.0027940179377159593,0.6133766913130148,0.000628654035986096,1.499365245431814,0.00153670986574379
manifold_group_noise_fashion_mnist,PU-R,0.1,0.0,support,100,10,100.0,0.0,104.0,0.0,1436.0,85.49541898059022,1540.0,85.49541898059022,0.3314251458854415,0.017521550408294638,,,,,,,,,,,,,2.1120541746960955,0.031251000091860215,0.0,0.0,0.0,0.0,101.0,0.0,0.060576923076923084,0.008240359059091307,0.4625,0.01293617696834011,0.6157811522483826,0.002377595861577742,0.6157811522483826,0.002377595861577742,0.9880747318267822,0.0006865623944187631,0.04101199733513832,0.0004925934547546724,0.9873786407766991,0.002072208491078591,0.9766990291262136,0.0029660684109746524,0.9757281553398058,0.003316165296427053,0.20576923076923076,0.01148491850459546,0.7942307692307693,0.011484918504595458,0.047115384615384615,0.003023711901300193,0.9750882597800581,0.0014966261232798224,0.009615384615384614,5.782411586589357e-19,0.22432074656461864,0.0010536636150597091,0.6245278320229608,0.00023707431338843604,1.52662358938946,0.0005795149882828438
manifold_group_noise_fashion_mnist,PU-R,0.1,0.0,support,200,10,200.0,0.0,204.0,0.0,912.9,55.24922322229215,1116.9,55.24922322229215,0.2444003988057375,0.011459396173994245,,,,,,,,,,,,,5.640440946095623,0.06604160688162618,0.0,0.0,1.0,0.0,201.0,0.0,0.05588235294117647,0.003740367039954116,0.4524509803921569,0.01257320823739257,0.5991655170917511,0.002253073859744148,0.5991655170917511,0.002253073859744148,0.9929761707782745,0.0004289590455486904,0.02331323349547889,0.00022308633444934078,0.9945812807881774,0.0004926108374384231,0.9916256157635468,0.0012824712111505162,0.9916256157635468,0.0012824712111505162,0.26960784313725494,0.011296984325126542,0.7303921568627451,0.011296984325126531,0.029901960784313723,0.0011437908496732029,0.965448201079109,0.0018564940307649585,0.0049019607843137246,2.8912057932946783e-19,0.19049093156136995,0.0005711063532915376,0.6321395403986918,0.00012849892949060317,1.5452299876412465,0.0003141084943103691
manifold_group_noise_fashion_mnist,PU-R,0.1,0.0,support,50,10,50.0,0.0,54.0,0.0,1752.7,86.3674385659575,1806.7,86.3674385659575,0.385852668620646,0.017564798523771883,,,,,,,,,,,,,0.9316904656006955,0.013416835788382426,0.0,0.0,0.0,0.0,51.0,0.0,0.06666666666666665,0.010762713440841168,0.4666666666666667,0.01986849004868035,0.643423980474472,0.004467607648638671,0.643423980474472,0.004467607648638671,0.9759213745594024,0.0016834256246820909,0.07120542512890302,0.0013376437931100105,0.9358490566037737,0.006413861023387149,0.9056603773584906,0.00974335433008155,0.8849056603773585,0.008646369235765734,0.12407407407407409,0.013253648489866598,0.875925925925926,0.013253648489866595,0.05740740740740741,0.004320987654320987,0.9850174979024893,0.002263447945133207,0.018518518518518517,0.0,0.2705418040271893,0.0018561258427495838,0.6141280940938824,0.00041762831461865895,1.501202007785046,0.0010208692135122708
manifold_group_noise_fashion_mnist,PU-R-Manifold,0.1,0.0,support,100,10,100.0,0.0,104.0,0.0,1348.5,80.30749930389094,1452.5,80.30749930389094,0.31350908148451706,0.01649487264676563,,,,,,,,,,,,,2.6128123654052615,0.04581662451168082,0.0,0.0,0.0,0.0,101.0,0.0,0.049038461538461545,0.005448717948717949,0.464423076923077,0.014550717260020723,0.6183501124382019,0.0018474229258777129,0.6183501124382019,0.0018474229258777129,0.9875265598297119,0.0007896823993449369,0.040301209749672016,0.0004947402693218286,0.9883495145631068,0.001294498381877022,0.9728155339805825,0.0034855435644883504,0.9718446601941748,0.0030530683275264074,0.1942307692307692,0.009155677472490834,0.8057692307692308,0.009155677472490832,0.04326923076923077,0.0029549821978502844,0.9770871970942938,0.0017627873187183974,0.009615384615384614,5.782411586589357e-19,0.22367434727341878,0.0009943213851922978,0.6246732718634808,0.00022372231166825556,1.5269791089996199,0.0005468767618557461
