source,source_dir,condition,condition_fields,dataset,noise_rate,pretrain_fraction,es_budget,reference_method,reference_es_budget,target_method,baseline_method,metric,direction,n_pairs,paired_seeds,target_mean,baseline_mean,diff_mean,diff_se,diff_ci95_low,diff_ci95_high,relative_change_percent,target_win_rate,target_loss_rate,target_tie_rate,target_better_all_pairs,target_better_ci95,baseline_better_ci95
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5,"dataset=boundary_duplicate_fashion_mnist, noise_rate=0.3, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",boundary_duplicate_fashion_mnist,0.3,0.0,100,,,PU-R,GREATS,noise_hit_rate,lower,5,0 1 2 3 4,0.3961538461538462,0.425,-0.028846153846153844,0.031452744680377176,-0.11615897307888087,0.05846666538657319,-6.787330316742081,0.6,0.4,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5,"dataset=boundary_duplicate_fashion_mnist, noise_rate=0.3, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",boundary_duplicate_fashion_mnist,0.3,0.0,100,,,PU-R,GREATS,duplicate_hit_rate,lower,5,0 1 2 3 4,0.7173076923076923,0.8134615384615385,-0.09615384615384615,0.022550075768381896,-0.1587528564868743,-0.033554835820818,-11.82033096926714,1.0,0.0,0.0,1,1,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5,"dataset=boundary_duplicate_fashion_mnist, noise_rate=0.3, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",boundary_duplicate_fashion_mnist,0.3,0.0,100,,,PU-R,GREATS,runtime_sec,lower,5,0 1 2 3 4,3.013458915054798,3.1471062356606128,-0.13364732060581447,0.018574489331881078,-0.18521010299111634,-0.08208453822051259,-4.246673311864237,1.0,0.0,0.0,1,1,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5,"dataset=boundary_duplicate_fashion_mnist, noise_rate=0.3, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",boundary_duplicate_fashion_mnist,0.3,0.0,100,,,PU-R,EL2N,test_inappropriate_risk,lower,5,0 1 2 3 4,0.4647,0.4574,0.0072999999999999845,0.015672108983796645,-0.0362057745390195,0.05080577453901947,1.5959772627896776,0.4,0.6,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5,"dataset=boundary_duplicate_fashion_mnist, noise_rate=0.3, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",boundary_duplicate_fashion_mnist,0.3,0.0,100,,,PU-R,EL2N,test_error,lower,5,0 1 2 3 4,0.4647,0.4574,0.007299999999999996,0.015672108983796687,-0.0362057745390196,0.05080577453901959,1.59597726278968,0.4,0.6,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5,"dataset=boundary_duplicate_fashion_mnist, noise_rate=0.3, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",boundary_duplicate_fashion_mnist,0.3,0.0,100,,,PU-R,EL2N,certified_bound,lower,5,0 1 2 3 4,0.5090071428916417,0.514432080660481,-0.0054249377688393,0.013339616292999387,-0.042455712598205596,0.03160583706052699,-1.054548884640749,0.4,0.6,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5,"dataset=boundary_duplicate_fashion_mnist, noise_rate=0.3, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",boundary_duplicate_fashion_mnist,0.3,0.0,100,,,PU-R,EL2N,effective_compression_size,lower,5,0 1 2 3 4,2415.6,2442.6,-27.0,66.4371883812071,-211.4296349462309,157.4296349462309,-1.105379513633014,0.4,0.6,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5,"dataset=boundary_duplicate_fashion_mnist, noise_rate=0.3, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",boundary_duplicate_fashion_mnist,0.3,0.0,100,,,PU-R,EL2N,noise_hit_rate,lower,5,0 1 2 3 4,0.3961538461538462,0.4076923076923077,-0.01153846153846153,0.014066095036853651,-0.050585941360767266,0.0275090182838442,-2.830188679245281,0.6,0.2,0.2,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5,"dataset=boundary_duplicate_fashion_mnist, noise_rate=0.3, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",boundary_duplicate_fashion_mnist,0.3,0.0,100,,,PU-R,EL2N,duplicate_hit_rate,lower,5,0 1 2 3 4,0.7173076923076923,0.6961538461538461,0.021153846153846124,0.019799288732667293,-0.03380897936803828,0.07611667167573052,3.038674033149167,0.2,0.4,0.4,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5,"dataset=boundary_duplicate_fashion_mnist, noise_rate=0.3, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",boundary_duplicate_fashion_mnist,0.3,0.0,100,,,PU-R,EL2N,runtime_sec,lower,5,0 1 2 3 4,3.013458915054798,2.0799819212406874,0.9334769938141108,0.0718571302661702,0.7340016001952223,1.1329523874329992,44.87909170178275,0.0,1.0,0.0,0,0,1
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5,"dataset=boundary_duplicate_fashion_mnist, noise_rate=0.3, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",boundary_duplicate_fashion_mnist,0.3,0.0,100,,,PU-R,GraNdLast,test_inappropriate_risk,lower,5,0 1 2 3 4,0.4647,0.47865,-0.013950000000000008,0.028283763009896663,-0.09246572611547313,0.06456572611547312,-2.914446881855219,0.6,0.4,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5,"dataset=boundary_duplicate_fashion_mnist, noise_rate=0.3, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",boundary_duplicate_fashion_mnist,0.3,0.0,100,,,PU-R,GraNdLast,test_error,lower,5,0 1 2 3 4,0.4647,0.47865,-0.013949999999999995,0.028283763009896688,-0.09246572611547318,0.0645657261154732,-2.9144468818552167,0.6,0.4,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5,"dataset=boundary_duplicate_fashion_mnist, noise_rate=0.3, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",boundary_duplicate_fashion_mnist,0.3,0.0,100,,,PU-R,GraNdLast,certified_bound,lower,5,0 1 2 3 4,0.5090071428916417,0.5261454877094366,-0.01713834481779486,0.007599238168649305,-0.03823382997396533,0.00395714033837561,-3.2573395036430486,0.8,0.2,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5,"dataset=boundary_duplicate_fashion_mnist, noise_rate=0.3, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",boundary_duplicate_fashion_mnist,0.3,0.0,100,,,PU-R,GraNdLast,effective_compression_size,lower,5,0 1 2 3 4,2415.6,2501.0,-85.4,37.84785330768444,-190.465640782132,19.665640782131987,-3.4146341463414633,0.8,0.2,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5,"dataset=boundary_duplicate_fashion_mnist, noise_rate=0.3, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",boundary_duplicate_fashion_mnist,0.3,0.0,100,,,PU-R,GraNdLast,noise_hit_rate,lower,5,0 1 2 3 4,0.3961538461538462,0.4153846153846154,-0.01923076923076923,0.02374824814467013,-0.0851559060803735,0.04669436761883504,-4.629629629629629,0.4,0.4,0.2,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5,"dataset=boundary_duplicate_fashion_mnist, noise_rate=0.3, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",boundary_duplicate_fashion_mnist,0.3,0.0,100,,,PU-R,GraNdLast,duplicate_hit_rate,lower,5,0 1 2 3 4,0.7173076923076923,0.6884615384615385,0.028846153846153855,0.034266403233087425,-0.06627738152889683,0.12396968922120453,4.189944134078214,0.4,0.6,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5,"dataset=boundary_duplicate_fashion_mnist, noise_rate=0.3, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",boundary_duplicate_fashion_mnist,0.3,0.0,100,,,PU-R,GraNdLast,runtime_sec,lower,5,0 1 2 3 4,3.013458915054798,2.130860330350697,0.8825985847041011,0.06013974061472956,0.7156506647576119,1.0495465046505903,41.41982335176529,0.0,1.0,0.0,0,0,1
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/literature_pruning/es100/boundary_duplicate_noise_0p3_aug5,"dataset=boundary_duplicate_fashion_mnist, noise_rate=0.3, pretrain_fraction=0.0, es_budget=100","dataset,noise_rate,pretrain_fraction,es_budget",boundary_duplicate_fashion_mnist,0.3,0.0,100,,,PU-R,RHO-PretrainRef,test_inappropriate_risk,lower,5,0 1 2 3 4,0.4647,0.47620000000000007,-0.0115,0.03156461626568584,-0.09912337475354388,0.07612337475354389,-2.41495170096598,0.4,0.6,0.0,0,0,0
