method,dataset,seed,noise_rate,pretrain_fraction,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,mnist,0,0.0,0.0,0,1000,0,4,458,462,0.5163995292969048,0.44389999999999996,0.745139764607027,0.46285999999999994,0.6857177935501789,1.3795685736809613,0.7058223327621818,0,0,1,0.0,0.0,0.6923000812530518
MaxLoss,mnist,0,0.0,0.0,10,1000,0,14,456,470,0.5244615492410958,0.4476,0.7935277941592617,0.45438,0.6780693448926595,28.873673150359014,0.8146004201844335,0,0,11,0.0,0.0,0.7237535119056702
MaxLoss,mnist,0,0.0,0.0,20,1000,0,24,435,459,0.5133725987398066,0.43510000000000004,0.8030958211427022,0.42896,0.6547773047634884,52.64193795637969,0.9213268365710974,0,0,21,0.0,0.0,0.6030408143997192
MaxLoss,mnist,0,0.0,0.0,30,1000,0,34,328,362,0.4143987518036738,0.3267,0.7568333091600763,0.3263399999999999,0.5549224037754116,89.35002461470982,1.0277692573145032,0,0,31,0.0,0.0,0.6057181358337402
MaxLoss,mnist,0,0.0,0.0,40,1000,0,44,261,305,0.35517862695269287,0.27049999999999996,0.7131536201710204,0.24946,0.47320600336248736,118.62599257665227,1.1335419872775674,0,0,41,0.0,0.0,0.5742307305335999
MaxLoss,mnist,0,0.0,0.0,50,1000,0,54,243,297,0.34679810295347124,0.25070000000000003,0.7201659100094282,0.23399999999999999,0.45592635713301316,145.8215725051057,1.2392118219286203,0,0,51,0.0,0.0,0.5844973921775818
MaxLoss,mnist,0,0.0,0.0,60,1000,0,64,263,327,0.3781352913356386,0.2902,0.7636876958609606,0.26422,0.48941969899779403,168.08671951515487,1.3444636268541217,0,0,61,0.0,0.0,0.6193827986717224
MaxLoss,mnist,0,0.0,0.0,70,1000,0,74,110,184,0.22625036828685552,0.15839999999999999,0.6126099442288345,0.11318,0.30722449655226586,183.16200768955764,1.449754393659532,0,0,71,0.0,0.0,0.5689271688461304
MaxLoss,mnist,0,0.0,0.0,80,1000,0,84,161,245,0.2918662169831805,0.18689999999999996,0.6784829124888465,0.15432000000000004,0.3611391026775774,203.43258749174208,1.554663416929543,0,0,81,0.0,0.0,0.5928479433059692
MaxLoss,mnist,0,0.0,0.0,90,1000,0,94,210,304,0.3541320319636725,0.249,0.741897399286232,0.20406,0.4215223316478721,221.05410575851914,1.6596262715756893,0,0,91,0.0,0.0,0.6195681095123291
MaxLoss,mnist,0,0.0,0.0,100,1000,0,104,99,203,0.24684361089020967,0.14629999999999999,0.6245862588637183,0.09697999999999997,0.284661972607544,230.01424273319455,1.7647616686299443,0,0,101,0.0,0.0,0.5762940645217896
MaxLoss,mnist,0,0.0,0.0,110,1000,0,114,79,193,0.23602420464158058,0.12719999999999998,0.6133837689175865,0.08053999999999997,0.2607551814380925,248.62426211956094,1.8700233697891235,0,0,111,0.0,0.0,0.5897955894470215
MaxLoss,mnist,0,0.0,0.0,120,1000,0,124,61,185,0.2273381107370369,0.11809999999999998,0.5916004637021959,0.062320000000000014,0.23273891541389,259.1955307961367,1.975370087660849,0,0,121,0.0,0.0,0.585228681564331
MaxLoss,mnist,0,0.0,0.0,130,1000,0,134,25,159,0.19890321127604693,0.09999999999999998,0.5305829566703019,0.027020000000000027,0.17100421312565434,270.3438979534515,2.081091574393213,0,0,131,0.0,0.0,0.5831419825553894
MaxLoss,mnist,0,0.0,0.0,140,1000,0,144,26,170,0.2109735436970368,0.0998,0.5400580373689685,0.02724000000000002,0.17143810241121113,283.4674428026625,2.1863476438447833,0,0,141,0.0,0.0,0.5872160792350769
MaxLoss,mnist,0,0.0,0.0,150,1000,0,154,19,173,0.21425495366565883,0.09440000000000004,0.5338172453266808,0.021260000000000015,0.15928467715489333,295.6170867913098,2.291700316593051,0,0,151,0.0,0.0,0.587754487991333
MaxLoss,mnist,0,0.0,0.0,160,1000,0,164,11,175,0.21644014958292246,0.09030000000000005,0.5155674844053415,0.01174000000000001,0.1378217733445048,307.7032019898442,2.397103956900537,0,0,161,0.0,0.0,0.5879632830619812
MaxLoss,mnist,0,0.0,0.0,165,1000,0,169,0,169,0.20987876318395138,0.08579999999999999,0.4798234122589319,0.0015000000000000013,0.10778514478709018,312.93172812790505,2.4718678537756205,1,0,166,0.0,0.0,0.5919675230979919
PU-C,mnist,0,0.0,0.0,0,1000,0,4,495,499,0.5535672085243277,0.4831,0.7634711988705979,0.4859399999999999,0.7062292874382928,1.1290796661585434,0.05745612923055887,0,0,1,0.0,0.0,0.6863324046134949
PU-C,mnist,0,0.0,0.0,10,1000,0,14,424,438,0.4921277747489512,0.44489999999999996,0.7574380193342349,0.40656000000000003,0.6337926098521147,30.40250118510654,0.18126923497766256,0,0,11,0.0,0.0,0.6341921091079712
PU-C,mnist,0,0.0,0.0,20,1000,0,24,324,348,0.3999303614255041,0.35119999999999996,0.7315879584485403,0.32093999999999995,0.5493917435358964,68.6005443898645,0.30366278905421495,0,0,21,0.0,0.0,0.5708280205726624
PU-C,mnist,0,0.0,0.0,30,1000,0,34,336,370,0.42264481441816315,0.382,0.7743074177637116,0.3339399999999999,0.5626566709232704,102.16682619687285,0.4254564344882965,0,0,31,0.0,0.0,0.6122137904167175
PU-C,mnist,0,0.0,0.0,40,1000,0,44,267,311,0.36145244317594916,0.28879999999999995,0.7319318686190347,0.26854000000000006,0.4941149924039125,119.62480663489272,0.5478623704984784,0,0,41,0.0,0.0,0.5372434258460999
PU-C,mnist,0,0.0,0.0,50,1000,0,54,191,245,0.2918662169831805,0.21689999999999998,0.6719982604610922,0.19343999999999995,0.4089937034630945,137.40138758765698,0.6679189456626773,0,0,51,0.0,0.0,0.5583739876747131
PU-C,mnist,0,0.0,0.0,60,1000,0,64,164,228,0.27371984749333933,0.18030000000000002,0.6529215154912297,0.16432000000000002,0.3736487134835044,153.7249805711922,0.7878515226766467,0,0,61,0.0,0.0,0.5630427598953247
PU-C,mnist,0,0.0,0.0,70,1000,0,74,143,217,0.2619234274025075,0.17010000000000003,0.6412489872376784,0.14554000000000003,0.3499806151805846,166.9276476333791,0.9074884532019496,0,0,71,0.0,0.0,0.562722384929657
PU-C,mnist,0,0.0,0.0,80,1000,0,84,138,222,0.26729094103211537,0.16659999999999997,0.6420919934451176,0.1382,0.3405178284461453,179.58395463216922,1.0268442770466208,0,0,81,0.0,0.0,0.5710517764091492
PU-C,mnist,0,0.0,0.0,90,1000,0,94,126,220,0.26514505001250654,0.15549999999999997,0.6348199239825423,0.12382000000000001,0.3215922504132481,193.97673860601876,1.1466039083898067,0,0,91,0.0,0.0,0.5781461596488953
PU-C,mnist,0,0.0,0.0,100,1000,0,104,107,211,0.2554699764586985,0.13390000000000002,0.618572281868764,0.10557999999999997,0.29675001466897355,204.77262441390508,1.2664892384782434,0,0,101,0.0,0.0,0.5712441802024841
PU-C,mnist,0,0.0,0.0,110,1000,0,114,100,214,0.2586984192603268,0.12949999999999995,0.6148658706153833,0.09681999999999996,0.2844345517613224,216.5091863928312,1.3860053466632962,0,0,111,0.0,0.0,0.5761696696281433
PU-C,mnist,0,0.0,0.0,120,1000,0,124,113,237,0.2833391620661132,0.14359999999999995,0.6393119831874176,0.10841999999999999,0.30068599155173226,228.69165109174764,1.5057558985427022,0,0,121,0.0,0.0,0.5890445709228516
PU-C,mnist,0,0.0,0.0,130,1000,0,134,103,237,0.2833391620661132,0.12460000000000004,0.6379041900563537,0.10191999999999998,0.29163748460906314,239.58738828564003,1.6251121191307902,0,0,131,0.0,0.0,0.589599609375
PU-C,mnist,0,0.0,0.0,140,1000,0,144,86,230,0.2758599375956692,0.11240000000000006,0.6204219079961069,0.08405999999999997,0.2659711683579501,251.30301595127764,1.7450163504108787,0,0,141,0.0,0.0,0.583621621131897
PU-C,mnist,0,0.0,0.0,150,1000,0,154,78,232,0.27799860923551023,0.10940000000000005,0.6152355234010497,0.07589999999999997,0.25378969024827003,262.04185266517686,1.8648000732064247,0,0,151,0.0,0.0,0.5891847014427185
PU-C,mnist,0,0.0,0.0,160,1000,0,164,66,230,0.2758599375956692,0.10429999999999995,0.606386268465019,0.06579999999999998,0.23823639176974293,272.89410785893307,1.983695488423109,0,0,161,0.0,0.0,0.5830453634262085
PU-C,mnist,0,0.0,0.0,170,1000,0,174,38,212,0.2565465088118799,0.10509999999999997,0.564749577589105,0.03872000000000003,0.19299524724146253,283.5295173611039,2.10414959769696,0,0,171,0.0,0.0,0.5892302393913269
