dataset,method,noise_rate,pretrain_fraction,step,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se
mnist,GREATS,0.0,0.0,0,3,4.0,0.0,438.0,11.718930554164631,442.0,11.718930554164631,,,0.42819999999999997,0.0034530180036213575,0.7451177346790444,0.0006733367984044975,0.46470666666666666,0.0006180974392799698,0.6873750392997731,0.0005544303004028599,0.8952864022927104,0.12705576957329673,0.05650563662250837,0.0002951574623573258,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6660631696383158,0.004455485811078595
mnist,GREATS,0.0,0.0,10,3,14.0,0.0,345.0,39.37427248005141,359.0,39.37427248005141,,,0.328,0.032325273909641274,0.7022377683423581,0.031135996064504266,0.3428533333333334,0.03371264912627176,0.570554469654574,0.0337254061826896,31.79196207771193,2.2196325524938496,0.19135040727754435,0.0010226466334960795,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.6070666710535685,0.010378559752385446
mnist,GREATS,0.0,0.0,100,3,104.0,0.0,82.0,12.662279942148388,186.0,12.662279942148388,,,0.1421333333333333,0.0070720891145717585,0.6134111311406686,0.01855480859621504,0.08353999999999999,0.013162026186470431,0.26446338395297636,0.019107438500952943,243.94665815258625,0.9116559115333372,1.355073170736432,0.00807256173998223,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.6248274644215902,0.008608873334939864
mnist,GREATS,0.0,0.0,110,3,114.0,0.0,77.66666666666667,3.3829638550307397,191.66666666666666,3.3829638550307397,,,0.14023333333333332,0.00465916063017554,0.6158762431962493,0.0015017201970802068,0.0777533333333333,0.0005169569077248516,0.25658323994580173,0.0007769881451521672,258.716710783967,1.151700018372503,1.4816224469492834,0.008100850480450946,0.0,0.0,0.0,0.0,111.0,0.0,0.0,0.0,0.0,0.0,0.6256183385848999,0.006423663044005124
mnist,GREATS,0.0,0.0,120,3,124.0,0.0,71.66666666666667,12.706079035030612,195.66666666666666,12.706079035030614,,,0.12813333333333332,0.0150461881477595,0.6146072440783347,0.018550853454945053,0.07197333333333332,0.011433286686007835,0.24707512895709863,0.017680780088571404,272.463078789392,0.7072087494772495,1.6086007561534643,0.008160236463443583,0.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.6247091094652811,0.008954234923293725
mnist,GREATS,0.0,0.0,130,3,134.0,0.0,54.666666666666664,7.838650677536565,188.66666666666666,7.838650677536565,,,0.12186666666666664,0.005318625553446836,0.5983561834394563,0.012496656489641086,0.057020000000000015,0.007121909856211307,0.22383171284898984,0.0116653596990236,284.17202555083446,0.37840614664282757,1.7351336491604645,0.00855366596927818,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0,0.0,0.6218956708908081,0.005593440617995584
mnist,GREATS,0.0,0.0,140,3,144.0,0.0,37.333333333333336,1.6666666666666667,181.33333333333334,1.666666666666667,,,0.10760000000000003,0.004626373669877232,0.5730189561556299,0.005169316531967801,0.03911333333333337,0.0027576398926940724,0.1936099363749094,0.00496868111777785,295.227315642413,0.5532711937337339,1.861016111758848,0.008853321596954337,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,0.6191989183425903,0.006241663922521742
mnist,GREATS,0.0,0.0,150,3,154.0,0.0,27.333333333333332,1.2018504251546633,181.33333333333334,1.2018504251546633,,,0.10360000000000003,0.003982880029995055,0.5570036221615942,0.0035012339377682843,0.028326666666666694,0.0012544498572858332,0.1735399406436653,0.002445137424330215,305.527604762212,1.0797780371789845,1.9869305013368528,0.009274310380517249,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.6151902675628662,0.004961128407362345
mnist,GREATS,0.0,0.0,160,3,164.0,0.0,25.333333333333332,2.728450923957483,189.33333333333334,2.728450923957483,,,0.10319999999999996,0.005559076661940668,0.5594034272619853,0.006198993444249088,0.026446666666666684,0.0023096704911692045,0.169761604346109,0.004629064631805923,316.1943447856133,1.4819635388479238,2.112737444229424,0.009718919721265207,0.0,0.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.611909806728363,0.003422209093005241
mnist,GREATS,0.0,0.0,170,3,174.0,0.0,20.333333333333332,3.1797973380564852,194.33333333333334,3.1797973380564852,,,0.09809999999999997,0.00066583281184793,0.5525038385270565,0.0065431048353246524,0.021033333333333352,0.002875281628718213,0.15858711388099658,0.00609952498748142,325.9994736577928,1.4326137106529417,2.2381531139835715,0.01028138690164338,0.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.6126719911893209,0.0028874684742797004
