method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
Marginal,mnist,0,0.0,0.4,3000,2000,709,0,709,0.2637883843271993,0.05300000000000005,0.053,,,,,35.05584473628551,1,706,0.0,0.0,0.5652105808258057,0.5652105808258057,0.9955761432647705,0.007957263864145357,0.9957627118644068,0.998587570621469,0.9957627118644068,0.0,0.0,0.16581273857752102,1.4170936307112396
PU-R,mnist,0,0.0,0.4,3000,2000,471,0,471,0.18035547027830034,0.05259999999999998,0.0526,,,,,24.251836995594203,1,468,0.0,0.0,0.5700129866600037,0.5700129866600037,0.993964672088623,0.013512407671883107,0.9957446808510638,0.997872340425532,0.9957446808510638,0.0,0.0,0.17138999466320054,1.4143050026683999
GREATS,mnist,0,0.0,0.4,3000,2000,387,0,387,,0.0504,0.0504,,,,,9.80313371680677,1,384,0.0,0.0,0.5871626138687134,0.5871626138687134,0.9884212017059326,0.016394958704700355,0.9974093264248705,0.9974093264248705,0.9974093264248705,0.0,0.0,0.17651626722982047,1.4117418663850898
MaxLoss,mnist,0,0.0,0.5,2500,2500,324,0,324,0.15308502572588623,0.058499999999999996,0.0585,,,,,5.642836927436292,1,321,0.0,0.0,0.5774173140525818,0.5774173140525818,0.989125669002533,0.01956956188378988,0.9969040247678018,0.9938080495356038,0.9938080495356038,0.0,0.0,0.18495862462310098,1.4075206876884496
Marginal,mnist,0,0.0,0.5,2500,2500,651,0,651,0.2913685658131726,0.054300000000000015,0.0543,,,,,28.39941125176847,1,648,0.0,0.0,0.572086751461029,0.572086751461029,0.9974589347839355,0.009524611522658512,0.9953846153846154,0.9969230769230769,0.9938461538461538,0.0,0.0,0.16955096276943996,1.41522451861528
PU-R,mnist,0,0.0,0.5,2500,2500,439,0,439,0.20229163172189146,0.05410000000000004,0.0541,,,,,20.1597252888605,1,436,0.0,0.0,0.5705348253250122,0.5705348253250122,0.9932835102081299,0.014429556582889575,0.997716894977169,0.997716894977169,0.997716894977169,0.0,0.0,0.175221391348773,1.4123893043256135
GREATS,mnist,0,0.0,0.5,2500,2500,370,0,370,,0.0514,0.0514,,,,,8.742454926483333,1,367,0.0,0.0,0.5860880017280579,0.5860880017280579,0.989568829536438,0.018126539606159314,0.997289972899729,0.994579945799458,0.994579945799458,0.0,0.0,0.17974433462052108,1.4101278326897395
MaxLoss,mnist,0,0.0,0.6,2000,3000,281,0,281,0.16758119146106765,0.06130000000000002,0.0613,,,,,4.1515895407646894,1,278,0.0,0.0,0.5736690759658813,0.5736690759658813,0.9931745529174805,0.02180877050517925,0.9964285714285714,0.9964285714285714,0.9964285714285714,0.0,0.0,0.18862419089302873,1.4056879045534856
Marginal,mnist,0,0.0,0.6,2000,3000,568,0,568,0.31940627470612526,0.059799999999999964,0.0598,,,,,20.365959843620658,1,565,0.0,0.0,0.5704798698425293,0.5704798698425293,0.9973426461219788,0.010114861412443601,0.9964726631393298,0.9964726631393298,0.9947089947089947,0.0,0.0,0.16607367758638625,1.416963161206807
PU-R,mnist,0,0.0,0.6,2000,3000,379,0,379,0.22011592029593885,0.060699999999999976,0.0607,,,,,13.884825172834098,1,376,0.0,0.0,0.5774432420730591,0.5774432420730591,0.9904235601425171,0.01729904368357171,0.9973544973544973,0.9947089947089947,0.9947089947089947,0.0,0.0,0.1803472263275924,1.4098263868362038
GREATS,mnist,0,0.0,0.6,2000,3000,329,0,329,,0.058699999999999974,0.0587,,,,,6.665761329233646,1,326,0.0,0.0,0.5985681414604187,0.5985681414604187,0.9846356511116028,0.01943092326997075,0.9969512195121951,0.9969512195121951,0.9969512195121951,0.0,0.0,0.18243701682276162,1.4087814915886192
MaxLoss,mnist,0,0.0,0.7,1500,3500,228,0,228,0.18416927027283236,0.06889999999999996,0.0689,,,,,2.8216358413919806,1,225,0.0,0.0,0.5829241275787354,0.5829241275787354,0.9904817938804626,0.023935190219399292,0.9955947136563876,0.9955947136563876,0.9955947136563876,0.0,0.0,0.19105428593522256,1.4044728570323888
Marginal,mnist,0,0.0,0.7,1500,3500,479,0,479,0.3613173351623118,0.0686,0.0686,,,,,13.39436147082597,1,476,0.0,0.0,0.5741301774978638,0.5741301774978638,0.9946150779724121,0.013738450144659181,0.9937238493723849,0.99581589958159,0.9916317991631799,0.0,0.0,0.17619941380857257,1.4119002930957136
PU-R,mnist,0,0.0,0.7,1500,3500,310,0,310,0.2429931885562837,0.06659999999999999,0.0666,,,,,8.548144201748073,1,307,0.0,0.0,0.5783012509346008,0.5783012509346008,0.9945081472396851,0.02108633062805269,0.9967637540453075,0.9967637540453075,0.9967637540453075,0.0,0.0,0.18927210433080885,1.4053639478345956
GREATS,mnist,0,0.0,0.7,1500,3500,271,0,271,,0.07179999999999997,0.0718,,,,,4.581440846435726,1,268,0.0,0.0,0.5934022665023804,0.5934022665023804,0.9883896112442017,0.020986707899202074,0.9962962962962963,0.9962962962962963,0.9962962962962963,0.0,0.0,0.18444556577505453,1.4077772171124727
MaxLoss,mnist,0,0.0,0.8,1000,4000,189,0,189,0.23168464459013194,0.0867,0.0867,,,,,1.9928381703794003,1,186,0.0,0.0,0.5759883522987366,0.5759883522987366,0.9918586611747742,0.03058123626149299,0.9946808510638298,0.9840425531914894,0.9840425531914894,0.0,0.0,0.20488794892088363,1.3975560255395583
Marginal,mnist,0,0.0,0.8,1000,4000,357,0,357,0.4092370291473344,0.07889999999999997,0.0789,,,,,6.73599393479526,1,354,0.0,0.0,0.5707654356956482,0.5707654356956482,0.9951428174972534,0.01863514042061785,0.9943820224719101,0.9943820224719101,0.9915730337078652,0.0,0.0,0.1862761938408618,1.406861903079569
PU-R,mnist,0,0.0,0.8,1000,4000,229,0,229,0.274790070601739,0.07840000000000003,0.0784,,,,,4.572084945626557,1,226,0.0,0.0,0.573032021522522,0.573032021522522,0.9919089078903198,0.027120010216573353,0.9956140350877193,0.9912280701754386,0.9912280701754386,0.0,0.0,0.2008112136869843,1.3995943931565078
GREATS,mnist,0,0.0,0.8,1000,4000,221,0,221,,0.07899999999999996,0.079,,,,,3.1482204841449857,1,218,0.0,0.0,0.6066845655441284,0.6066845655441284,0.9834163188934326,0.0255295865745707,0.9954545454545455,0.9954545454545455,0.9954545454545455,0.0,0.0,0.19353371669970043,1.4032331416501498
MaxLoss,mnist,1,0.0,0.0,5000,0,499,0,499,0.11476201220648363,0.04579999999999995,0.0458,,,,,15.687938977964222,1,496,0.0,0.0,0.5761458873748779,0.5761458873748779,0.9917173981666565,0.012651331311308715,0.9959839357429718,0.9979919678714859,0.9959839357429718,0.0,0.0,0.16814334249886456,1.4159283287505677
Marginal,mnist,1,0.0,0.0,5000,0,800,104,904,0.20022039744071662,0.048699999999999966,0.0487,,,,,47.37950312998146,0,797,0.0,0.0,0.5547488331794739,0.5547488331794739,0.9968961477279663,0.005988567612853393,0.9962453066332916,0.9987484355444305,0.9962453066332916,0.0,0.0,0.1594962552888042,1.420251872355598
PU-R,mnist,1,0.0,0.0,5000,0,687,0,687,0.15467773930868134,0.04039999999999999,0.0404,,,,,64.05957287363708,1,684,0.0,0.0,0.5665159225463867,0.5665159225463867,0.9937800168991089,0.009137610118305339,0.9985422740524781,0.9985422740524781,0.9985422740524781,0.0,0.0,0.16807595675399603,1.415962021623002
GREATS,mnist,1,0.0,0.0,5000,0,620,0,620,,0.04239999999999999,0.0424,,,,,29.546549865044653,1,617,0.0,0.0,0.5806069374084473,0.5806069374084473,0.9904998540878296,0.009719345129587009,0.9983844911147012,0.9983844911147012,0.9983844911147012,0.0,0.0,0.16289699752638823,1.418551501236806
MaxLoss,mnist,1,0.0,0.1,4500,500,458,0,458,0.11765963450307027,0.04569999999999996,0.0457,,,,,12.730133701115847,1,455,0.0,0.0,0.5760137438774109,0.5760137438774109,0.990826427936554,0.013286843879099454,0.9978118161925602,0.9978118161925602,0.9978118161925602,0.0,0.0,0.16934948794608068,1.4153252560269598
Marginal,mnist,1,0.0,0.1,4500,500,800,43,843,0.2080468235653825,0.04859999999999998,0.0486,,,,,47.093415854498744,0,797,0.0,0.0,0.568408191204071,0.568408191204071,0.9976462125778198,0.006291776996202655,0.9974968710888611,0.9987484355444305,0.9974968710888611,0.0,0.0,0.16187170615555882,1.4190641469222207
PU-R,mnist,1,0.0,0.1,4500,500,627,0,627,0.15761353832203895,0.05010000000000003,0.0501,,,,,51.50387119781226,1,624,0.0,0.0,0.5640420913696289,0.5640420913696289,0.9927946329116821,0.010030916849963557,0.9984025559105432,0.9984025559105432,0.9984025559105432,0.0,0.0,0.165236515649852,1.417381742175074
GREATS,mnist,1,0.0,0.1,4500,500,555,0,555,,0.0494,0.0494,,,,,22.507571469061077,1,552,0.0,0.0,0.5763369202613831,0.5763369202613831,0.9889298677444458,0.011053809573762926,0.9981949458483754,0.9981949458483754,0.9981949458483754,0.0,0.0,0.16601287950871324,1.4169935602456434
MaxLoss,mnist,1,0.0,0.2,4000,1000,444,0,444,0.1284833152894862,0.049900000000000055,0.0499,,,,,11.705113470554352,1,441,0.0,0.0,0.5759962201118469,0.5759962201118469,0.9897589683532715,0.013516510981839343,0.9977426636568849,0.9977426636568849,0.9977426636568849,0.0,0.0,0.17052439013217888,1.4147378049339105
Marginal,mnist,1,0.0,0.2,4000,1000,800,39,839,0.2326575933257118,0.050000000000000044,0.05,,,,,46.44203865341842,0,797,0.0,0.0,0.5578808784484863,0.5578808784484863,0.9976991415023804,0.006054676123403738,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16021521518269524,1.4198923924086524
PU-R,mnist,1,0.0,0.2,4000,1000,586,0,586,0.16626318491762504,0.05120000000000002,0.0512,,,,,42.90684830117971,1,583,0.0,0.0,0.5661929249763489,0.5661929249763489,0.9921891689300537,0.011823195533858787,0.9982905982905983,0.9982905982905983,0.9982905982905983,0.0,0.0,0.17316125831252888,1.4134193708437355
GREATS,mnist,1,0.0,0.2,4000,1000,506,0,506,,0.05410000000000004,0.0541,,,,,17.95328152179718,1,503,0.0,0.0,0.5903810262680054,0.5903810262680054,0.9919159412384033,0.012737712073647002,0.998019801980198,0.996039603960396,0.996039603960396,0.0,0.0,0.1682383051146332,1.4158808474426834
MaxLoss,mnist,1,0.0,0.3,3500,1500,419,0,419,0.13899946969468147,0.053200000000000025,0.0532,,,,,10.312804786488414,1,416,0.0,0.0,0.5782785415649414,0.5782785415649414,0.9891244173049927,0.014895937023417016,0.9976076555023924,0.9976076555023924,0.9976076555023924,0.0,0.0,0.1737765652575572,1.4131117173712213
Marginal,mnist,1,0.0,0.3,3500,1500,800,4,804,0.2549733837367967,0.05169999999999997,0.0517,,,,,46.26665021572262,0,797,0.0,0.0,0.5597420930862427,0.5597420930862427,0.9937025308609009,0.00764098896381873,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.17035950218594093,1.4148202489070294
PU-R,mnist,1,0.0,0.3,3500,1500,588,0,588,0.19032113760476932,0.04859999999999998,0.0486,,,,,42.86372765339911,1,585,0.0,0.0,0.565983772277832,0.565983772277832,0.9934436082839966,0.011385636242523827,0.9982964224872232,0.9982964224872232,0.9982964224872232,0.0,0.0,0.16862190822105333,1.4156890458894733
GREATS,mnist,1,0.0,0.3,3500,1500,470,0,470,,0.0504,0.0504,,,,,15.11644275393337,1,467,0.0,0.0,0.5791241526603699,0.5791241526603699,0.9884326457977295,0.013381890819541045,0.997867803837953,0.997867803837953,0.997867803837953,0.0,0.0,0.17033649248071728,1.4148317537596413
MaxLoss,mnist,1,0.0,0.4,3000,2000,370,0,370,0.14438000600785017,0.055400000000000005,0.0554,,,,,7.545066526159644,1,367,0.0,0.0,0.5821318030357361,0.5821318030357361,0.9906483888626099,0.0170730512512237,0.997289972899729,0.997289972899729,0.997289972899729,0.0,0.0,0.17841153371196736,1.4107942331440162
Marginal,mnist,1,0.0,0.4,3000,2000,725,0,725,0.26934421493206173,0.05249999999999999,0.0525,,,,,36.38372589927167,1,722,0.0,0.0,0.5616535544395447,0.5616535544395447,0.9968981146812439,0.007684334747889465,0.9972375690607734,0.9986187845303868,0.9972375690607734,0.0,0.0,0.16705928536247808,1.416470357318761
PU-R,mnist,1,0.0,0.4,3000,2000,475,0,475,0.18177196802571416,0.049900000000000055,0.0499,,,,,24.514589433558285,1,472,0.0,0.0,0.5733246803283691,0.5733246803283691,0.9921818971633911,0.013266959086154835,0.9978902953586498,0.9978902953586498,0.9978902953586498,0.0,0.0,0.1718631439344074,1.4140684280327962
GREATS,mnist,1,0.0,0.4,3000,2000,432,0,432,,0.05589999999999995,0.0559,,,,,12.242214180529118,1,429,0.0,0.0,0.5799368619918823,0.5799368619918823,0.9869869947433472,0.01467293562538265,0.9976798143851509,0.9976798143851509,0.9976798143851509,0.0,0.0,0.17350695136463098,1.4132465243176844
MaxLoss,mnist,1,0.0,0.5,2500,2500,317,0,317,0.1500628961948678,0.06040000000000001,0.0604,,,,,5.364499274641275,1,314,0.0,0.0,0.5786914229393005,0.5786914229393005,0.9871788024902344,0.02035248214879981,0.9968354430379747,0.9968354430379747,0.9968354430379747,0.0,0.0,0.18647004481361645,1.4067649775931916
Marginal,mnist,1,0.0,0.5,2500,2500,626,0,626,0.2809523531468585,0.05300000000000005,0.053,,,,,25.927699730731547,1,623,0.0,0.0,0.5612581372261047,0.5612581372261047,0.9950641393661499,0.00953654100112617,0.9984,0.9984,0.9984,0.0,0.0,0.16987844103618305,1.4150607794819083
PU-R,mnist,1,0.0,0.5,2500,2500,460,0,460,0.21119942155200988,0.057499999999999996,0.0575,,,,,22.562664616853,1,457,0.0,0.0,0.564434289932251,0.564434289932251,0.9921354055404663,0.014495889175873989,0.9978213507625272,0.9978213507625272,0.9978213507625272,0.0,0.0,0.17481138900910942,1.4125943054954453
GREATS,mnist,1,0.0,0.5,2500,2500,373,0,373,,0.058599999999999985,0.0586,,,,,8.828327341005206,1,370,0.0,0.0,0.5925773978233337,0.5925773978233337,0.9871823191642761,0.016356089546705685,0.9973118279569892,0.9973118279569892,0.9973118279569892,0.0,0.0,0.17487339365770518,1.4125633031711473
MaxLoss,mnist,1,0.0,0.6,2000,3000,265,0,265,0.1589121205615811,0.05620000000000003,0.0562,,,,,3.7243834659457207,1,262,0.0,0.0,0.5801571607589722,0.5801571607589722,0.9889010190963745,0.02271509825192025,0.9962121212121212,0.9962121212121212,0.9962121212121212,0.0,0.0,0.18983080031342608,1.405084599843287
Marginal,mnist,1,0.0,0.6,2000,3000,566,0,566,0.3183667072444223,0.06120000000000003,0.0612,,,,,20.13845336716622,1,563,0.0,0.0,0.563003659248352,0.563003659248352,0.9966634511947632,0.011686010545828438,0.9929203539823008,0.9982300884955753,0.9929203539823008,0.0,0.0,0.173619005880238,1.413190497059881
PU-R,mnist,1,0.0,0.6,2000,3000,383,0,383,0.22224233782617375,0.05179999999999996,0.0518,,,,,14.183209325186908,1,380,0.0,0.0,0.5725198984146118,0.5725198984146118,0.9914217591285706,0.01770301780136819,0.9973821989528796,0.9947643979057592,0.9947643979057592,0.0,0.0,0.18284362785977298,1.4085781860701134
GREATS,mnist,1,0.0,0.6,2000,3000,324,0,324,,0.05920000000000003,0.0592,,,,,6.60417443793267,1,321,0.0,0.0,0.6011274456977844,0.6011274456977844,0.9878037571907043,0.020037219680171033,0.9969040247678018,0.9938080495356038,0.9938080495356038,0.0,0.0,0.1832520476163347,1.4083739761918326
MaxLoss,mnist,1,0.0,0.7,1500,3500,222,0,222,0.17981651553418487,0.07220000000000004,0.0722,,,,,2.682838757522404,1,219,0.0,0.0,0.5805473923683167,0.5805473923683167,0.9866271018981934,0.025341474157715916,0.995475113122172,0.995475113122172,0.995475113122172,0.0,0.0,0.1957357343017326,1.4021321328491336
Marginal,mnist,1,0.0,0.7,1500,3500,472,0,472,0.3564786716015078,0.06369999999999998,0.0637,,,,,12.932702101767063,1,469,0.0,0.0,0.5736333727836609,0.5736333727836609,0.9963256120681763,0.013682915556250484,0.9978768577494692,0.9978768577494692,0.9978768577494692,0.0,0.0,0.17628314406197035,1.411858427969015
PU-R,mnist,1,0.0,0.7,1500,3500,319,0,319,0.24938371306052431,0.07410000000000005,0.0741,,,,,9.14658922702074,1,316,0.0,0.0,0.5711166858673096,0.5711166858673096,0.9918094873428345,0.020576010197518195,0.9905660377358491,0.9968553459119497,0.9905660377358491,0.0,0.0,0.18758491103356958,1.4062075444832152
GREATS,mnist,1,0.0,0.7,1500,3500,249,0,249,,0.07410000000000005,0.0741,,,,,3.982849730178714,1,246,0.0,0.0,0.605539858341217,0.605539858341217,0.9868547916412354,0.02362358771196957,0.9959677419354839,0.9959677419354839,0.9959677419354839,0.0,0.0,0.18882041954478676,1.4055897902276067
MaxLoss,mnist,1,0.0,0.8,1000,4000,179,0,179,0.22080486710183322,0.07069999999999999,0.0707,,,,,1.812105592340231,1,176,0.0,0.0,0.5920576453208923,0.5920576453208923,0.988620400428772,0.031686569613749896,0.9943820224719101,0.9831460674157303,0.9831460674157303,0.0,0.0,0.20836668360848265,1.3958166581957587
Marginal,mnist,1,0.0,0.8,1000,4000,351,0,351,0.4030348219675943,0.07809999999999995,0.0781,,,,,6.4628499848768115,1,348,0.0,0.0,0.5680844783782959,0.5680844783782959,0.9925375580787659,0.017751730919948645,0.9971428571428571,0.9971428571428571,0.9971428571428571,0.0,0.0,0.18368077698043367,1.4081596115097832
PU-R,mnist,1,0.0,0.8,1000,4000,224,0,224,0.26943536213366315,0.08079999999999998,0.0808,,,,,4.350471713580191,1,221,0.0,0.0,0.5824922919273376,0.5824922919273376,0.9884136319160461,0.028510391809288497,0.9955156950672646,0.9955156950672646,0.9955156950672646,0.0,0.0,0.20368673172428145,1.3981566341378593
GREATS,mnist,1,0.0,0.8,1000,4000,195,0,195,,0.07689999999999997,0.0769,,,,,2.5774631034582853,1,192,0.0,0.0,0.6061611175537109,0.6061611175537109,0.9830527305603027,0.028271231147431835,0.9948453608247423,0.9896907216494846,0.9896907216494846,0.0,0.0,0.1980483573409548,1.4009758213295225
MaxLoss,mnist,2,0.0,0.0,5000,0,489,0,489,0.11262328876182437,0.04590000000000005,0.0459,,,,,14.884200225584209,1,486,0.0,0.0,0.5742648243904114,0.5742648243904114,0.99000084400177,0.012913783818729542,0.9979508196721312,0.9979508196721312,0.9979508196721312,0.0,0.0,0.16888101028620967,1.415559494856895
Marginal,mnist,2,0.0,0.0,5000,0,800,76,876,0.19436972466064617,0.04510000000000003,0.0451,,,,,47.52909216005355,0,797,0.0,0.0,0.5585392117500305,0.5585392117500305,0.9976147413253784,0.006288727656098897,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16161770244408885,1.4191911487779556
PU-R,mnist,2,0.0,0.0,5000,0,666,0,666,0.15024327783612534,0.04069999999999996,0.0407,,,,,59.26271212566644,1,663,0.0,0.0,0.5628259778022766,0.5628259778022766,0.9950112104415894,0.009233868259348367,0.9984962406015038,0.9984962406015038,0.9984962406015038,0.0,0.0,0.16511863419575828,1.4174406829021209
GREATS,mnist,2,0.0,0.0,5000,0,635,0,635,,0.04310000000000003,0.0431,,,,,30.816914548166096,1,632,0.0,0.0,0.5731242299079895,0.5731242299079895,0.9916948080062866,0.00958178853630808,0.998422712933754,0.998422712933754,0.998422712933754,0.0,0.0,0.1639799333064073,1.4180100333467962
MaxLoss,mnist,2,0.0,0.1,4500,500,455,0,455,0.11694528593216091,0.04590000000000005,0.0459,,,,,12.433243780396879,1,452,0.0,0.0,0.5749374628067017,0.5749374628067017,0.9894299507141113,0.013776112174500386,0.9977973568281938,0.9977973568281938,0.9977973568281938,0.0,0.0,0.17202622762757533,1.4139868861862124
Marginal,mnist,2,0.0,0.1,4500,500,800,48,848,0.20920760498847812,0.04600000000000004,0.046,,,,,46.62912990804762,0,797,0.0,0.0,0.5628595352172852,0.5628595352172852,0.9966937303543091,0.006345032656518539,0.9987484355444305,0.9987484355444305,0.9987484355444305,0.0,0.0,0.16233134810122596,1.418834325949387
PU-R,mnist,2,0.0,0.1,4500,500,630,0,630,0.15831832017283887,0.04400000000000004,0.044,,,,,51.146312948316336,1,627,0.0,0.0,0.5646110773086548,0.5646110773086548,0.9905073046684265,0.01040874286478871,0.9968203497615262,0.9984101748807631,0.9968203497615262,0.0,0.0,0.16924420221349207,1.415377898893254
GREATS,mnist,2,0.0,0.1,4500,500,536,0,536,,0.04510000000000003,0.0451,,,,,20.596471932716668,1,533,0.0,0.0,0.5732318758964539,0.5732318758964539,0.9899140000343323,0.011460070943821083,0.9981308411214953,0.9981308411214953,0.9981308411214953,0.0,0.0,0.16618127764251706,1.4169093611787416
