method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
Marginal,mnist,0,0.0,0.4,support,3000,2000,343,0,343,0.13468522898619995,0.03979999999999995,0.0398,,,,,7.78596942697186,1,340,0.0,0.0,0.6565141081809998,0.6565141081809998,0.9916199445724487,0.025711813573970607,0.9883040935672515,0.9912280701754386,0.9824561403508771,0.0,0.0,0.2038478633910894,1.3980760683044553
PU-R,mnist,0,0.0,0.4,support,3000,2000,180,0,180,0.0751366894110106,0.04169999999999996,0.0417,,,,,3.661708353087306,1,177,0.0,0.0,0.7675272822380066,0.7675272822380066,0.9855560660362244,0.04774754528767903,0.9553072625698324,0.9553072625698324,0.9329608938547486,0.0,0.0,0.2127365411814133,1.3936317294092935
GREATS,mnist,0,0.0,0.4,support,3000,2000,316,0,316,,0.041200000000000014,0.0412,,,,,7.379146726918407,1,313,0.0,0.0,0.6704134345054626,0.6704134345054626,0.9866452813148499,0.02942335327998513,0.9904761904761905,0.9841269841269841,0.9809523809523809,0.0,0.0,0.20288480272821574,1.3985575986358922
MaxLoss,mnist,0,0.0,0.5,support,2500,2500,160,0,160,0.08107107190880924,0.0413,0.0413,,,,,2.4831554060801864,1,157,0.0,0.0,0.7924732565879822,0.7924732565879822,0.987086296081543,0.05398245275301753,0.9559748427672956,0.9308176100628931,0.9119496855345912,0.0,0.0,0.21254236707089508,1.3937288164645525
Marginal,mnist,0,0.0,0.5,support,2500,2500,281,0,281,0.1344616650021635,0.041200000000000014,0.0412,,,,,5.977735555032268,1,278,0.0,0.0,0.6947194337844849,0.6947194337844849,0.9843289256095886,0.03081068384594151,0.9892857142857143,0.9928571428571429,0.9857142857142858,0.0,0.0,0.20587783614143682,1.3970610819292815
PU-R,mnist,0,0.0,0.5,support,2500,2500,162,0,162,0.08196964877424762,0.044499999999999984,0.0445,,,,,3.4256759100826457,1,159,0.0,0.0,0.7972772717475891,0.7972772717475891,0.9749742746353149,0.05129708817101413,0.9440993788819876,0.937888198757764,0.9006211180124224,0.0,0.0,0.20796464034149803,1.396017679829251
GREATS,mnist,0,0.0,0.5,support,2500,2500,261,0,261,,0.042200000000000015,0.0422,,,,,5.85568100400269,1,258,0.0,0.0,0.697048544883728,0.697048544883728,0.9761290550231934,0.03668578404646653,0.9807692307692307,0.9769230769230769,0.9615384615384616,0.0,0.0,0.21399448983507477,1.3930027550824626
MaxLoss,mnist,0,0.0,0.6,support,2000,3000,136,0,136,0.08761158329434693,0.043399999999999994,0.0434,,,,,2.1354062820319086,1,133,0.0,0.0,0.806494951248169,0.806494951248169,0.9875251054763794,0.06038058554684674,0.8592592592592593,0.9037037037037037,0.837037037037037,0.0,0.0,0.2169165517984152,1.3915417241007924
Marginal,mnist,0,0.0,0.6,support,2000,3000,219,0,219,0.13380859710741788,0.040000000000000036,0.04,,,,,4.2623367758933455,1,216,0.0,0.0,0.7215046882629395,0.7215046882629395,0.9855262041091919,0.03665697601957059,0.981651376146789,0.981651376146789,0.9678899082568807,0.0,0.0,0.20929083367846904,1.3953545831607654
PU-R,mnist,0,0.0,0.6,support,2000,3000,127,0,127,0.0825057434849441,0.045499999999999985,0.0455,,,,,2.524648000020534,1,124,0.0,0.0,0.8164346814155579,0.8164346814155579,0.9783471822738647,0.06377028685713572,0.7777777777777778,0.8888888888888888,0.7698412698412699,0.0,0.0,0.21380765519151115,1.3930961724042445
GREATS,mnist,0,0.0,0.6,support,2000,3000,216,0,216,,0.04039999999999999,0.0404,,,,,4.607262692064978,1,213,0.0,0.0,0.7306643128395081,0.7306643128395081,0.9735370874404907,0.043313739119574084,0.9674418604651163,0.9627906976744186,0.9441860465116279,0.0,0.0,0.21584827725852176,1.3920758613707391
MaxLoss,mnist,0,0.0,0.7,support,1500,3500,110,0,110,0.09676338458666578,0.04630000000000001,0.0463,,,,,1.824032460921444,1,107,0.0,0.0,0.7979457378387451,0.7979457378387451,0.9868248701095581,0.06966298845929837,0.7431192660550459,0.8532110091743119,0.7155963302752294,0.0,0.0,0.23261454907722837,1.3836927254613858
Marginal,mnist,0,0.0,0.7,support,1500,3500,182,0,182,0.15058889659121633,0.041000000000000036,0.041,,,,,3.5708906670333818,1,179,0.0,0.0,0.7354959845542908,0.7354959845542908,0.9937907457351685,0.04533009206392488,0.9392265193370166,0.9668508287292817,0.9226519337016574,0.0,0.0,0.2214907357231432,1.3892546321384285
PU-R,mnist,0,0.0,0.7,support,1500,3500,117,0,117,0.10208752035396174,0.04730000000000001,0.0473,,,,,2.429861361044459,1,114,0.0,0.0,0.8222788572311401,0.8222788572311401,0.9791812300682068,0.0697739427459651,0.7586206896551724,0.8706896551724138,0.7413793103448276,0.0,0.0,0.2176643572521608,1.3911678213739196
GREATS,mnist,0,0.0,0.7,support,1500,3500,167,0,167,,0.04090000000000005,0.0409,,,,,3.4903341479366645,1,164,0.0,0.0,0.7592253088951111,0.7592253088951111,0.9693009853363037,0.051691215619983445,0.9096385542168675,0.9337349397590361,0.8855421686746988,0.0,0.0,0.2179592396706185,1.3910203801646908
MaxLoss,mnist,0,0.0,0.8,support,1000,4000,90,0,90,0.12143703730544075,0.05169999999999997,0.0517,,,,,1.517787500983104,1,87,0.0,0.0,0.8249204754829407,0.8249204754829407,0.9795142412185669,0.07944228608956498,0.7528089887640449,0.8314606741573034,0.7191011235955056,0.0,0.0,0.2248692254603712,1.3875653872698144
Marginal,mnist,0,0.0,0.8,support,1000,4000,147,0,147,0.1856621474144049,0.04179999999999995,0.0418,,,,,2.8171865500044078,1,144,0.0,0.0,0.7554723024368286,0.7554723024368286,0.9834628105163574,0.05762074724452136,0.8424657534246576,0.9383561643835616,0.8287671232876712,0.0,0.0,0.23084970400623384,1.384575147996883
PU-R,mnist,0,0.0,0.8,support,1000,4000,93,0,93,0.12488599366042763,0.05179999999999996,0.0518,,,,,1.8765249999705702,1,90,0.0,0.0,0.8089350461959839,0.8089350461959839,0.9725621342658997,0.08716593375024588,0.6630434782608695,0.7608695652173914,0.5869565217391305,0.0,0.0,0.24115003632090837,1.3794249818395459
GREATS,mnist,0,0.0,0.8,support,1000,4000,138,0,138,,0.04200000000000004,0.042,,,,,2.851824581041001,1,135,0.0,0.0,0.7622485756874084,0.7622485756874084,0.9716139435768127,0.05948726669715269,0.8467153284671532,0.9124087591240876,0.8248175182481752,0.0,0.0,0.22741737971947223,1.3862913101402639
