dataset,method,noise_rate,pretrain_fraction,es_budget,n,step_mean,step_se,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se
mnist,Marginal,0.0,0.0,100,3,100.0,0.0,104.0,0.0,1101.0,87.64892089086628,1205.0,87.64892089086628,0.26267530807914835,0.018099853704036047,0.21706666666666666,0.01893720617667183,0.5023093868183325,0.020273631173531297,0.21970066666666668,0.017380776596893195,0.3705246901630496,0.019768036587105742,167.89838814840382,2.78829318529977,2.5554264890185245,0.01092872975827109,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.5965690811475118,0.0008178895011026558
mnist,Marginal,0.0,0.0,200,3,200.0,0.0,204.0,0.0,748.6666666666666,30.02961501214722,952.6666666666666,30.02961501214722,0.21036589527890706,0.006259083368357359,0.15323333333333333,0.003535219622283428,0.4425675733577295,0.009347092825389135,0.149662,0.0059526156715626645,0.28789119242860883,0.00734294361191288,244.83112111218813,4.5609935785411695,4.555123314339046,0.01756058254504417,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.583531896273295,0.003227163061452904
mnist,Marginal,0.0,0.0,50,3,50.0,0.0,54.0,0.0,1276.0,59.87765303795177,1330.0,59.87765303795177,0.28847892343765125,0.012321195661507228,0.24136666666666665,0.013354940825194431,0.520319254094477,0.012771509071357065,0.2554166666666666,0.012264994596184905,0.41079095200461896,0.013526527992542585,112.30360874831383,2.334462824499774,1.3136879610829055,0.005616342212827443,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.5923652450243632,0.0051880448239017335
mnist,Marginal,0.0,0.0,500,3,500.0,0.0,504.0,0.0,285.6666666666667,9.404490653110589,789.6666666666666,9.404490653110592,0.17628351564053446,0.001974463299389369,0.06933333333333336,0.0010666666666666602,0.34816842575548296,0.005547821792418135,0.05707666666666667,0.001939807665150798,0.16364332456571362,0.0029340854889376975,416.4413828381457,7.8083014106396,9.473745483672246,0.013409611419826535,0.0,0.0,1.0,0.0,501.0,0.0,0.0,0.0,0.0,0.0,0.5701137781143188,0.003655506449971331
mnist,Marginal,0.0,0.2,100,3,100.0,0.0,104.0,0.0,761.6666666666666,17.342946052438087,865.6666666666666,17.342946052438087,0.2395984270842746,0.004515485835518084,0.19143333333333332,0.006325697150863656,0.47579417852106154,0.004847756168263916,0.19043416666666665,0.004068747333161797,0.33696295335508114,0.004789629074222554,149.97835709943058,4.0340408766127,2.1469064253227166,0.016656355161748633,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.6037053267161051,0.00370919599498287
mnist,Marginal,0.0,0.2,200,3,200.0,0.0,204.0,0.0,590.0,20.79262689833426,794.0,20.79262689833426,0.22091181120291972,0.005432261066774278,0.15483333333333335,0.007840564038667409,0.4528793795529646,0.005307522541309518,0.1476425,0.0050568223306077685,0.28541232054955995,0.006266572286726379,228.13517281328828,4.512530908369323,3.8723381840003035,0.025771266155876292,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.5824981927871704,0.002750807358373032
mnist,Marginal,0.0,0.2,50,3,50.0,0.0,54.0,0.0,930.6666666666666,47.4001875289305,984.6666666666666,47.4001875289305,0.27046392384606105,0.012269313804770332,0.22709999999999997,0.009469424480928086,0.5001077664551636,0.01381764653680968,0.23266166666666666,0.011646693856102586,0.3854040598379042,0.013104955991084547,98.18719357996622,2.4959633190377355,1.1048994197044522,0.011947740615264869,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,0.6074628829956055,0.004185105343363738
mnist,Marginal,0.0,0.2,500,3,500.0,0.0,504.0,0.0,201.33333333333334,12.719189352225943,705.3333333333334,12.719189352225941,0.19770087212479362,0.0033396836445859163,0.07426666666666666,0.00368887215524987,0.35393637962038244,0.004721013735237159,0.05049083333333334,0.0031663811274773076,0.15354075230536443,0.004935058389842933,393.8716557763665,6.988487437565557,8.175292116900286,0.07792208992493001,0.0,0.0,1.0,0.0,501.0,0.0,0.0,0.0,0.0,0.0,0.5684310595194498,0.002338685171812825
mnist,Marginal,0.0,0.4,100,3,100.0,0.0,104.0,0.0,572.6666666666666,17.2272394125634,676.6666666666666,17.2272394125634,0.2525356790283695,0.005994905965654469,0.18966666666666665,0.004902153721693248,0.49659841981051445,0.00871433139510691,0.18961000000000003,0.005990023495903967,0.3359705620645847,0.007020981876405472,149.89126934313455,2.8574756886875554,1.8291896083392203,0.007417382967577512,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.5867504676183065,0.0031725177209893244
mnist,Marginal,0.0,0.4,200,3,200.0,0.0,204.0,0.0,395.6666666666667,25.208023414072837,599.6666666666666,25.20802341407284,0.22564053368599465,0.008820333141776483,0.14659999999999998,0.0058943475748664,0.45726258089689625,0.012429735986375416,0.13159888888888888,0.00809846289332537,0.2652593573466618,0.010206173601248751,226.53621833748738,3.2447650195614464,3.2936818747160337,0.013403475211165338,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.5776554544766744,0.002150929169783959
