method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
Marginal,mnist,1,0.3,0.2,100,100,4000,1000,104,1845,1949,0.5159947580541484,0.4416,0.7638064109368292,0.4620700000000001,0.6227640994067961,189.7827983542987,2.3508722060360014,0,0,101,0.3076923076923077,0.0,0.5920145511627197
Marginal,mnist,1,0.3,0.2,200,200,4000,1000,204,1751,1955,0.5174996891873889,0.39359999999999995,0.7709911540866745,0.43671249999999995,0.5983430530924068,287.7214092614979,4.311697281897068,0,0,201,0.27450980392156865,0.0,0.5886296033859253
Marginal,mnist,1,0.3,0.2,500,500,4000,1000,504,1507,2011,0.5315330852172337,0.3386,0.7698625055792052,0.376675,0.5388770805426124,504.7839707616395,9.455602240050212,0,1,501,0.27976190476190477,0.0,0.5700913667678833
MaxLoss,mnist,1,0.3,0.4,50,50,3000,2000,54,1482,1536,0.5448921742499806,0.48819999999999997,0.7942671663848396,0.49607,0.6548784098718116,148.44824219755404,0.828880013898015,0,0,51,0.42592592592592593,0.0,0.6012267470359802
MaxLoss,mnist,1,0.3,0.4,100,100,3000,2000,104,1420,1524,0.5408900743932463,0.44689999999999996,0.8083402351259174,0.46823666666666675,0.6286421052510963,254.6878251214402,1.6125178160145879,0,0,101,0.4519230769230769,0.0,0.6057061553001404
MaxLoss,mnist,1,0.3,0.4,200,200,3000,2000,204,1322,1526,0.5415572393685579,0.4485,0.8201572658107316,0.4371066666666667,0.5987257659775959,392.8505678612911,2.926388825988397,0,0,201,0.46568627450980393,0.0,0.5892232656478882
MaxLoss,mnist,1,0.3,0.4,500,500,3000,2000,504,967,1471,0.5231886210967787,0.4162,0.7867719815225381,0.3232466666666667,0.4838948405595706,654.9607637787926,6.3737704830709845,0,1,501,0.4523809523809524,0.0,0.5752924680709839
PU-R,mnist,1,0.3,0.4,50,50,3000,2000,54,1474,1528,0.5422243449720554,0.48760000000000003,0.784710103900688,0.4897633333333333,0.6489757077433158,137.0083650965147,1.290868782903999,0,0,51,0.4444444444444444,0.0,0.5953838229179382
PU-R,mnist,1,0.3,0.4,100,100,3000,2000,104,1370,1474,0.5241916998056695,0.4475,0.783282924309074,0.46002666666666664,0.620811177987809,195.3989343037251,2.7571868570521474,0,0,101,0.3557692307692308,0.0,0.5959898233413696
PU-R,mnist,1,0.3,0.4,200,200,3000,2000,204,1240,1444,0.5141549238469452,0.3789,0.7746867955825372,0.4125400000000001,0.5746833335346178,287.74688363871934,6.260929733980447,0,0,201,0.3235294117647059,0.0,0.5872291922569275
PU-R,mnist,1,0.3,0.4,500,500,3000,2000,504,1002,1506,0.5348829227150418,0.2894,0.7599255975483943,0.33376000000000006,0.49487655156384036,482.3897471984757,26.981512103928253,0,1,501,0.35119047619047616,0.0,0.5673576593399048
PU-C,mnist,1,0.3,0.4,50,50,3000,2000,54,1432,1486,0.5282026836648583,0.44399999999999995,0.7663944999872279,0.47741666666666666,0.6373485191205858,117.89908070523816,1.1560821761377156,0,0,51,0.3888888888888889,0.0,0.5805909037590027
PU-C,mnist,1,0.3,0.4,100,100,3000,2000,104,1486,1590,0.5628751351032406,0.4656,0.8029504155267115,0.4955733333333333,0.6544144499938762,172.7998764989269,2.3361409180797637,0,0,101,0.34615384615384615,0.0,0.5987730026245117
PU-C,mnist,1,0.3,0.4,200,200,3000,2000,204,1283,1487,0.5285368361510336,0.3779,0.778253112925588,0.4285633333333333,0.5904085574588225,256.67804617024535,4.596487059025094,0,0,201,0.30392156862745096,0.0,0.5816758275032043
PU-C,mnist,1,0.3,0.4,500,500,3000,2000,504,990,1494,0.5308754895813763,0.2933,0.7488571632104493,0.33069000000000004,0.4916782817251932,446.61100808029727,11.685471717035398,0,1,501,0.3194444444444444,0.0,0.569434642791748
Marginal,mnist,1,0.3,0.4,50,50,3000,2000,54,1260,1314,0.47050804481841624,0.34819999999999995,0.7287441230133482,0.42101666666666665,0.583022870480732,139.60207166791585,1.0103831279557198,0,0,51,0.3148148148148148,0.0,0.5883609652519226
Marginal,mnist,1,0.3,0.4,100,100,3000,2000,104,1196,1300,0.4657925749197602,0.3176,0.7342539463428086,0.3992366666666666,0.5615010676121399,198.92010474666995,1.9714420780073851,0,0,101,0.3076923076923077,0.0,0.5881321430206299
Marginal,mnist,1,0.3,0.4,200,200,3000,2000,204,1159,1363,0.48698907473590225,0.3144,0.7539976196776839,0.3865766666666666,0.5488480347498937,289.8831366026372,3.6273213180247694,0,0,201,0.3284313725490196,0.0,0.5897616147994995
Marginal,mnist,1,0.3,0.4,500,500,3000,2000,504,963,1467,0.5218509757542051,0.26659999999999995,0.7482125393922653,0.32106666666666656,0.48160734852360376,478.4915563249153,7.992022295948118,0,1,501,0.3392857142857143,0.0,0.5738690495491028
MaxLoss,mnist,1,0.3,0.6,50,50,2000,3000,54,929,983,0.5311366797541268,0.5083,0.7964347614396244,0.46746999999999994,0.6279126169878294,142.43201822264575,0.6700431909412146,0,0,51,0.4444444444444444,0.0,0.5992705225944519
MaxLoss,mnist,1,0.3,0.6,100,100,2000,3000,104,892,996,0.5376526557374746,0.47519999999999996,0.8214999964370719,0.44927,0.610487356447783,237.55735375412016,1.281852921936661,0,0,101,0.4423076923076923,0.0,0.5841755270957947
MaxLoss,mnist,1,0.3,0.6,200,200,2000,3000,204,789,993,0.5361495721153915,0.4929,0.8171151777002649,0.393975,0.5562552162151218,350.99949229360334,2.325536994030699,0,0,201,0.46078431372549017,0.0,0.5753138661384583
MaxLoss,mnist,1,0.3,0.6,500,500,2000,3000,504,506,1010,0.54466225852957,0.4273,0.7838682866852194,0.254085,0.40945758133194515,647.515701503257,5.130282317986712,0,1,501,0.45634920634920634,0.0,0.5745941996574402
PU-R,mnist,1,0.3,0.6,50,50,2000,3000,54,848,902,0.49038398294942454,0.34540000000000004,0.7508204976392912,0.42452499999999993,0.5864609064857418,121.35127975734406,1.0037621210794896,0,0,51,0.2777777777777778,0.0,0.5800796747207642
PU-R,mnist,1,0.3,0.6,100,100,2000,3000,104,802,906,0.4924026725930162,0.32930000000000004,0.7589501451487246,0.39861500000000005,0.5608822218610544,179.63818397722397,2.132409399142489,0,0,101,0.3269230769230769,0.0,0.5916582942008972
PU-R,mnist,1,0.3,0.6,200,200,2000,3000,204,722,926,0.5024864167207852,0.2673,0.765990293426036,0.361475,0.5234406523560482,271.4445855600669,4.992230917094275,0,0,201,0.3137254901960784,0.0,0.5863908529281616
PU-R,mnist,1,0.3,0.6,500,500,2000,3000,504,499,1003,0.5411584430839866,0.23409999999999997,0.7374708840194105,0.24913500000000002,0.40397091814073377,483.268189112204,23.496885827975348,0,1,501,0.32936507936507936,0.0,0.5661637187004089
PU-C,mnist,1,0.3,0.6,50,50,2000,3000,54,969,1023,0.5511641082121059,0.47909999999999997,0.7949415018043807,0.48539,0.6448680341326637,112.38456522603666,0.9176965879742056,0,0,51,0.35185185185185186,0.0,0.5657133460044861
PU-C,mnist,1,0.3,0.6,100,100,2000,3000,104,867,971,0.525115902943071,0.38560000000000005,0.7851388863284662,0.4336249999999999,0.5953418581502663,175.00054371134968,1.8090253348927945,0,0,101,0.3269230769230769,0.0,0.5845118761062622
PU-C,mnist,1,0.3,0.6,200,200,2000,3000,204,775,979,0.5291303972480819,0.3025,0.7836732658291755,0.38640500000000005,0.5486757289912545,264.7694043231978,3.474356099963188,0,0,201,0.3284313725490196,0.0,0.590305745601654
PU-C,mnist,1,0.3,0.6,500,500,2000,3000,504,538,1042,0.560654545261059,0.2613,0.7493254921150297,0.26957,0.4264759223810736,460.7635833618458,8.666941163828596,0,1,501,0.33134920634920634,0.0,0.5667772889137268
Marginal,mnist,1,0.3,0.6,50,50,2000,3000,54,875,929,0.5039975855615921,0.37339999999999995,0.7548935920051087,0.43808,0.5996703939585978,108.86981124024302,0.8026326729450375,0,0,51,0.25925925925925924,0.0,0.5979035496711731
Marginal,mnist,1,0.3,0.6,100,100,2000,3000,104,826,930,0.5045012278715149,0.33699999999999997,0.7639414683730728,0.41329,0.5754230739176893,164.48544456469395,1.5388344158418477,0,0,101,0.2403846153846154,0.0,0.5900623798370361
Marginal,mnist,1,0.3,0.6,200,200,2000,3000,204,755,959,0.5190893382532522,0.2963,0.7746001506981214,0.37920499999999996,0.5414310835093468,255.73036970231996,2.824100040830672,0,0,201,0.27941176470588236,0.0,0.5846753120422363
