method,dataset,seed,noise_rate,pretrain_fraction,reference_method,reference_es_budget,es_budget,target_step,time_budget_sec,selection_runtime_sec,time_budget_overrun_sec,time_budget_ratio,stopping_condition,time_budget_hit,target_step_hit,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu
EL2N,fashion_mnist,3,0.2,0.3,PU-R,50,50,,1.1371646551415324,1.150956948287785,0.013792293146252632,1.0121286685124204,time_budget,1,0,63,3500,1500,83,2904,2987,0.8754472568980418,0.6686000000000001,0.8283,,,,,1.318419455550611,0,0,64,0.5301204819277109,0.0,0.7320823073387146,0.7320823073387146,0.987078070640564,0.043928503626730384,0.7682926829268293,0.8902439024390244,0.7682926829268293,0.0,0.0,0.2722743154837611,1.3638628422581194
GraNdLast,fashion_mnist,3,0.2,0.3,PU-R,50,50,,1.1371646551415324,1.1492517068982124,0.012087051756680012,1.0106291131209804,time_budget,1,0,65,3500,1500,85,2978,3063,0.8957163303857669,0.6552,0.8463,,,,,1.3209486557170749,0,0,66,0.4823529411764706,0.0,0.715352475643158,0.715352475643158,0.9898104667663574,0.047159138889539806,0.8095238095238095,0.8928571428571429,0.7976190476190477,0.0,0.0,0.27992624264569316,1.3600368786771533
RHO-PretrainRef,fashion_mnist,3,0.2,0.3,PU-R,50,50,,1.1371646551415324,1.1490200217813253,0.01185536663979292,1.0104253738332356,time_budget,1,0,59,3500,1500,79,3248,3327,0.9638765740673989,0.7794,0.9387,,,,,1.304002182558179,0,0,60,0.6455696202531646,0.0,0.776567816734314,0.776567816734314,0.9823620319366455,0.050131786710176714,0.7307692307692307,0.8589743589743589,0.6923076923076923,0.0,0.0,0.2515578748156476,1.3742210625921762
GREATS,fashion_mnist,3,0.2,0.3,PU-R,50,50,,1.1371646551415324,1.1658534007146955,0.028688745573163033,1.0252283127544026,time_budget,1,0,38,3500,1500,58,3377,3435,,0.6993,0.9766,,,,,1.2720721866935492,0,0,39,0.6724137931034483,0.0,0.7801148295402527,0.7801148295402527,0.9918204545974731,0.06381075737769143,0.6842105263157895,0.8070175438596491,0.6666666666666666,0.0,0.0,0.2680608445517782,1.365969577724111
PU-R,fashion_mnist,3,0.3,0.3,PU-R,50,50,50,1.1002723444253206,1.1002723444253206,0.0,1.0,support_limit,0,1,50,3500,1500,70,2235,2305,0.6878727871226147,0.4595,0.5388,,,,,1.229290938936174,0,1,51,0.4,0.0,0.7075685262680054,0.7075685262680054,0.9946920275688171,0.050879710394403206,0.782608695652174,0.9130434782608695,0.782608695652174,0.0,0.0,0.286259774794925,1.3568701126025375
MaxLoss,fashion_mnist,3,0.3,0.3,PU-R,50,50,,1.1002723444253206,1.1030401717871428,0.0027678273618221283,1.0025155838696171,time_budget,1,0,100,3500,1500,120,3058,3178,0.925950470904354,0.7692,0.8874,,,,,1.4279576987028122,0,0,101,0.6833333333333333,0.0,0.7408432364463806,0.7408432364463806,0.9813342094421387,0.04075606605585884,0.8487394957983193,0.9243697478991597,0.8487394957983193,0.0,0.0,0.2609980032508753,1.3695009983745623
Marginal,fashion_mnist,3,0.3,0.3,PU-R,50,50,,1.1002723444253206,1.107714363373816,0.007442018948495388,1.0067637971509522,time_budget,1,0,68,3500,1500,88,1899,1987,0.5981704922160134,0.3862,0.4154,,,,,1.2903040759265423,0,0,69,0.25,0.0,0.6736279726028442,0.6736279726028442,0.9966061115264893,0.03751398434584168,0.896551724137931,0.9080459770114943,0.8850574712643678,0.0,0.0,0.2696431625456814,1.3651784187271594
EL2N,fashion_mnist,3,0.3,0.3,PU-R,50,50,,1.1002723444253206,1.1146256113424897,0.014353266917169094,1.013045194664659,time_budget,1,0,72,3500,1500,92,2842,2934,0.8612055089906789,0.6192,0.7804,,,,,1.3126662271097302,0,0,73,0.5543478260869565,0.0,0.7252476215362549,0.7252476215362549,0.9935631155967712,0.0420248629627647,0.8021978021978022,0.9010989010989011,0.7912087912087912,0.0,0.0,0.26686131164245436,1.3665693441787727
GraNdLast,fashion_mnist,3,0.3,0.3,PU-R,50,50,,1.1002723444253206,1.104458937421441,0.004186592996120453,1.0038050515559465,time_budget,1,0,59,3500,1500,79,2926,3005,0.8802651244332083,0.6419,0.8125,,,,,1.2573672207072377,0,0,60,0.5316455696202531,0.0,0.7239656448364258,0.7239656448364258,0.9986435174942017,0.053322774095413014,0.7051282051282052,0.8846153846153846,0.6923076923076923,0.0,0.0,0.2810278159902449,1.3594860920048775
RHO-PretrainRef,fashion_mnist,3,0.3,0.3,PU-R,50,50,,1.1002723444253206,1.1165190543979406,0.01624670997262001,1.014766080466292,time_budget,1,0,57,3500,1500,77,3230,3307,0.9589084932813421,0.7503,0.9339,,,,,1.2630992494523525,0,0,58,0.6753246753246753,0.0,0.7692713141441345,0.7692713141441345,0.9933882355690002,0.053218200410667216,0.8026315789473685,0.881578947368421,0.8026315789473685,0.0,0.0,0.258022227179366,1.370988886410317
GREATS,fashion_mnist,3,0.3,0.3,PU-R,50,50,,1.1002723444253206,1.1284029027447104,0.02813055831938982,1.0255669048321692,time_budget,1,0,37,3500,1500,57,3331,3388,,0.7194,0.957,,,,,1.2338892398402095,0,0,38,0.6491228070175439,0.0,0.773365318775177,0.773365318775177,0.9940083026885986,0.05925146171024868,0.6428571428571429,0.8392857142857143,0.625,0.0,0.0,0.26778442491925686,1.3661077875403715
PU-R,fashion_mnist,4,0.0,0.3,PU-R,50,50,50,1.014711714349687,1.014711714349687,0.0,1.0,support_limit,0,1,50,3500,1500,70,1242,1312,0.40425580187002197,0.3389,0.3837,,,,,1.1466153087094426,0,1,51,0.0,0.0,0.6861537098884583,0.6861537098884583,0.9928976893424988,0.045200712007025017,0.927536231884058,0.9130434782608695,0.9130434782608695,0.0,0.0,0.2801615050128666,1.3599192474935666
MaxLoss,fashion_mnist,4,0.0,0.3,PU-R,50,50,,1.014711714349687,1.0153561821207404,0.0006444677710533142,1.00063512400807,time_budget,1,0,102,3500,1500,122,1473,1595,0.48612410918576643,0.3813,0.4596,,,,,1.353921609930694,0,0,103,0.0,0.0,0.7117472290992737,0.7117472290992737,0.9922552108764648,0.03491911809306499,0.9256198347107438,0.9421487603305785,0.9173553719008265,0.0,0.0,0.25146826436165315,1.3742658678191735
Marginal,fashion_mnist,4,0.0,0.3,PU-R,50,50,,1.014711714349687,1.026678217574954,0.011966503225266933,1.0117930078622734,time_budget,1,0,74,3500,1500,94,1032,1126,0.34997442783787847,0.2994,0.3229,,,,,1.2342473259195685,0,0,75,0.0,0.0,0.6617127060890198,0.6617127060890198,0.996336817741394,0.03506056371555533,0.8709677419354839,0.9247311827956989,0.8709677419354839,0.0,0.0,0.2691689445393426,1.3654155277303288
EL2N,fashion_mnist,4,0.0,0.3,PU-R,50,50,,1.014711714349687,1.02647250238806,0.011760788038372993,1.0115902752201007,time_budget,1,0,64,3500,1500,84,1596,1680,0.5105523964157328,0.34540000000000004,0.4681,,,,,1.199545999057591,0,0,65,0.0,0.0,0.6774817109107971,0.6774817109107971,0.9948047995567322,0.04564813533461237,0.891566265060241,0.927710843373494,0.891566265060241,0.0,0.0,0.27672453167164285,1.3616377341641785
GraNdLast,fashion_mnist,4,0.0,0.3,PU-R,50,50,,1.014711714349687,1.0221243323758245,0.007412618026137352,1.0073051467932328,time_budget,1,0,70,3500,1500,90,1265,1355,0.41674961760872975,0.31930000000000003,0.3943,,,,,1.2132055489346385,0,0,71,0.0,0.0,0.6443242430686951,0.6443242430686951,0.9972232580184937,0.04100005780712942,0.9101123595505618,0.9325842696629213,0.9101123595505618,0.0,0.0,0.2693540003793429,1.3653229998103287
RHO-PretrainRef,fashion_mnist,4,0.0,0.3,PU-R,50,50,,1.014711714349687,1.0166369564831257,0.0019252421334385872,1.0018973291686817,time_budget,1,0,55,3500,1500,75,1624,1699,0.5160028344835155,0.366,0.4875,,,,,1.1580090671777725,0,0,56,0.0,0.0,0.712268054485321,0.712268054485321,0.9918094277381897,0.04663570426605843,0.8513513513513513,0.918918918918919,0.8513513513513513,0.0,0.0,0.2681382000977018,1.3659308999511492
GREATS,fashion_mnist,4,0.0,0.3,PU-R,50,50,,1.014711714349687,1.01855503115803,0.0038433168083429337,1.0037875947956372,time_budget,1,0,41,3500,1500,61,1794,1855,,0.3739,0.5256,,,,,1.1306564919650555,0,0,42,0.0,0.0,0.7156168818473816,0.7156168818473816,0.9893099069595337,0.05496081461509069,0.85,0.9,0.85,0.0,0.0,0.28032575126287196,1.359837124368564
PU-R,fashion_mnist,4,0.1,0.3,PU-R,50,50,50,1.1690056333318353,1.1690056333318353,0.0,1.0,support_limit,0,1,50,3500,1500,70,1895,1965,0.5919239013455808,0.45489999999999997,0.5094,,,,,1.2980083404108882,0,1,51,0.18571428571428572,0.0,0.7020342350006104,0.7020342350006104,0.9937043190002441,0.05123841935309811,0.7971014492753623,0.8985507246376812,0.7971014492753623,0.0,0.0,0.28655835252135264,1.3567208237393236
MaxLoss,fashion_mnist,4,0.1,0.3,PU-R,50,50,,1.1690056333318353,1.1715721413493156,0.0025665080174803734,1.0021954624890603,time_budget,1,0,118,3500,1500,138,2861,2999,0.8786602943437174,0.731,0.8386,,,,,1.6100690262392163,0,0,119,0.5434782608695652,0.0,0.7368568778038025,0.7368568778038025,0.989457368850708,0.03346648485991206,0.8467153284671532,0.9416058394160584,0.8467153284671532,0.0,0.0,0.2540930225140683,1.372953488742966
Marginal,fashion_mnist,4,0.1,0.3,PU-R,50,50,,1.1690056333318353,1.1803130162879825,0.011307382956147194,1.0096726505277134,time_budget,1,0,78,3500,1500,98,1324,1422,0.4361771795665845,0.31620000000000004,0.3333,,,,,1.404875485226512,0,0,79,0.08163265306122448,0.0,0.6643669605255127,0.6643669605255127,0.99576735496521,0.03568389520202715,0.8556701030927835,0.9278350515463918,0.8556701030927835,0.0,0.0,0.2718712321241162,1.3640643839379418
EL2N,fashion_mnist,4,0.1,0.3,PU-R,50,50,,1.1690056333318353,1.1722642397508025,0.003258606418967247,1.0027875027511028,time_budget,1,0,84,3500,1500,104,2484,2588,0.7666625704732724,0.5582,0.7046,,,,,1.4163357494398952,0,0,85,0.4423076923076923,0.0,0.7123841047286987,0.7123841047286987,0.9957345724105835,0.03802893462690335,0.7864077669902912,0.9320388349514563,0.7864077669902912,0.0,0.0,0.27234519772837373,1.3638274011358131
GraNdLast,fashion_mnist,4,0.1,0.3,PU-R,50,50,,1.1690056333318353,1.1818615328520536,0.012855899520218372,1.010997294755182,time_budget,1,0,66,3500,1500,86,2444,2530,0.7506056661950424,0.5343,0.6932,,,,,1.3794958237558603,0,0,67,0.3372093023255814,0.0,0.7029166221618652,0.7029166221618652,0.9920169115066528,0.044163383105221915,0.8,0.9058823529411765,0.8,0.0,0.0,0.27804771759316566,1.3609761412034171
RHO-PretrainRef,fashion_mnist,4,0.1,0.3,PU-R,50,50,,1.1690056333318353,1.1704683220013976,0.0014626886695623398,1.0012512246544043,time_budget,1,0,59,3500,1500,79,3074,3153,0.919431378308218,0.6859999999999999,0.8917,,,,,1.3203157503157854,0,0,60,0.5822784810126582,0.0,0.7565013766288757,0.7565013766288757,0.9826772212982178,0.051064090468944646,0.7948717948717948,0.8846153846153846,0.7948717948717948,0.0,0.0,0.26409225575977374,1.367953872120113
GREATS,fashion_mnist,4,0.1,0.3,PU-R,50,50,,1.1690056333318353,1.19483092892915,0.025825295597314835,1.0220916776283695,time_budget,1,0,39,3500,1500,59,3306,3365,,0.6033999999999999,0.958,,,,,1.297116694971919,0,0,40,0.5084745762711864,0.0,0.760441243648529,0.760441243648529,0.9911394119262695,0.06833448183947596,0.7413793103448276,0.8448275862068966,0.7413793103448276,0.0,0.0,0.27800271961956724,1.3609986401902163
PU-R,fashion_mnist,4,0.2,0.3,PU-R,50,50,50,1.236919247545302,1.236919247545302,0.0,1.0,support_limit,0,1,50,3500,1500,70,2247,2317,0.6912350115017034,0.5199,0.5873,,,,,1.3643482765182853,0,1,51,0.35714285714285715,0.0,0.7049546837806702,0.7049546837806702,0.990471363067627,0.04109436619109002,0.8405797101449275,0.9130434782608695,0.8260869565217391,0.0,0.0,0.2770181754570861,1.361490912271457
MaxLoss,fashion_mnist,4,0.2,0.3,PU-R,50,50,,1.236919247545302,1.2473874650895596,0.01046821754425764,1.0084631373996582,time_budget,1,0,137,3500,1500,157,2811,2968,0.8703510193154216,0.6798,0.8177,,,,,1.8242832096293569,0,0,138,0.6242038216560509,0.0,0.7296991944313049,0.7296991944313049,0.9917999505996704,0.03254064478171177,0.8910256410256411,0.9423076923076923,0.8910256410256411,0.0,0.0,0.2540002956692573,1.3729998521653712
Marginal,fashion_mnist,4,0.2,0.3,PU-R,50,50,,1.236919247545302,1.240606906823814,0.003687659278512001,1.0029813258107434,time_budget,1,0,83,3500,1500,103,1734,1837,0.5554805867723189,0.36639999999999995,0.3926,,,,,1.4896567855030298,0,0,84,0.1941747572815534,0.0,0.6877461671829224,0.6877461671829224,0.9954959154129028,0.0369417901132621,0.8627450980392157,0.9313725490196079,0.8627450980392157,0.0,0.0,0.2695412511882534,1.3652293744058732
EL2N,fashion_mnist,4,0.2,0.3,PU-R,50,50,,1.236919247545302,1.249194865114987,0.012275617569684982,1.0099243484116254,time_budget,1,0,71,3500,1500,91,3046,3137,0.9152421047911048,0.7203999999999999,0.8819,,,,,1.4395523834973574,0,0,72,0.5494505494505495,0.0,0.7284045219421387,0.7284045219421387,0.9952675104141235,0.0435530338022444,0.7888888888888889,0.9111111111111111,0.7888888888888889,0.0,0.0,0.270367795535446,1.3648161022322771
GraNdLast,fashion_mnist,4,0.2,0.3,PU-R,50,50,,1.236919247545302,1.2468996429815888,0.009980395436286926,1.0080687526336851,time_budget,1,0,82,3500,1500,102,2721,2823,0.8311423237319104,0.6488,0.7665,,,,,1.487812863662839,0,0,83,0.4803921568627451,0.0,0.7091361880302429,0.7091361880302429,0.9894752502441406,0.043751282857196164,0.7920792079207921,0.900990099009901,0.7821782178217822,0.0,0.0,0.2779736233866789,1.3610131883066605
RHO-PretrainRef,fashion_mnist,4,0.2,0.3,PU-R,50,50,,1.236919247545302,1.2426880756393075,0.005768828094005585,1.004663867997409,time_budget,1,0,56,3500,1500,76,3132,3208,0.9337259975145571,0.6951,0.9028,,,,,1.3899889439344406,0,0,57,0.631578947368421,0.0,0.7709345817565918,0.7709345817565918,0.9976543188095093,0.0500978696346283,0.8266666666666667,0.8666666666666667,0.8266666666666667,0.0,0.0,0.25573307608246715,1.3721334619587664
GREATS,fashion_mnist,4,0.2,0.3,PU-R,50,50,,1.236919247545302,1.2704635802656412,0.0335443327203393,1.0271192584212017,time_budget,1,0,44,3500,1500,64,3351,3415,,0.7976,0.9689,,,,,1.3856447506695986,0,0,45,0.640625,0.0,0.7847234606742859,0.7847234606742859,0.9988307952880859,0.055019943487076534,0.7301587301587301,0.873015873015873,0.7142857142857143,0.0,0.0,0.25253270319489,1.3737336484025549
PU-R,fashion_mnist,4,0.3,0.3,PU-R,50,50,50,1.256372494623065,1.256372494623065,0.0,1.0,support_limit,0,1,50,3500,1500,70,2585,2655,0.7851456971256994,0.5924,0.6642,,,,,1.3922546468675137,0,1,51,0.4142857142857143,0.0,0.7224079370498657,0.7224079370498657,0.9904179573059082,0.03790287781452787,0.855072463768116,0.8985507246376812,0.8405797101449275,0.0,0.0,0.26531494432341046,1.3673425278382947
MaxLoss,fashion_mnist,4,0.3,0.3,PU-R,50,50,,1.256372494623065,1.2602894669398665,0.003916972316801548,1.0031176839142573,time_budget,1,0,142,3500,1500,162,3014,3176,0.9254302038461901,0.7676000000000001,0.8942,,,,,1.9207005174830556,0,0,143,0.6975308641975309,0.0,0.7364745140075684,0.7364745140075684,0.9949829578399658,0.03236773573093533,0.8944099378881988,0.937888198757764,0.8944099378881988,0.0,0.0,0.24954592771129358,1.3752270361443533
Marginal,fashion_mnist,4,0.3,0.3,PU-R,50,50,,1.256372494623065,1.269924028776586,0.013551534153521061,1.0107862391221696,time_budget,1,0,81,3500,1500,101,2009,2110,0.6329998975852504,0.4141,0.4488,,,,,1.503861639648676,0,0,82,0.31683168316831684,0.0,0.6850824952125549,0.6850824952125549,0.9918112754821777,0.03484775602817535,0.85,0.92,0.84,0.0,0.0,0.26736940614172783,1.3663152969291361
EL2N,fashion_mnist,4,0.3,0.3,PU-R,50,50,,1.256372494623065,1.268565384671092,0.012192890048027039,1.0097048368220487,time_budget,1,0,73,3500,1500,93,3026,3119,0.9105144345667213,0.6831,0.8468,,,,,1.4751191111281514,0,0,74,0.6021505376344086,0.0,0.7211340069770813,0.7211340069770813,0.9855226278305054,0.0450591179339782,0.75,0.8804347826086957,0.7391304347826086,0.0,0.0,0.27972465814088715,1.3601376709295563
GraNdLast,fashion_mnist,4,0.3,0.3,PU-R,50,50,,1.256372494623065,1.2579264556989074,0.0015539610758423805,1.001236863336704,time_budget,1,0,77,3500,1500,97,3002,3099,0.9052443286054768,0.7242999999999999,0.8485,,,,,1.4754703799262643,0,0,78,0.5360824742268041,0.0,0.7088019847869873,0.7088019847869873,0.9908088445663452,0.047045290314902864,0.78125,0.8854166666666666,0.7604166666666666,0.0,0.0,0.2767820320422796,1.36160898397886
RHO-PretrainRef,fashion_mnist,4,0.3,0.3,PU-R,50,50,,1.256372494623065,1.2761543123051524,0.01978181768208742,1.0157451852589485,time_budget,1,0,62,3500,1500,82,3253,3335,0.9658488406566903,0.7786,0.9368,,,,,1.4411606136709452,0,0,63,0.6951219512195121,0.0,0.776408851146698,0.776408851146698,0.9864784479141235,0.05121679990379899,0.8024691358024691,0.8641975308641975,0.7777777777777778,0.0,0.0,0.25432480868295587,1.3728375956585221
GREATS,fashion_mnist,4,0.3,0.3,PU-R,50,50,,1.256372494623065,1.267971970140934,0.011599475517868996,1.0092325131022142,time_budget,1,0,41,3500,1500,61,3417,3478,,0.8082,0.9913,,,,,1.3768728068098426,0,0,42,0.6885245901639344,0.0,0.7889574766159058,0.7889574766159058,0.9831799268722534,0.05663758118947347,0.7333333333333333,0.8166666666666667,0.7,0.0,0.0,0.252851096209791,1.3735744518951045
