dataset,reference_method,reference_es_budget,method,noise_rate,pretrain_fraction,n,step_mean,step_se,target_step_mean,target_step_se,time_budget_sec_mean,time_budget_sec_se,selection_runtime_sec_mean,selection_runtime_sec_se,time_budget_overrun_sec_mean,time_budget_overrun_sec_se,time_budget_ratio_mean,time_budget_ratio_se,time_budget_hit_mean,time_budget_hit_se,target_step_hit_mean,target_step_hit_se,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,test_inappropriate_risk_mean,test_inappropriate_risk_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se,mean_support_redundancy_mean,mean_support_redundancy_se,max_support_redundancy_mean,max_support_redundancy_se,mean_selected_residual_novelty_mean,mean_selected_residual_novelty_se,local_redundancy_hit_rate_mean,local_redundancy_hit_rate_se,residual_redundancy_hit_rate_mean,residual_redundancy_hit_rate_se,strong_redundancy_hit_rate_mean,strong_redundancy_hit_rate_se,mode_entropy_mean,mode_entropy_se,minority_mode_fraction_mean,minority_mode_fraction_se,spectral_entropy_mean,spectral_entropy_se,dynamic_mu_mean,dynamic_mu_se
fashion_mnist,PU-R,50,EL2N,0.0,0.3,5,83.4,15.328405005087777,,,1.2081560270860792,0.16315836287136057,1.2137760069221257,0.16205574062983819,0.005619979836046696,0.0024213399510908886,1.0054291172836654,0.0026070292856006532,1.0,0.0,0.0,0.0,103.4,15.328405005087777,1562.4,66.33897798428914,1665.8,51.392022727267694,0.506422844901681,0.014789724143559068,0.3718000000000001,0.010294124537812815,0.47602,0.01453070541990306,,,,,,,,,1.4928711190819741,0.2547144922689572,0.0,0.0,0.0,0.0,84.4,15.328405005087777,0.0,0.0,0.0,0.0,0.6659109711647033,0.012231520864064881,0.6659109711647033,0.012231520864064881,0.9935207962989807,0.0012220733059221999,0.04089953685460386,0.004237284941999879,0.8881317576992191,0.009403944460559522,0.9219199838908138,0.009238795100227735,0.8881317576992191,0.009403944460559522,0.0,0.0,0.0,0.0,0.27471956541654463,0.0107433237829293,1.3626402172917278,0.005371661891464647
fashion_mnist,PU-R,50,EL2N,0.1,0.3,5,69.2,4.328972164382672,,,1.1245386397466064,0.024194279199698937,1.131704304739833,0.021933225821006246,0.007165664993226528,0.002710389219990077,1.006567594358407,0.002584784920917296,1.0,0.0,0.0,0.0,89.2,4.328972164382672,2678.0,86.95458584801608,2767.2,83.67102246297698,0.8156266672420316,0.02275816032260285,0.6054999999999999,0.025331304743340815,0.7723600000000002,0.02630265385849875,,,,,,,,,1.3229748874902725,0.03479159593889353,0.0,0.0,0.0,0.0,70.2,4.328972164382672,0.4535578984466523,0.008919920856185799,0.0,0.0,0.7224025249481201,0.005600259043994442,0.7224025249481201,0.005600259043994442,0.9896143198013305,0.00259702044042957,0.04424854876696836,0.0019364477366797877,0.7739458497730131,0.012202954184017406,0.9051935376550869,0.010378473529318154,0.7689721086546937,0.014600161493369537,0.0,0.0,0.0,0.0,0.2734696420401145,0.0042825496905781624,1.3632651789799428,0.0021412748452890955
fashion_mnist,PU-R,50,EL2N,0.2,0.3,5,73.0,3.346640106136302,,,1.2398887597024442,0.03274533201748866,1.2475798649713397,0.030804034179989635,0.007691105268895626,0.0023820316480754316,1.0063889573161346,0.0020669666393891783,1.0,0.0,0.0,0.0,93.0,3.346640106136302,2848.0,71.38066965222447,2941.0,69.65342776920602,0.8628256253432482,0.018770421739748872,0.64978,0.023775331753731626,0.80968,0.02417152043211184,,,,,,,,,1.449182876572013,0.038979404128248456,0.0,0.0,0.0,0.0,74.0,3.346640106136302,0.5405692529605256,0.013160340926392067,0.0,0.0,0.730704379081726,0.002029952787047794,0.730704379081726,0.002029952787047794,0.9911621809005737,0.001777602708897255,0.04106845997918261,0.001712699829908901,0.8088137653435357,0.01502545125599264,0.9080569504224453,0.005107792866966391,0.8088137653435357,0.01502545125599264,0.0,0.0,0.0,0.0,0.26711070533439607,0.002024194703646079,1.3664446473328018,0.0010120973518230442
fashion_mnist,PU-R,50,EL2N,0.3,0.3,5,74.2,2.6532998322843193,,,1.2126489486545324,0.03254908100845105,1.2225828036665916,0.03129750227717355,0.009933855012059211,0.002414701556412775,1.008335823565215,0.0020894916798838846,1.0,0.0,0.0,0.0,94.2,2.6532998322843193,3035.2,56.83080150763316,3129.4,56.68562427988246,0.9129577603540383,0.014940305473269053,0.7070799999999999,0.03052687995848904,0.85854,0.0236327230762771,,,,,,,,,1.4295123813673853,0.03836738552347818,0.0,0.0,0.0,0.0,75.2,2.6532998322843193,0.5902299053024126,0.010327403735717444,0.0,0.0,0.7307323455810547,0.0041816920339128125,0.7307323455810547,0.0041816920339128125,0.984050989151001,0.0026689305788376552,0.04074212312355358,0.0016689676732858677,0.8014199525964232,0.015662686131170257,0.9007868318098498,0.006582120707652298,0.7950280353349406,0.016734833468821077,0.0,0.0,0.0,0.0,0.2675076001940516,0.003857585086556004,1.366246199902974,0.0019287925432780178
fashion_mnist,PU-R,50,GREATS,0.0,0.3,5,51.0,9.444575162494075,,,1.2081560270860792,0.16315836287136057,1.2199178483337163,0.1629454220924886,0.011761821247637272,0.002606633283971041,1.0104623926113707,0.003079908402496271,1.0,0.0,0.0,0.0,71.0,9.444575162494075,1690.4,138.79682993498085,1761.4,131.42054633884305,,,0.36003999999999997,0.01624517159035263,0.50322,0.03790668015007382,,,,,,,,,1.3632639123126864,0.1936813492882305,0.0,0.0,0.0,0.0,52.0,9.444575162494075,0.0,0.0,0.0,0.0,0.718360447883606,0.007235224388585389,0.718360447883606,0.007235224388585389,0.9935916662216187,0.0012428326074800983,0.047516549019941116,0.002864157408514668,0.858426061954528,0.016925551834976533,0.9033121826276782,0.007223890820158466,0.8515110097935743,0.018325705158631325,0.0,0.0,0.0,0.0,0.27125841695360975,0.003301737401236512,1.364370791523195,0.0016508687006182407
fashion_mnist,PU-R,50,GREATS,0.1,0.3,5,38.0,1.0954451150103321,,,1.1245386397466064,0.024194279199698937,1.1458250377327204,0.02256263847936194,0.021286397986114026,0.0028691307345952597,1.0191095689944056,0.0029207267584655788,1.0,0.0,0.0,0.0,58.0,1.0954451150103321,3300.0,25.385034961567413,3358.0,24.805241381611264,,,0.6701600000000001,0.02970027945996469,0.95616,0.008081249903325602,,,,,,,,,1.2488503009080887,0.022645370334203586,0.0,0.0,0.0,0.0,39.0,1.0954451150103321,0.5654552130281499,0.016650822415088466,0.0,0.0,0.7776490926742554,0.004435888186270043,0.7776490926742554,0.004435888186270043,0.9929964661598205,0.0013321839161983529,0.06004185522604692,0.0029358581595449076,0.7045036572622779,0.01250985336365896,0.8345977011494252,0.009069540940036251,0.6937629165215371,0.0181658159091093,0.0,0.0,0.0,0.0,0.2644140710023878,0.004231952857987547,1.3677929644988063,0.0021159764289937957
fashion_mnist,PU-R,50,GREATS,0.2,0.3,5,41.0,1.4832396974191324,,,1.2398887597024442,0.03274533201748866,1.2575506500899791,0.0307407365120283,0.017661890387535094,0.005981076798002471,1.0145046478047266,0.00507874164370515,1.0,0.0,0.0,0.0,61.0,1.4832396974191324,3340.8,18.210985695453168,3401.8,18.876970095860194,,,0.75428,0.025174220941272432,0.9628,0.007087947516735709,,,,,,,,,1.3671897560358048,0.03251551448985234,0.0,0.0,0.0,0.0,42.0,1.4832396974191324,0.6687969717064546,0.019172937762612568,0.0,0.0,0.7806052565574646,0.005595670354491757,0.7806052565574646,0.005595670354491757,0.992326021194458,0.001958514488535631,0.05847687724306607,0.002147545677717692,0.6984375221245204,0.018908324905846662,0.8524280333602366,0.01239418098819085,0.6917541470200926,0.018680293765596278,0.0,0.0,0.0,0.0,0.26035642975003925,0.00610005145193859,1.3698217851249805,0.0030500257259692947
fashion_mnist,PU-R,50,GREATS,0.3,0.3,5,40.6,1.0295630140987,,,1.2126489486545324,0.03254908100845105,1.2313657831400633,0.03198281007581022,0.018716834485530853,0.004000929191070839,1.015568331385331,0.0035315214600223008,1.0,0.0,0.0,0.0,60.6,1.0295630140987,3369.4,22.339650847763934,3430.0,22.39866067424568,,,0.7623600000000001,0.02056671096699714,0.9723599999999999,0.008441362449273222,,,,,,,,,1.3408839412033557,0.03306091619426165,0.0,0.0,0.0,0.0,41.6,1.0295630140987,0.6889324492263621,0.015779632189909975,0.0,0.0,0.7843172907829284,0.002928256993414796,0.7843172907829284,0.002928256993414796,0.9904574513435364,0.001878650335923024,0.05540174673106636,0.0013130239515775585,0.7038033777090325,0.02214601920032706,0.8421415468283774,0.006903093984073216,0.6901754519624627,0.023565720675581776,0.0,0.0,0.0,0.0,0.2571294939077696,0.0031147196701661935,1.3714352530461151,0.001557359835083103
fashion_mnist,PU-R,50,GraNdLast,0.0,0.3,5,79.6,11.334019587066186,,,1.2081560270860792,0.16315836287136057,1.2169571012258529,0.16342210731594853,0.008801074139773846,0.002226019977923162,1.0074880930759966,0.0020215438195494277,1.0,0.0,0.0,0.0,99.6,11.334019587066186,1474.2,88.18015649793324,1573.8,81.94717810882814,0.4798827178310603,0.023578311570567858,0.37054,0.018246057108317944,0.45358,0.024982101592940505,,,,,,,,,1.460002536326647,0.22001138987563038,0.0,0.0,0.0,0.0,80.6,11.334019587066186,0.0,0.0,0.0,0.0,0.6409428596496582,0.005760144564897704,0.6409428596496582,0.005760144564897704,0.9969053387641906,0.00033511385296700253,0.039719160810570184,0.0025827176086130744,0.8969149272280996,0.006766252903751975,0.9256962267289784,0.006670287161132682,0.8946927050058774,0.0077225818441354855,0.0,0.0,0.0,0.0,0.27586741280673055,0.004415916472612705,1.3620662935966348,0.002207958236306354
fashion_mnist,PU-R,50,GraNdLast,0.1,0.3,5,65.2,2.0346989949375804,,,1.1245386397466064,0.024194279199698937,1.132523550093174,0.0256580028160392,0.00798491034656763,0.0023904894530590625,1.0070085012489822,0.002000592495144129,1.0,0.0,0.0,0.0,85.2,2.0346989949375804,2533.6,99.9882993154699,2618.8,98.0517210455788,0.774847992695868,0.027007933266567218,0.5543,0.017722499823670475,0.7235400000000001,0.0284792836988573,,,,,,,,,1.3122423918917776,0.030472845909466216,0.0,0.0,0.0,0.0,66.2,2.0346989949375804,0.3739255264701844,0.02130447683460592,0.0,0.0,0.7080113053321838,0.007601731933366801,0.7080113053321838,0.007601731933366801,0.9930603981018067,0.0018630335843758882,0.04495644275537308,0.0010773562959604992,0.800276341305753,0.011425877192755196,0.8974175824175823,0.006352075912819083,0.7952763413057531,0.011179960773111237,0.0,0.0,0.0,0.0,0.27539894029689826,0.0034176923117496226,1.362300529851551,0.0017088461558748176
