method,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
MaxLoss,3,0.0,0.0,3000,0,123,0,123,0.053653962444514036,0.015100000000000002,0.28925100003834814,1,120,0.0,0.22764227642276422,0.8646236658096313
PU-C,3,0.0,0.0,3000,0,106,0,106,0.04712998168542981,0.01539999999999997,0.1863159579806961,1,103,0.0,0.24528301886792453,0.8407442569732666
PU-F,3,0.0,0.0,3000,0,127,0,127,0.055179738090373576,0.012399999999999967,0.3501932079670951,1,124,0.0,0.2125984251968504,0.8002996444702148
PU-G,3,0.0,0.0,3000,0,96,0,96,0.04325841483660042,0.007299999999999973,0.3201052499935031,1,93,0.0,0.3229166666666667,0.7172532081604004
GREATS,3,0.0,0.0,3000,0,167,0,167,,0.0040999999999999925,0.5001351669779979,1,164,0.0,0.25748502994011974,0.5964497923851013
MaxLoss,3,0.1,0.0,3000,0,246,0,246,0.09950272261630744,0.005700000000000038,0.4576592920348048,1,243,0.16260162601626016,0.32926829268292684,0.36804986000061035
PU-C,3,0.1,0.0,3000,0,221,0,221,0.09032332972856238,0.00770000000000004,1.104457666981034,1,218,0.18099547511312217,0.3212669683257919,0.55141282081604
PU-F,3,0.1,0.0,3000,0,256,0,256,0.10315978218568489,0.007399999999999962,2.329185917042196,1,253,0.15625,0.31640625,0.5194904208183289
PU-G,3,0.1,0.0,3000,0,280,0,280,0.11190583789721131,0.009399999999999964,1.7982708749477752,1,277,0.14285714285714285,0.29642857142857143,0.4470531642436981
GREATS,3,0.1,0.0,3000,0,307,0,307,,0.006000000000000005,1.3180736670037732,1,304,0.13029315960912052,0.30293159609120524,0.4825626015663147
MaxLoss,3,0.2,0.0,3000,0,256,0,256,0.10315978218568489,0.011700000000000044,0.4420052919886075,1,253,0.26953125,0.3671875,0.509377658367157
PU-C,3,0.2,0.0,3000,0,246,0,246,0.09950272261630744,0.008399999999999963,1.1135664589819498,1,243,0.2886178861788618,0.4065040650406504,0.5604853630065918
PU-F,3,0.2,0.0,3000,0,282,0,282,0.11263282102299854,0.012900000000000023,2.2154842499876395,1,279,0.24468085106382978,0.36879432624113473,0.5485833883285522
PU-G,3,0.2,0.0,3000,0,324,0,324,0.12783998035592958,0.011199999999999988,1.9735500420210883,1,321,0.24382716049382716,0.36419753086419754,0.7789571285247803
GREATS,3,0.2,0.0,3000,0,331,0,331,,0.007399999999999962,1.243269708007574,1,328,0.24169184290030213,0.36253776435045315,0.4576514959335327
MaxLoss,3,0.3,0.0,3000,0,396,0,396,0.15368237491929904,0.011499999999999955,0.7305219160043634,1,393,0.30303030303030304,0.47474747474747475,0.44951146841049194
PU-C,3,0.3,0.0,3000,0,401,0,401,0.15546777396230027,0.013800000000000034,2.1337358750170097,1,398,0.29925187032418954,0.4513715710723192,0.5667961239814758
PU-F,3,0.3,0.0,3000,0,422,0,422,0.16295470390468836,0.00990000000000002,4.7416742910281755,1,419,0.27488151658767773,0.4194312796208531,0.6284332871437073
PU-G,3,0.3,0.0,3000,0,468,0,468,0.17929271882167086,0.005900000000000016,4.791074624983594,1,465,0.24786324786324787,0.43803418803418803,0.36124101281166077
GREATS,3,0.3,0.0,3000,0,498,0,498,,0.015599999999999947,3.162945500051137,1,495,0.2389558232931727,0.41164658634538154,0.29999879002571106
MaxLoss,3,0.4,0.0,3000,0,487,0,487,0.18601805780781433,0.012499999999999956,0.9245453329640441,1,484,0.32854209445585214,0.4722792607802875,0.7661473751068115
PU-C,3,0.4,0.0,3000,0,483,0,483,0.1846032562898472,0.010399999999999965,2.972960916988086,1,480,0.33126293995859213,0.4616977225672878,0.5146923065185547
