dataset,method,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget,n,step_mean,step_se,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,test_inappropriate_risk_mean,test_inappropriate_risk_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se,mean_support_redundancy_mean,mean_support_redundancy_se,max_support_redundancy_mean,max_support_redundancy_se,mean_selected_residual_novelty_mean,mean_selected_residual_novelty_se,local_redundancy_hit_rate_mean,local_redundancy_hit_rate_se,residual_redundancy_hit_rate_mean,residual_redundancy_hit_rate_se,strong_redundancy_hit_rate_mean,strong_redundancy_hit_rate_se,group_revisit_rate_mean,group_revisit_rate_se,unique_group_fraction_mean,unique_group_fraction_se,max_group_selection_fraction_mean,max_group_selection_fraction_se,mode_entropy_mean,mode_entropy_se,minority_mode_fraction_mean,minority_mode_fraction_se,spectral_entropy_mean,spectral_entropy_se,dynamic_mu_mean,dynamic_mu_se,dynamic_redundancy_weight_mean,dynamic_redundancy_weight_se
manifold_orbit_fashion_mnist,GREATS,0.1,0.0,support,100,5,100.0,0.0,104.0,0.0,2047.4,98.33544630498201,2151.4,98.33544630498201,,,0.44555,0.005946322392874429,0.44555,0.005946322392874446,,,,,,,,,2.6116104138316585,0.04622044039674508,0.0,0.0,0.0,0.0,101.0,0.0,0.3942307692307693,0.012162606385262998,0.7749999999999999,0.026262500545668577,0.7634098052978515,0.005507049783880815,0.7634098052978515,0.005507049783880815,1.0000003814697265,4.4604031881975426e-08,0.06585416382956273,0.0018721429734620985,0.7320388349514564,0.02289286625738173,0.7941747572815534,0.012048226840767817,0.7106796116504854,0.01975435917415126,0.5576923076923077,0.022136277756194873,0.44230769230769235,0.022136277756194884,0.09230769230769231,0.006521471137620451,0.9075276380350029,0.005304484825031261,0.009615384615384616,0.0,0.2805440065699694,0.004446970850958249,0.7478503981932584,0.0012229169840135088,1.2237551970435137,0.0020011368829312135
manifold_orbit_fashion_mnist,GREATS,0.1,0.0,support,200,5,200.0,0.0,204.0,0.0,1915.6,101.69591928882889,2119.6,101.69591928882889,,,0.4205,0.008499999999999997,0.4205,0.008499999999999997,,,,,,,,,6.049260256858543,0.07707646751450659,0.0,0.0,1.0,0.0,201.0,0.0,0.392156862745098,0.010627197739548427,0.7490196078431373,0.019632337641667445,0.7300890684127808,0.006776275298157171,0.7300890684127808,0.006776275298157171,1.000000286102295,2.920019319991086e-08,0.05442594935007283,0.001540361087718779,0.7261083743842365,0.022979120767863258,0.8472906403940886,0.010214995740555526,0.7142857142857142,0.022788243362010602,0.6088235294117648,0.01856283943996223,0.3911764705882353,0.018562839439962245,0.07058823529411765,0.0033246715603555224,0.8944305775756,0.00486590707479654,0.004901960784313725,0.0,0.28006646438661775,0.006122612766702421,0.7479817222936801,0.0016837185108431571,1.223970091026022,0.002755175745016058
manifold_orbit_fashion_mnist,GREATS,0.1,0.0,support,50,5,50.0,0.0,54.0,0.0,2306.4,56.17615152357804,2360.4,56.17615152357804,,,0.4704,0.014012628233133151,0.4704,0.014012628233133144,,,,,,,,,1.2294192030094564,0.0191261138844061,0.0,0.0,0.0,0.0,51.0,0.0,0.4111111111111111,0.015930231976004867,0.8111111111111111,0.02709025710801443,0.7510146975517273,0.005694486977329697,0.7510146975517273,0.005694486977329697,1.000000262260437,4.4604031881975426e-08,0.08973749696083788,0.0024593829825044202,0.5924528301886791,0.027730072559809558,0.6452830188679245,0.03839054707429396,0.5584905660377358,0.022003592056019993,0.5037037037037037,0.031752644813856014,0.49629629629629635,0.03175264481385602,0.12962962962962962,0.010143010324169742,0.9293778332099869,0.006311509353984567,0.018518518518518517,0.0,0.3204021528367441,0.005085106947702233,0.7368894079698954,0.001398404410618111,1.2058190312234651,0.0022882981264660115
manifold_orbit_fashion_mnist,GREATS,0.1,0.2,support,100,5,100.0,0.0,104.0,0.0,518.4,17.477413996355413,622.4,17.477413996355413,,,0.32935,0.008726611599011376,0.32935,0.008726611599011386,,,,,,,,,1.8938108007656411,0.03409747564942884,0.0,0.0,0.0,0.0,101.0,0.0,0.31153846153846154,0.0220525864253456,0.5711538461538461,0.02226122481305812,0.7976287126541137,0.006427413058944501,0.7976287126541137,0.006427413058944501,1.0000001907348632,2.920019319991086e-08,0.06502426446062848,0.0009119975011374754,0.8135922330097086,0.009412970596924907,0.8446601941747571,0.006140344971200734,0.7844660194174757,0.00990100876425783,0.3711538461538461,0.028620915511802344,0.6288461538461538,0.02862091551180233,0.08846153846153845,0.007692307692307691,0.927650954414107,0.008212145359963752,0.009615384615384616,0.0,0.23621920089582,0.00366219759020924,0.7600397197536496,0.0010071043373075467,1.243701359596881,0.0016479889155941712
manifold_orbit_fashion_mnist,GREATS,0.1,0.2,support,200,5,200.0,0.0,204.0,0.0,462.0,28.328430948430587,666.0,28.328430948430587,,,0.32665,0.0060630025564896465,0.32665,0.006063002556489652,,,,,,,,,4.440463550016284,0.054288372672399346,0.0,0.0,1.0,0.0,201.0,0.0,0.3098039215686274,0.010672324047586881,0.5735294117647058,0.025612451916888494,0.7720290780067444,0.005280586267090139,0.7720290780067444,0.005280586267090139,1.0000003337860108,4.4604031881975426e-08,0.041251167243924636,0.0005029354141706497,0.8866995073891626,0.006231088985553448,0.934975369458128,0.0018431809787063727,0.87192118226601,0.006033225967446266,0.43725490196078437,0.025910931934122576,0.5627450980392157,0.025910931934122562,0.05882352941176472,0.002684914497574344,0.9195148023872299,0.0052602943728989925,0.004901960784313725,0.0,0.22233541528273076,0.0029199796732292823,0.7638577607972491,0.0008029944101380602,1.2499490631227712,0.0013139908529531926
manifold_orbit_fashion_mnist,GREATS,0.1,0.2,support,50,5,50.0,0.0,54.0,0.0,653.4,50.63951026619432,707.4,50.63951026619432,,,0.35474999999999995,0.005393862252597858,0.35475,0.005393862252597852,,,,,,,,,0.9110538156004623,0.02050920056995414,0.0,0.0,0.0,0.0,51.0,0.0,0.34444444444444444,0.04165637733037775,0.6592592592592592,0.012559870339120859,0.7732253313064575,0.008754506214774534,0.7732253313064575,0.008754506214774534,1.0000003576278687,5.331201499700045e-08,0.10306299581842601,0.004985580926008308,0.5245283018867924,0.06574057128371451,0.6377358490566039,0.04020240708049532,0.4716981132075472,0.057539436535761906,0.36666666666666664,0.027090257108014427,0.6333333333333333,0.027090257108014423,0.14814814814814817,0.010143010324169742,0.9289595956010619,0.00760384083502495,0.018518518518518517,0.0,0.2883743103775659,0.007063674590646442,0.7456970646461695,0.001942510512427766,1.2202315603300955,0.0031786535657908803
manifold_orbit_fashion_mnist,GREATS,0.1,0.4,support,100,5,100.0,0.0,104.0,0.0,322.8,14.026403673073151,426.8,14.026403673073151,,,0.33085000000000003,0.0022632940595512605,0.33085000000000003,0.0022632940595512536,,,,,,,,,1.7953725902130828,0.023864907102046966,0.0,0.0,0.0,0.0,101.0,0.0,0.3211538461538461,0.016820053542822976,0.5999999999999999,0.04063566655599123,0.768849003314972,0.00961121299687758,0.768849003314972,0.00961121299687758,1.0000002145767213,5.8400386399821704e-08,0.07300562334870828,0.0017160950953019592,0.7067961165048543,0.02557658227634853,0.8252427184466018,0.013730228760903828,0.6757281553398059,0.021839265784858244,0.41923076923076924,0.05129607180134285,0.5807692307692308,0.051296071801342845,0.10769230769230768,0.0147087101353638,0.9069316687944161,0.015784318987563755,0.009615384615384616,0.0,0.26105173890296307,0.005611742182442629,0.7532107718016852,0.001543229100171711,1.2325267174936667,0.002525283982099154
manifold_orbit_fashion_mnist,GREATS,0.1,0.4,support,200,5,200.0,0.0,204.0,0.0,228.0,4.147288270665544,432.0,4.147288270665544,,,0.31689999999999996,0.004042431199167151,0.3169,0.0040424311991671515,,,,,,,,,4.274736946215853,0.043582345448322075,0.0,0.0,1.0,0.0,201.0,0.0,0.3578431372549019,0.029452586050587835,0.6058823529411764,0.02502401768254944,0.7570179462432861,0.005051189993970494,0.7570179462432861,0.005051189993970494,1.000000262260437,2.3841857910156248e-08,0.04947336559812424,0.0012282374388008432,0.7793103448275862,0.019230759897480923,0.9014778325123153,0.011340753136178643,0.7635467980295566,0.019015033562185993,0.47352941176470587,0.024243652978192618,0.5264705882352942,0.024243652978192625,0.08627450980392157,0.009118174136146212,0.8974547499967821,0.006450271824458128,0.004901960784313725,0.0,0.24746208582156273,0.0032314355358028,0.7569479263990704,0.0008886447723457857,1.2386420613802969,0.0014541459911112514
manifold_orbit_fashion_mnist,GREATS,0.1,0.4,support,50,5,50.0,0.0,54.0,0.0,489.4,48.43201420548189,543.4,48.43201420548189,,,0.3534,0.0054923810865598124,0.3534,0.005492381086559813,,,,,,,,,0.8591259081847966,0.013029848845411446,0.0,0.0,0.0,0.0,51.0,0.0,0.3592592592592593,0.029629629629629627,0.6962962962962963,0.02385944208652801,0.7470426559448242,0.007769914443335396,0.7470426559448242,0.007769914443335396,1.0000001668930054,4.7683715820312496e-08,0.10956787399525911,0.0034238043919480234,0.5018867924528301,0.05552429799834777,0.6037735849056605,0.037261165392700926,0.4339622641509434,0.04424920528135311,0.39629629629629626,0.03343605571345886,0.6037037037037037,0.03343605571345886,0.14074074074074075,0.0171733675842513,0.9236541654016829,0.011275992028226302,0.018518518518518517,0.0,0.306604555476829,0.004565345291205418,0.7406837472438721,0.0012554699550814871,1.2120279500354272,0.0020544053810424307
manifold_orbit_fashion_mnist,MaxLoss,0.1,0.0,support,100,5,100.0,0.0,104.0,0.0,2266.0,65.69246532137457,2370.0,65.69246532137457,0.49982913717394695,0.013188051857041845,0.45365,0.004919730683685845,0.45365,0.00491973068368584,,,,,,,,,1.3442455321550368,0.0957675553664406,0.0,0.0,0.0,0.0,101.0,0.0,0.39615384615384613,0.017038504948720525,0.7403846153846154,0.021926450482675736,0.7486719965934754,0.004700632935534963,0.7486719965934754,0.004700632935534963,1.0000003099441528,4.7683715820312496e-08,0.07205392481053917,0.001328611022165732,0.6776699029126214,0.01720392732686344,0.7689320388349514,0.007134436144028671,0.6601941747572816,0.022139328642701725,0.5615384615384615,0.0234741454148725,0.4384615384615384,0.023474145414872503,0.1096153846153846,0.011213369028548654,0.8899888760581216,0.010008926045139806,0.009615384615384616,0.0,0.3041268737651758,0.00552435335953575,0.7413651097145767,0.0015191971738723264,1.2131429068056712,0.0024859590117910536
