method,dataset,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-G,mnist,0,0.1,0.0,100,100,1000,0,104,378,482,0.5365279107354581,0.38139999999999996,0.829471945199507,0.37027,0.5323918237389608,228.12375502333055,1.6086432104930282,0,0,101,0.22115384615384615,0.0,0.6195408701896667
PU-G,mnist,0,0.1,0.0,200,200,1000,0,204,203,407,0.46058444341178983,0.20130000000000003,0.7291702104717601,0.20292999999999994,0.3515651805893977,302.15913152614064,2.9771529119461775,0,1,201,0.18627450980392157,0.0,0.610556960105896
GREATS,mnist,0,0.1,0.0,50,50,1000,0,54,350,404,,0.34450000000000003,0.7656397533188548,0.3450800000000001,0.506609886560888,150.5853153984768,0.5689447512850165,0,0,51,0.2962962962962963,0.0,0.638147234916687
GREATS,mnist,0,0.1,0.0,100,100,1000,0,104,280,384,,0.3319,0.7589396825723161,0.2695,0.4263994748831165,243.90807778189605,1.117248714901507,0,0,101,0.28846153846153844,0.0,0.6428577303886414
GREATS,mnist,0,0.1,0.0,200,200,1000,0,204,158,362,,0.24619999999999997,0.7131346903614593,0.15979000000000002,0.30035911184094954,356.55049570386194,2.115746509283781,0,1,201,0.28921568627450983,0.0,0.6265823245048523
MaxLoss,mnist,0,0.2,0.0,50,50,1000,0,54,446,500,0.5545675221947022,0.4518,0.8345194519289327,0.4468000000000001,0.608106491250919,137.89688635031277,0.3998626312240958,0,0,51,0.35185185185185186,0.0,0.6009992957115173
MaxLoss,mnist,0,0.2,0.0,100,100,1000,0,104,402,506,0.5605647375923581,0.45930000000000004,0.8569666584980279,0.40659,0.5688017733826572,235.19047626801287,0.7846104688942432,0,0,101,0.36538461538461536,0.0,0.591507077217102
MaxLoss,mnist,0,0.2,0.0,200,200,1000,0,204,297,501,0.5555676136864349,0.3618,0.8316703542280195,0.29429000000000005,0.4532101272157393,361.5608496570685,1.4714294150471687,0,1,201,0.37745098039215685,0.0,0.5944536924362183
PU-C,mnist,0,0.2,0.0,50,50,1000,0,54,440,494,0.5485623091226444,0.43410000000000004,0.8284491868596144,0.43823999999999996,0.5998256177989376,137.76302705383992,0.5078201815485954,0,0,51,0.2777777777777778,0.0,0.5626494884490967
PU-C,mnist,0,0.2,0.0,100,100,1000,0,104,394,498,0.5525666727917269,0.38749999999999996,0.8319432569156593,0.39423000000000014,0.5565098720444697,199.09068159885268,1.01156041957438,0,0,101,0.23076923076923078,0.0,0.5630410313606262
PU-C,mnist,0,0.2,0.0,200,200,1000,0,204,255,459,0.5133725987398066,0.24739999999999995,0.7721830043832201,0.25438000000000005,0.40978383935783513,294.7189221301178,1.9506313614547253,0,1,201,0.23529411764705882,0.0,0.5738841891288757
PU-F,mnist,0,0.2,0.0,50,50,1000,0,54,427,481,0.5355236016912386,0.40580000000000005,0.8271565204454243,0.4335699999999999,0.5952883406548145,141.00562437485837,0.8851230125874281,0,0,51,0.24074074074074073,0.0,0.6382564306259155
PU-F,mnist,0,0.2,0.0,100,100,1000,0,104,407,511,0.565556300978642,0.45699999999999996,0.8488673493796669,0.40908,0.5712659358373472,213.28374513692646,1.7191220559179783,0,0,101,0.34615384615384615,0.0,0.6297643184661865
PU-F,mnist,0,0.2,0.0,200,200,1000,0,204,289,493,0.5475606632535346,0.3217,0.8085101290252805,0.28794000000000003,0.44639175054730396,315.0684441745957,3.2110361326485872,0,1,201,0.28431372549019607,0.0,0.6029497385025024
PU-G,mnist,0,0.2,0.0,50,50,1000,0,54,453,507,0.5615634953137487,0.4606,0.8313525689138448,0.45405999999999996,0.6150935690894982,124.80635346430324,0.8680259808897972,0,0,51,0.24074074074074073,0.0,0.6078397631645203
PU-G,mnist,0,0.2,0.0,100,100,1000,0,104,418,522,0.5765181288588792,0.4164,0.8419751865488525,0.41956000000000004,0.5815930674779993,184.72687388339506,1.7248141951858997,0,0,101,0.25,0.0,0.6052981019020081
PU-G,mnist,0,0.2,0.0,200,200,1000,0,204,341,545,0.5993507053353824,0.3577,0.8317111453912425,0.34209,0.5035197549131849,276.9260302565086,3.3092147978022695,0,1,201,0.22058823529411764,0.0,0.5969224572181702
GREATS,mnist,0,0.2,0.0,50,50,1000,0,54,422,476,,0.42200000000000004,0.8234638979845438,0.42284999999999995,0.584820454570352,147.4219353910448,0.573858636431396,0,0,51,0.3333333333333333,0.0,0.6509214639663696
GREATS,mnist,0,0.2,0.0,100,100,1000,0,104,357,461,,0.357,0.8241040358807008,0.35558999999999996,0.5174210895793705,238.71583310927429,1.1356434505432844,0,0,101,0.34615384615384615,0.0,0.6343817114830017
GREATS,mnist,0,0.2,0.0,200,200,1000,0,204,278,482,,0.3691,0.8223598527168415,0.28176,0.4397237833852897,360.79221895340476,2.1886791344732046,0,1,201,0.35784313725490197,0.0,0.6210343241691589
MaxLoss,mnist,0,0.3,0.0,50,50,1000,0,54,450,504,0.5585665549151599,0.4374,0.8313722400386937,0.44916999999999996,0.61039103971305,130.18124547367805,0.4009729977697134,0,0,51,0.4444444444444444,0.0,0.60562664270401
MaxLoss,mnist,0,0.3,0.0,100,100,1000,0,104,433,537,0.5914224428124726,0.4708,0.8719484923223874,0.43297,0.5947043884445934,231.90264646699984,0.787067904137075,0,0,101,0.4519230769230769,0.0,0.6068786382675171
MaxLoss,mnist,0,0.3,0.0,200,200,1000,0,204,328,532,0.5864599505439401,0.4095,0.8512311549916134,0.32575000000000004,0.4865171874386462,356.451495610243,1.4748755414038897,0,1,201,0.45098039215686275,0.0,0.5936283469200134
PU-C,mnist,0,0.3,0.0,50,50,1000,0,54,463,517,0.5715388267417438,0.45089999999999997,0.8353990733024377,0.46331000000000006,0.6239479610812424,121.10154393874821,0.50949393119663,0,0,51,0.37037037037037035,0.0,0.5777148604393005
PU-C,mnist,0,0.3,0.0,100,100,1000,0,104,427,531,0.5854667774983682,0.38639999999999997,0.8454343223900345,0.42446999999999996,0.5864070694697991,185.0558580378926,1.0178732564672828,0,0,101,0.36538461538461536,0.0,0.5744068026542664
PU-C,mnist,0,0.3,0.0,200,200,1000,0,204,312,516,0.5705422965111211,0.28300000000000003,0.8115465484902631,0.31219,0.4722555658211921,280.26196470578566,1.9747855961322784,0,1,201,0.3137254901960784,0.0,0.585138201713562
PU-F,mnist,0,0.3,0.0,50,50,1000,0,54,470,524,0.5785082851652987,0.46030000000000004,0.8578118409333789,0.46843999999999997,0.6288355167814031,153.36779524081936,0.8859867984429002,0,0,51,0.3888888888888889,0.0,0.6471837162971497
PU-F,mnist,0,0.3,0.0,100,100,1000,0,104,411,515,0.5695455432287417,0.4335,0.8503436858312899,0.41276,0.5749003618486116,211.25578759262766,1.7531648967415094,0,0,101,0.41346153846153844,0.0,0.6313241720199585
PU-F,mnist,0,0.3,0.0,200,200,1000,0,204,324,528,0.5824859116110019,0.36960000000000004,0.8324600181549576,0.32294999999999996,0.48358375695294054,311.16205823102166,3.3004517816007137,0,1,201,0.35784313725490197,0.0,0.6220214366912842
PU-G,mnist,0,0.3,0.0,50,50,1000,0,54,470,524,0.5785082851652987,0.5253,0.8478240293930697,0.46950000000000003,0.6298433762134225,134.33793508840392,0.8842484541237354,0,0,51,0.37037037037037035,0.0,0.6456480622291565
PU-G,mnist,0,0.3,0.0,100,100,1000,0,104,421,525,0.5795030277222395,0.41459999999999997,0.8471173119097832,0.41879,0.580836715788238,196.0742555743572,1.7456458462402225,0,0,101,0.33653846153846156,0.0,0.6197712421417236
PU-G,mnist,0,0.3,0.0,200,200,1000,0,204,355,559,0.6131902254419401,0.33020000000000005,0.8430382025914838,0.3545599999999998,0.5163650364044325,283.627243105128,3.3289492521435022,0,1,201,0.30392156862745096,0.0,0.5936828255653381
GREATS,mnist,0,0.3,0.0,50,50,1000,0,54,454,508,,0.47409999999999997,0.853059221851408,0.45482999999999996,0.615832681414149,161.0326737583635,0.5750025631859899,0,0,51,0.37037037037037035,0.0,0.6501065492630005
GREATS,mnist,0,0.3,0.0,100,100,1000,0,104,408,512,,0.40959999999999996,0.864231638367194,0.40649,0.5687027265594691,253.02197373456104,1.1472102450206876,0,0,101,0.3942307692307692,0.0,0.6426311135292053
GREATS,mnist,0,0.3,0.0,200,200,1000,0,204,307,511,,0.39759999999999995,0.8409496703217659,0.30541,0.4650715860330804,365.8410671795647,2.2131243580952287,0,1,201,0.43137254901960786,0.0,0.6213758587837219
MaxLoss,mnist,0,0.4,0.0,50,50,1000,0,54,472,526,0.5804975463543087,0.5077,0.8523548531434025,0.47303999999999996,0.6332041777571951,138.08780406467534,0.4004638558253646,0,0,51,0.46296296296296297,0.0,0.6236368417739868
MaxLoss,mnist,0,0.4,0.0,100,100,1000,0,104,443,547,0.6013305088272318,0.48150000000000004,0.8787073930568753,0.44290000000000007,0.6043394034407895,234.09632797404433,0.7860751040279865,0,0,101,0.4519230769230769,0.0,0.6062859296798706
MaxLoss,mnist,0,0.4,0.0,200,200,1000,0,204,342,546,0.6003407204407267,0.44610000000000005,0.8551253520543742,0.34021,0.5015734862284316,340.7616132029998,1.473144382238388,0,1,201,0.46568627450980393,0.0,0.569644570350647
PU-C,mnist,0,0.4,0.0,50,50,1000,0,54,467,521,0.5755227152258158,0.5141,0.8550379624106038,0.47041999999999995,0.6307175549569813,145.8932401701026,0.5126008475199342,0,0,51,0.37037037037037035,0.0,0.6047994494438171
PU-C,mnist,0,0.4,0.0,100,100,1000,0,104,436,540,0.5943972351960838,0.48729999999999996,0.859635142950364,0.43615999999999994,0.5978064418442088,198.737201144791,1.0234016589820385,0,0,101,0.40384615384615385,0.0,0.5967316031455994
PU-C,mnist,0,0.4,0.0,200,200,1000,0,204,361,565,0.6191077351104468,0.39759999999999995,0.8504507843127664,0.36086999999999997,0.5228229365738528,291.7852774694402,1.9873064644634724,0,1,201,0.37745098039215685,0.0,0.5724623203277588
PU-F,mnist,0,0.4,0.0,50,50,1000,0,54,444,498,0.5525666727917269,0.4861,0.8357944757010806,0.44860999999999995,0.6098515497526903,137.93315121634149,0.8772724801674485,0,0,51,0.4444444444444444,0.0,0.6334788799285889
PU-F,mnist,0,0.4,0.0,100,100,1000,0,104,413,517,0.5715388267417438,0.44220000000000004,0.8517580345020068,0.41576,0.577856709815047,210.0782270551919,1.7279527289792895,0,0,101,0.41346153846153844,0.0,0.6125836372375488
PU-F,mnist,0,0.4,0.0,200,200,1000,0,204,364,568,0.6220633834600449,0.47030000000000005,0.8576801814127811,0.35330999999999996,0.5150824123354117,324.31932588613597,3.2891877219080925,0,1,201,0.45588235294117646,0.0,0.6224986910820007
PU-G,mnist,0,0.4,0.0,50,50,1000,0,54,482,536,0.5904303944553249,0.47450000000000003,0.858020828326364,0.47994,0.6397324989487934,140.15802497118094,0.853336482308805,0,0,51,0.37037037037037035,0.0,0.6021726727485657
PU-G,mnist,0,0.4,0.0,100,100,1000,0,104,459,563,0.6171361508895643,0.47840000000000005,0.8716060223385212,0.45789,0.6187662608329129,195.40529080143193,1.6953533347696066,0,0,101,0.3557692307692308,0.0,0.5802919864654541
PU-G,mnist,0,0.4,0.0,200,200,1000,0,204,402,606,0.6593192726722918,0.47650000000000003,0.8723215266286971,0.4020000000000001,0.5642487839857798,281.587501977874,3.359406629577279,0,1,201,0.3872549019607843,0.0,0.5878431797027588
GREATS,mnist,0,0.4,0.0,50,50,1000,0,54,451,505,,0.49250000000000005,0.8444976323680269,0.44994,0.6111325163547606,151.27038340031868,0.5762990126386285,0,0,51,0.46296296296296297,0.0,0.6501257419586182
GREATS,mnist,0,0.4,0.0,100,100,1000,0,104,415,519,,0.46819999999999995,0.8698045218895492,0.41735999999999995,0.5794310486904436,250.27017011038456,1.1455842638388276,0,0,101,0.4519230769230769,0.0,0.6409853100776672
GREATS,mnist,0,0.4,0.0,200,200,1000,0,204,314,518,,0.4487,0.8480090750157334,0.31088,0.4708703084439067,375.52662344697484,2.2226956374943256,0,1,201,0.47058823529411764,0.0,0.6238913536071777
MaxLoss,mnist,1,0.0,0.0,50,50,1000,0,54,232,286,0.335245430120267,0.24150000000000005,0.6351276884167039,0.20679999999999998,0.3560432210661612,152.25367195021585,0.40036460384726524,0,0,51,0.0,0.0,0.5950754284858704
MaxLoss,mnist,1,0.0,0.0,100,100,1000,0,104,90,194,0.23710802366258577,0.1352,0.5384898451688989,0.08845999999999994,0.20865558834661496,221.39365284126035,0.7844939678907394,0,0,101,0.0,0.0,0.5856407284736633
MaxLoss,mnist,1,0.0,0.0,200,169,1000,0,173,0,173,0.21425495366565883,0.07789999999999997,0.3954953297750726,0.0009200000000000008,0.05610239137285905,303.54341924745455,1.283324065618217,1,0,170,0.0,0.0,0.591971218585968
PU-C,mnist,1,0.0,0.0,50,50,1000,0,54,190,244,0.29080151580274105,0.21209999999999996,0.5876049672928316,0.19154000000000004,0.33828209809834914,118.60809556765746,0.4981409516185522,0,0,51,0.0,0.0,0.5672913789749146
PU-C,mnist,1,0.0,0.0,100,100,1000,0,104,164,268,0.3162648262223229,0.19430000000000003,0.6123242242867848,0.15952000000000002,0.30003041399067787,192.0547467516757,0.9732812223955989,0,0,101,0.0,0.0,0.5765015482902527
PU-C,mnist,1,0.0,0.0,200,200,1000,0,204,35,239,0.28547296341275796,0.09809999999999997,0.4828625945289506,0.03410000000000003,0.1271724086066614,279.69226460410044,1.82834068313241,0,1,201,0.0,0.0,0.5850064158439636
PU-F,mnist,1,0.0,0.0,50,50,1000,0,54,217,271,0.319435007753782,0.21919999999999995,0.6365330329569803,0.22045999999999996,0.37171387783857057,136.4168007245619,0.7460210705175996,0,0,51,0.0,0.0,0.6165003180503845
PU-F,mnist,1,0.0,0.0,100,100,1000,0,104,92,196,0.23927439335966483,0.1281,0.5343502653933976,0.08743999999999995,0.20725333043326052,218.00565388481067,1.3413813142105937,0,0,101,0.0,0.0,0.622736394405365
PU-F,mnist,1,0.0,0.0,200,200,1000,0,204,3,207,0.2511599550489336,0.07850000000000001,0.4216723693290484,0.0031900000000000027,0.06380849516016801,322.95255412355544,2.2878316612914205,0,1,201,0.0,0.0,0.5956689715385437
PU-G,mnist,1,0.0,0.0,50,50,1000,0,54,247,301,0.3509905891260132,0.24609999999999999,0.6512059361751581,0.24546999999999997,0.3998936053034071,123.13439379253006,0.788639971986413,0,0,51,0.0,0.0,0.6154752969741821
PU-G,mnist,1,0.0,0.0,100,100,1000,0,104,246,350,0.40200025151716545,0.26859999999999995,0.7000149304594965,0.23464999999999997,0.38778010475719465,200.18558180389942,1.4423075141385198,0,0,101,0.0,0.0,0.6385861039161682
PU-G,mnist,1,0.0,0.0,200,200,1000,0,204,93,297,0.34679810295347124,0.13239999999999996,0.5849976818904216,0.09185999999999997,0.21330584877992317,280.4349088487882,2.5440779579803348,0,1,201,0.0,0.0,0.5849685668945312
GREATS,mnist,1,0.0,0.0,50,50,1000,0,54,190,244,,0.2158,0.6211858714377275,0.19277999999999998,0.3397358858393492,154.32188390958086,0.5475898804143071,0,0,51,0.0,0.0,0.622510552406311
