dataset,method,noise_rate,pretrain_fraction,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,train_calls_mean,train_calls_se
mnist,Marginal,0.0,0.0,3,300.0,0.0,36.333333333333336,4.910306620885412,336.3333333333333,4.910306620885412,0.38782975607318804,0.00509500176303484,0.1059,0.004021608301828199,0.5079725280154026,0.00897187494800105,0.0364566666666667,0.0050317536152363895,0.13087274282445863,0.008285358569875568,309.8384213275801,2.393749370450371,2.4826857899315655,0.004550477838077287,0.0,0.0,297.0,0.0
mnist,Marginal,0.0,0.2,3,298.3333333333333,1.6666666666666667,2.6666666666666665,1.7638342073763937,301.0,3.2145502536643185,0.4348788273637183,0.004141504606761901,0.09560000000000002,0.0030924639582917248,0.44710370661065185,0.008339742692184604,0.005545833333333326,0.0019354200304958432,0.06996015246978154,0.005101553830661607,276.0059304155629,5.049619012284584,2.4071138156577945,0.012096654242537797,0.3333333333333333,0.33333333333333337,295.3333333333333,1.6666666666666667
mnist,Marginal,0.0,0.4,3,239.0,3.511884584284246,0.0,0.0,239.0,3.511884584284246,0.4660571308922954,0.00600415054807907,0.09633333333333334,0.00451897235122223,0.4774569808938975,0.0043629527660074465,0.0021222222222222306,0.0006117168714889045,0.060311322677731156,0.0019878695652552148,248.7989756406796,1.3908023505969234,1.869353300658986,0.024601526487522465,1.0,0.0,236.0,3.511884584284246
mnist,Marginal,0.0,0.6,3,189.0,9.29157324317757,0.0,0.0,189.0,9.29157324317757,0.5553088979601549,0.02327815339266117,0.12743333333333332,0.005942034817954038,0.5283225031964358,0.008008959500256704,0.0018166666666666314,0.0007974351244946222,0.05901503427245001,0.0030150067461827195,201.42372407427536,9.594856453488573,1.409675903385505,0.06774511765313969,1.0,0.0,186.0,9.29157324317757
mnist,Marginal,0.0,0.8,3,105.66666666666667,4.807401700618653,0.0,0.0,105.66666666666667,4.807401700618653,0.6408246651020212,0.02318387839687968,0.16473333333333331,0.0100618641966144,0.6581470771779656,0.0003350717809027593,0.009533333333333343,0.0012437622137870439,0.0800718005850301,0.0029154982079538155,141.72579708377683,1.936624327522164,0.79796076961793,0.033217890449310956,1.0,0.0,102.66666666666667,4.807401700618653
mnist,Marginal,0.3,0.0,3,300.0,0.0,287.0,6.110100926607787,587.0,6.110100926607787,0.6407251458925506,0.0059942368427547315,0.2849333333333333,0.01889359091802766,0.8172992715730034,0.0020802517573934726,0.2874366666666666,0.006387843489351084,0.4458157765950519,0.0068914708808990996,337.3235592769042,7.016584167406934,2.608482460025698,0.0044080323047817165,0.0,0.0,297.0,0.0
mnist,Marginal,0.3,0.2,3,300.0,0.0,184.0,5.507570547286102,484.0,5.507570547286102,0.6639833021714973,0.006702138943864318,0.25766666666666665,0.014009679193725692,0.8067326771445688,0.0036984881330399603,0.23038333333333336,0.0065141685855610735,0.38292720205402503,0.007378325718241583,337.53334802966157,3.718322178054637,2.5140573560105017,0.004586645393344637,0.0,0.0,297.0,0.0
mnist,Marginal,0.3,0.4,3,300.0,0.0,88.66666666666667,8.56997342145496,388.6666666666667,8.56997342145496,0.7131513119093142,0.013598624010022185,0.25720000000000004,0.024870062324007156,0.79315597978193,0.012894232008751623,0.14821111111111115,0.013860603419782772,0.28584133346947055,0.017037739953862152,349.6826422382463,3.1310150582216036,2.3597752357212207,0.005897087330185301,0.0,0.0,297.0,0.0
mnist,Marginal,0.3,0.6,3,300.0,0.0,12.666666666666666,2.3333333333333335,312.6666666666667,2.3333333333333335,0.8479195498900177,0.005115503115424266,0.3096666666666667,0.007377066565452115,0.7623740543818066,0.009112462056219883,0.035716666666666674,0.006180789009323795,0.12944144786635273,0.010583173469262169,353.8047615959065,3.1608103603321855,2.2206310640710094,0.00260921815696395,0.0,0.0,297.0,0.0
mnist,Marginal,0.3,0.8,3,161.66666666666666,4.333333333333334,0.0,0.0,161.66666666666666,4.333333333333334,0.8905461608082987,0.017206220591372754,0.3555,0.0042015870017570135,0.7740447438291614,0.00808571763446206,0.00733333333333334,0.0005674014843516405,0.07492105207866347,0.0014080402923573338,219.31820843238316,5.400481967442668,1.1886714613841225,0.029518901883436536,1.0,0.0,158.66666666666666,4.333333333333334
mnist,MaxLoss,0.0,0.0,3,176.33333333333334,3.48010216963685,0.0,0.0,176.33333333333334,3.48010216963685,0.2178901745355688,0.003799372804421274,0.07986666666666668,0.00812902891562768,0.3896213785600131,0.0019854773739832036,0.000406666666666667,0.0003578329840085241,0.05359549931525311,0.001656938732289477,301.3150508630372,3.205661978754365,2.2576075409694263,0.9026707138108478,1.0,0.0,173.33333333333334,3.48010216963685
mnist,MaxLoss,0.0,0.2,3,158.33333333333334,2.0275875100994067,0.0,0.0,158.33333333333334,2.0275875100994067,0.2462961416458711,0.0027620850270311512,0.08886666666666669,0.0017704362299852771,0.3982287462822122,0.003065216026815798,0.0004083333333333287,0.00022130452874815712,0.053801506166915834,0.0010123344559149982,249.06513382764646,3.199608149685962,1.2021388869422178,0.013152012383587932,1.0,0.0,155.33333333333334,2.0275875100994067
mnist,MaxLoss,0.0,0.4,3,124.66666666666667,3.5276684147527875,0.0,0.0,124.66666666666667,3.5276684147527875,0.26437780348351225,0.006449258596924031,0.09676666666666667,0.0007965202096899229,0.44262794805696903,0.006292492671690749,0.001377777777777793,0.00047671069467734303,0.05770270986210715,0.0017864544169623661,219.2491729910765,8.234706257617026,0.9472397554200143,0.02431543127900862,1.0,0.0,121.66666666666667,3.5276684147527875
mnist,MaxLoss,0.0,0.6,3,100.0,3.0550504633038935,0.0,0.0,100.0,3.0550504633038935,0.32323590194573626,0.008309915359069355,0.12213333333333336,0.0013544166435939873,0.5002087010989307,0.0059134467665731515,0.0012333333333333165,0.0002829654474391612,0.057261285904070446,0.0010611220035809331,182.66520479250903,3.095944778535123,0.7148544209388396,0.0200792891216897,1.0,0.0,97.0,3.0550504633038935
mnist,MaxLoss,0.0,0.8,3,63.0,6.110100926607787,0.0,0.0,63.0,6.110100926607787,0.42310062466034043,0.03301875619716944,0.16563333333333333,0.014249717346124577,0.6101501691123515,0.012127013438713852,0.0027500000000000024,0.001047616341987849,0.06208082604446585,0.0034979794554757743,129.87303563561167,6.8652942260197864,0.4664100973556439,0.03870155328605146,1.0,0.0,60.0,6.110100926607787
mnist,MaxLoss,0.3,0.0,3,300.0,0.0,230.0,5.567764362830022,530.0,5.567764362830022,0.584466427603426,0.005534723049651356,0.413,0.010277321311184794,0.8210773458769233,0.003783054482617844,0.23227,0.0026012561068324697,0.38509301741153307,0.002935942754778069,460.2155650816623,5.470957581822362,2.2231047813935825,0.0021407398639312135,0.0,0.0,297.0,0.0
mnist,MaxLoss,0.3,0.2,3,300.0,0.0,123.0,6.027713773341709,423.0,6.027713773341709,0.5890641754958779,0.007482575544501227,0.36920000000000003,0.010004665578285632,0.7912418236537406,0.005843513184887477,0.15881249999999994,0.007740178588594274,0.299073607356734,0.009481834923556108,439.27699032606307,2.79197202757311,2.1914453509574137,0.003921795875521531,0.0,0.0,297.0,0.0
mnist,MaxLoss,0.3,0.4,3,300.0,0.0,43.333333333333336,8.98764584180851,343.3333333333333,8.98764584180851,0.6402038152252013,0.014643368278592722,0.37853333333333333,0.02308320697919691,0.7651464622545724,0.019469767798578282,0.07300555555555556,0.016371716049936647,0.18579119756093795,0.02392477550919862,445.03150232361367,10.740329940298738,2.099212828790769,0.0011664044958927759,0.0,0.0,297.0,0.0
mnist,MaxLoss,0.3,0.6,3,234.0,5.8594652770823155,0.0,0.0,234.0,5.8594652770823155,0.6661310039150218,0.014109793648931107,0.3373333333333333,0.012735558269838207,0.7166780994562831,0.0056107666138819024,0.0018916666666666502,0.0005341140119654012,0.0595250697336224,0.0019057237790403698,385.2268780085919,6.674165929703105,1.5755097210252036,0.03795398110708137,1.0,0.0,231.0,5.8594652770823155
mnist,MaxLoss,0.3,0.8,3,122.33333333333333,5.840471822645077,0.0,0.0,122.33333333333333,5.840471822645077,0.7197193884445975,0.026878986643783187,0.36223333333333335,0.016847386872878647,0.7880625495475116,0.006297528019339434,0.0020500000000000015,0.0017500000000000016,0.05905822748693718,0.005681583073267717,243.5060575336207,7.708584719931669,0.8407446843727181,0.03624127534720728,1.0,0.0,119.33333333333333,5.840471822645077
mnist,PU-C,0.0,0.0,3,226.33333333333334,7.218802609235905,0.0,0.0,226.33333333333334,7.218802609235905,0.2719165697538604,0.007730995191905726,0.07733333333333332,0.0019717448561560403,0.399556908612082,0.0020780441901084848,0.0007066666666666672,0.0002465990898424226,0.05515542110959246,0.0010233190749863118,311.6570287526476,3.279535462769191,2.1543332126457244,0.07319119962956154,1.0,0.0,223.33333333333334,7.218802609235905
mnist,PU-C,0.0,0.2,3,189.66666666666666,5.6960024968783545,0.0,0.0,189.66666666666666,5.6960024968783545,0.2886391269857995,0.007635044002967312,0.08639999999999999,0.002402776172125341,0.4006019343041643,0.001720257543500293,0.0014791666666666566,0.0007685326025036953,0.0577264257737265,0.003069888571323919,244.3145360244797,6.944940206224993,1.778264211025089,0.051746029196465294,1.0,0.0,186.66666666666666,5.6960024968783545
mnist,PU-C,0.0,0.4,3,160.0,4.358898943540674,0.0,0.0,160.0,4.358898943540674,0.328131780513407,0.007779349006757936,0.09063333333333334,0.004108662934716255,0.44192384830576353,0.005600567731867342,0.0006500000000000072,0.00023648662948658693,0.05489236881289556,0.001071926173100527,222.8391772727775,3.649390684737864,1.4456560004812975,0.03570273696420036,1.0,0.0,157.0,4.358898943540674
mnist,PU-C,0.0,0.6,3,119.33333333333333,6.76592771006148,0.0,0.0,119.33333333333333,6.76592771006148,0.3752535543365714,0.01811072593750043,0.12293333333333338,0.0052960152735597125,0.5018618314053245,0.01355225688407537,0.001108333333333325,0.0006010985313943464,0.056583901968845274,0.0022489250199181736,184.81094680061162,7.71600288596551,1.0192921543493867,0.054825358695088686,1.0,0.0,116.33333333333333,6.76592771006148
mnist,PU-C,0.0,0.8,3,70.33333333333333,3.1797973380564857,0.0,0.0,70.33333333333333,3.1797973380564857,0.46247900285137195,0.016736594359465527,0.15333333333333332,0.008167482952402019,0.6168289614939572,0.008644747831232017,0.002083333333333335,0.0007623064417352855,0.06005349412235967,0.0026602948631214984,134.1408380013624,4.379898879105468,0.603236069281896,0.02502697245886913,1.0,0.0,67.33333333333333,3.1797973380564857
mnist,PU-C,0.3,0.0,3,300.0,0.0,255.0,6.000000000000001,555.0,6.000000000000001,0.6092324299970642,0.005931217106990516,0.27113333333333334,0.005907434111166877,0.7971066117684518,0.00431998435567981,0.2551866666666667,0.0060841250626345765,0.41064095509730963,0.006740954103083974,348.7104758007262,1.984682491054528,3.2815707500558347,0.013671634913221641,0.0,0.0,297.0,0.0
mnist,PU-C,0.3,0.2,3,300.0,0.0,179.66666666666666,8.37323779138698,479.6666666666667,8.37323779138698,0.6586945657424318,0.010195720991780465,0.2985333333333334,0.012163515573678148,0.8101100779551521,0.008912455468629888,0.2258875,0.009630244783147186,0.3777863841622862,0.010925820493983027,353.4173744198286,7.527470513062902,3.0938996026137224,0.0067860635338142065,0.0,0.0,297.0,0.0
mnist,PU-C,0.3,0.4,3,300.0,0.0,85.0,6.658328118479393,385.0,6.658328118479393,0.7073458134545945,0.010619723120391788,0.27553333333333335,0.010150259985723395,0.7818832760895567,0.009899798180224005,0.14229444444444442,0.010816261477316411,0.27860308320045507,0.013580294985705002,338.56409553022604,5.39741453194372,2.809417967684567,0.013601351707212474,0.0,0.0,297.0,0.0
mnist,PU-C,0.3,0.6,3,287.3333333333333,8.56997342145496,1.6666666666666667,1.6666666666666667,289.0,9.865765724632494,0.7948505467308374,0.022427651815341093,0.33303333333333335,0.005748719664218952,0.7122628302473292,0.015890812282348458,0.00560833333333331,0.003758665912853183,0.06901598992453971,0.009573109052402254,366.9499481462922,9.70572524561035,2.459088213586559,0.07644269726042281,0.6666666666666666,0.33333333333333337,284.3333333333333,8.56997342145496
