method,seed,noise_rate,pretrain_fraction,es_budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,runtime_sec,stop_reached,hit_limit,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
PU-C,0,0.0,0.8,100,2,600,2400,6,0,6,0.026965588273014873,0.0016000000000000458,0.19982287503080443,1,0,3,0.0,0.0,0.5292083024978638
PU-C,0,0.0,0.8,200,2,600,2400,6,0,6,0.026965588273014873,0.0016000000000000458,0.20194270799402148,1,0,3,0.0,0.0,0.5292083024978638
PU-F,0,0.0,0.8,50,1,600,2400,5,0,5,0.024279373232275248,0.0044999999999999485,0.1964333330397494,1,0,2,0.0,0.0,0.3962211012840271
PU-F,0,0.0,0.8,100,1,600,2400,5,0,5,0.024279373232275248,0.0044999999999999485,0.1986907499958761,1,0,2,0.0,0.0,0.3962211012840271
PU-F,0,0.0,0.8,200,1,600,2400,5,0,5,0.024279373232275248,0.0044999999999999485,0.2006948750349693,1,0,2,0.0,0.0,0.3962211012840271
PU-G,0,0.0,0.8,50,2,600,2400,6,0,6,0.026965588273014873,0.0023999999999999577,0.19783725001616403,1,0,3,0.0,0.0,0.530048131942749
PU-G,0,0.0,0.8,100,2,600,2400,6,0,6,0.026965588273014873,0.0023999999999999577,0.19985095801530406,1,0,3,0.0,0.0,0.530048131942749
PU-G,0,0.0,0.8,200,2,600,2400,6,0,6,0.026965588273014873,0.0023999999999999577,0.20220941602019593,1,0,3,0.0,0.0,0.530048131942749
MaxLoss,0,0.4,0.0,50,50,3000,0,54,352,406,0.1572520800982602,0.08730000000000004,0.057360832986887544,0,0,51,0.3148148148148148,0.3148148148148148,0.7891256213188171
MaxLoss,0,0.4,0.0,100,100,3000,0,104,357,461,0.17681169032584876,0.08979999999999999,0.11931604199344292,0,0,101,0.28846153846153844,0.34615384615384615,0.7251380085945129
MaxLoss,0,0.4,0.0,200,200,3000,0,204,253,457,0.17539314867462963,0.07140000000000002,0.3034420420299284,0,1,201,0.28921568627450983,0.4166666666666667,0.5436508059501648
PU-C,0,0.4,0.0,50,50,3000,0,54,1134,1188,0.4279616988496855,0.38770000000000004,0.26908095902763307,0,0,51,0.3148148148148148,0.35185185185185186,0.8060389757156372
PU-C,0,0.4,0.0,100,100,3000,0,104,475,579,0.21841504727490246,0.138,0.5796159590245225,0,0,101,0.2692307692307692,0.40384615384615385,0.7878015041351318
PU-C,0,0.4,0.0,200,200,3000,0,204,228,432,0.16651347110746428,0.06879999999999997,1.5423729169997387,0,1,201,0.29411764705882354,0.3872549019607843,0.5845974087715149
PU-F,0,0.4,0.0,50,50,3000,0,54,443,497,0.189552646887023,0.11699999999999999,0.5176653750240803,0,0,51,0.3888888888888889,0.42592592592592593,0.7480701804161072
PU-F,0,0.4,0.0,100,100,3000,0,104,363,467,0.17893839586758986,0.10160000000000002,1.3675761670456268,0,0,101,0.25,0.38461538461538464,0.6918609142303467
PU-F,0,0.4,0.0,200,200,3000,0,204,136,340,0.1336057098233141,0.021700000000000053,2.735276249994058,0,1,201,0.25980392156862747,0.37745098039215685,0.5437219738960266
PU-G,0,0.4,0.0,50,50,3000,0,54,459,513,0.19520097953500226,0.12239999999999995,0.5184145839884877,0,0,51,0.4074074074074074,0.4074074074074074,0.813017725944519
PU-G,0,0.4,0.0,100,100,3000,0,104,438,542,0.20541747816605493,0.12419999999999998,1.2668058749986812,0,0,101,0.33653846153846156,0.4326923076923077,0.7953910827636719
PU-G,0,0.4,0.0,200,200,3000,0,204,301,505,0.19237787678139284,0.07750000000000001,2.933702791982796,0,1,201,0.2647058823529412,0.39705882352941174,0.6792050004005432
MaxLoss,0,0.4,0.1,50,50,2700,300,54,439,493,0.2087304093874991,0.121,0.23937812499934807,0,0,51,0.37037037037037035,0.37037037037037035,0.9158603549003601
MaxLoss,0,0.4,0.1,100,100,2700,300,104,315,419,0.17962965974584222,0.08850000000000002,0.3007215000106953,0,0,101,0.2692307692307692,0.2692307692307692,0.9169623851776123
MaxLoss,0,0.4,0.1,200,200,2700,300,204,204,408,0.17528291005874053,0.05689999999999995,0.4678554580314085,0,1,201,0.25980392156862747,0.35294117647058826,0.678043007850647
PU-C,0,0.4,0.1,50,50,2700,300,54,424,478,0.20285028783837333,0.13480000000000003,0.36176437500398606,0,0,51,0.48148148148148145,0.5,0.9316843152046204
PU-C,0,0.4,0.1,100,100,2700,300,104,486,590,0.24655353667913005,0.1643,0.7162918340181932,0,0,101,0.25,0.3173076923076923,0.9496886134147644
PU-C,0,0.4,0.1,200,200,2700,300,204,288,492,0.20833867968758568,0.09230000000000005,1.4547610419685952,0,1,201,0.25980392156862747,0.3235294117647059,0.5980323553085327
PU-F,0,0.4,0.1,50,50,2700,300,54,447,501,0.21186284010764211,0.1291,0.47215141699416563,0,0,51,0.5,0.5,0.9146175980567932
PU-F,0,0.4,0.1,100,100,2700,300,104,341,445,0.1898813213338144,0.09940000000000004,1.3751428329851478,0,0,101,0.38461538461538464,0.4519230769230769,0.9296067357063293
PU-F,0,0.4,0.1,200,200,2700,300,204,271,475,0.20167317549930885,0.09950000000000003,3.1049117079819553,0,1,201,0.31862745098039214,0.39215686274509803,0.6685665845870972
PU-G,0,0.4,0.1,50,50,2700,300,54,391,445,0.1898813213338144,0.10260000000000002,0.4660234579932876,0,0,51,0.3888888888888889,0.42592592592592593,0.8885185718536377
PU-G,0,0.4,0.1,100,100,2700,300,104,333,437,0.18673023959854618,0.0857,1.2081294169765897,0,0,101,0.27884615384615385,0.33653846153846156,0.8559592962265015
PU-G,0,0.4,0.1,200,200,2700,300,204,249,453,0.19302957772742957,0.060699999999999976,2.4897153749479912,0,1,201,0.2107843137254902,0.27450980392156865,0.617113471031189
MaxLoss,0,0.4,0.2,50,50,2400,600,54,258,312,0.15398462070152164,0.08740000000000003,0.26154216699069366,0,0,51,0.24074074074074073,0.2777777777777778,0.9066854119300842
MaxLoss,0,0.4,0.2,100,100,2400,600,104,201,305,0.1508327735355124,0.05720000000000003,0.31948858295800164,0,0,101,0.25961538461538464,0.33653846153846156,0.9126057028770447
MaxLoss,0,0.4,0.2,200,200,2400,600,204,192,396,0.19153341837227345,0.06240000000000001,0.480659291963093,0,1,201,0.28921568627450983,0.35294117647058826,0.6290253400802612
PU-C,0,0.4,0.2,50,50,2400,600,54,365,419,0.20173710939707235,0.10770000000000002,0.32843087502988055,0,0,51,0.37037037037037035,0.3888888888888889,0.937669575214386
PU-C,0,0.4,0.2,100,100,2400,600,104,232,336,0.16476242971839383,0.06630000000000003,0.5731208340148441,0,0,101,0.2403846153846154,0.40384615384615385,0.9504547715187073
PU-C,0,0.4,0.2,200,200,2400,600,204,271,475,0.22646199946757406,0.12129999999999996,1.1945924590108916,0,1,201,0.28431372549019607,0.39215686274509803,0.6812077760696411
PU-F,0,0.4,0.2,50,50,2400,600,54,431,485,0.23086070065619424,0.15269999999999995,0.6006908330018632,0,0,51,0.25925925925925924,0.2962962962962963,0.7362719774246216
PU-F,0,0.4,0.2,100,100,2400,600,104,260,364,0.17728461133083329,0.09299999999999997,1.1075740830274299,0,0,101,0.18269230769230768,0.23076923076923078,0.7207196354866028
PU-F,0,0.4,0.2,200,200,2400,600,204,90,294,0.1458718500798568,0.007800000000000029,2.013556874997448,0,1,201,0.25980392156862747,0.38235294117647056,0.47117772698402405
PU-G,0,0.4,0.2,50,50,2400,600,54,289,343,0.167898025654722,0.07030000000000003,0.4152444999781437,0,0,51,0.3148148148148148,0.35185185185185186,0.8265188932418823
PU-G,0,0.4,0.2,100,100,2400,600,104,233,337,0.16521058464422822,0.05889999999999995,0.8684198329574428,0,0,101,0.23076923076923078,0.2692307692307692,0.7384158372879028
PU-G,0,0.4,0.2,200,200,2400,600,204,190,394,0.1906446969951503,0.05059999999999998,1.9150219580042176,0,1,201,0.22058823529411764,0.28431372549019607,0.6275196671485901
MaxLoss,0,0.4,0.3,50,50,2100,900,54,266,320,0.17975253699114546,0.07889999999999997,0.2714290829608217,0,0,51,0.4074074074074074,0.46296296296296297,0.470528244972229
MaxLoss,0,0.4,0.3,100,100,2100,900,104,184,288,0.16332183312624693,0.053300000000000014,0.32625266595277935,0,0,101,0.3269230769230769,0.47115384615384615,0.4555039703845978
MaxLoss,0,0.4,0.3,200,200,2100,900,204,106,310,0.17462837119819596,0.0504,0.4786421249737032,0,1,201,0.3284313725490196,0.4950980392156863,0.4332455098628998
PU-C,0,0.4,0.3,50,50,2100,900,54,286,340,0.18997423280961812,0.11119999999999997,0.3123943329555914,0,0,51,0.2777777777777778,0.3333333333333333,0.4919922351837158
PU-C,0,0.4,0.3,100,100,2100,900,104,254,358,0.19914505875203758,0.10709999999999997,0.4682982499944046,0,0,101,0.28846153846153844,0.3942307692307692,0.5435906648635864
PU-C,0,0.4,0.3,200,200,2100,900,204,123,327,0.1833340873126872,0.03720000000000001,0.9280512499972247,0,1,201,0.30392156862745096,0.4117647058823529,0.6580411791801453
PU-F,0,0.4,0.3,50,50,2100,900,54,262,316,0.17770396766718477,0.09640000000000004,0.41648479201830924,0,0,51,0.48148148148148145,0.5925925925925926,0.4743219316005707
PU-F,0,0.4,0.3,100,100,2100,900,104,208,312,0.17565393936820328,0.09189999999999998,0.7566079170210287,0,0,101,0.3269230769230769,0.4423076923076923,0.5246945023536682
PU-F,0,0.4,0.3,200,200,2100,900,204,102,306,0.17257611255627126,0.054400000000000004,1.6177720840205438,0,1,201,0.3284313725490196,0.4362745098039216,0.4639739990234375
PU-G,0,0.4,0.3,50,50,2100,900,54,305,359,0.19965378619963303,0.10170000000000001,0.4061402090010233,0,0,51,0.37037037037037035,0.42592592592592593,0.7978112697601318
PU-G,0,0.4,0.3,100,100,2100,900,104,187,291,0.1648664412787184,0.05920000000000003,0.6378407499869354,0,0,101,0.3173076923076923,0.4423076923076923,0.8002263307571411
