source,source_dir,condition,condition_fields,dataset,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget,target_method,baseline_method,metric,direction,n_pairs,paired_seeds,target_mean,baseline_mean,diff_mean,diff_se,diff_ci95_low,diff_ci95_high,relative_change_percent,target_win_rate,target_loss_rate,target_tie_rate,target_better_all_pairs,target_better_ci95,baseline_better_ci95
/rds/general/user/yw6822/home/CertifAI/results/PU-R/FashionMNIST/extensions_v2/pu_r_vol/volume_gap_noise_0p1_aug16/results.csv,/rds/general/user/yw6822/home/CertifAI/results/PU-R/FashionMNIST/extensions_v2/pu_r_vol/volume_gap_noise_0p1_aug16,"dataset=volume_gap_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, pretrain_training_mode=warm_start, es_budget=100","dataset,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget",volume_gap_fashion_mnist,0.1,0.0,warm_start,100,PU-R-Vol,PU-R,test_inappropriate_risk,lower,5,0 1 2 3 4,0.4202,0.4568499999999999,-0.036649999999999995,0.02811789910359591,-0.11470528791158224,0.041405287911582246,-8.02232680310824,0.8,0.2,0.0,0,0,0
/rds/general/user/yw6822/home/CertifAI/results/PU-R/FashionMNIST/extensions_v2/pu_r_vol/volume_gap_noise_0p1_aug16/results.csv,/rds/general/user/yw6822/home/CertifAI/results/PU-R/FashionMNIST/extensions_v2/pu_r_vol/volume_gap_noise_0p1_aug16,"dataset=volume_gap_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, pretrain_training_mode=warm_start, es_budget=100","dataset,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget",volume_gap_fashion_mnist,0.1,0.0,warm_start,100,PU-R-Vol,PU-R,certified_bound,lower,5,0 1 2 3 4,0.5558504263521172,0.5514016336528584,0.004448792699258774,0.038365719380298306,-0.10205444430044933,0.11095202969896686,0.8068152917478596,0.4,0.6,0.0,0,0,0
/rds/general/user/yw6822/home/CertifAI/results/PU-R/FashionMNIST/extensions_v2/pu_r_vol/volume_gap_noise_0p1_aug16/results.csv,/rds/general/user/yw6822/home/CertifAI/results/PU-R/FashionMNIST/extensions_v2/pu_r_vol/volume_gap_noise_0p1_aug16,"dataset=volume_gap_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, pretrain_training_mode=warm_start, es_budget=100","dataset,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget",volume_gap_fashion_mnist,0.1,0.0,warm_start,100,PU-R-Vol,PU-R,effective_compression_size,lower,5,0 1 2 3 4,2650.2,2627.8,22.4,191.40966537769194,-508.95323108847276,553.7532310884727,0.8524240809802877,0.4,0.6,0.0,0,0,0
/rds/general/user/yw6822/home/CertifAI/results/PU-R/FashionMNIST/extensions_v2/pu_r_vol/volume_gap_noise_0p1_aug16/results.csv,/rds/general/user/yw6822/home/CertifAI/results/PU-R/FashionMNIST/extensions_v2/pu_r_vol/volume_gap_noise_0p1_aug16,"dataset=volume_gap_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, pretrain_training_mode=warm_start, es_budget=100","dataset,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget",volume_gap_fashion_mnist,0.1,0.0,warm_start,100,PU-R-Vol,PU-R,noise_hit_rate,lower,5,0 1 2 3 4,0.3403846153846154,0.3480769230769231,-0.007692307692307698,0.011538461538461523,-0.03972307692307689,0.02433846153846149,-2.209944751381217,0.6,0.4,0.0,0,0,0
/rds/general/user/yw6822/home/CertifAI/results/PU-R/FashionMNIST/extensions_v2/pu_r_vol/volume_gap_noise_0p1_aug16/results.csv,/rds/general/user/yw6822/home/CertifAI/results/PU-R/FashionMNIST/extensions_v2/pu_r_vol/volume_gap_noise_0p1_aug16,"dataset=volume_gap_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, pretrain_training_mode=warm_start, es_budget=100","dataset,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget",volume_gap_fashion_mnist,0.1,0.0,warm_start,100,PU-R-Vol,PU-R,duplicate_hit_rate,lower,5,0 1 2 3 4,0.4788461538461538,0.46153846153846156,0.0173076923076923,0.030008627950629297,-0.06599625888325462,0.10061164349863923,3.7499999999999987,0.4,0.6,0.0,0,0,0
/rds/general/user/yw6822/home/CertifAI/results/PU-R/FashionMNIST/extensions_v2/pu_r_vol/volume_gap_noise_0p1_aug16/results.csv,/rds/general/user/yw6822/home/CertifAI/results/PU-R/FashionMNIST/extensions_v2/pu_r_vol/volume_gap_noise_0p1_aug16,"dataset=volume_gap_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, pretrain_training_mode=warm_start, es_budget=100","dataset,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget",volume_gap_fashion_mnist,0.1,0.0,warm_start,100,PU-R-Vol,PU-R,group_revisit_rate,lower,5,0 1 2 3 4,0.21153846153846154,0.19230769230769235,0.01923076923076923,0.04550830602384319,-0.10710028829141945,0.1455618267529579,9.999999999999996,0.4,0.6,0.0,0,0,0
/rds/general/user/yw6822/home/CertifAI/results/PU-R/FashionMNIST/extensions_v2/pu_r_vol/volume_gap_noise_0p1_aug16/results.csv,/rds/general/user/yw6822/home/CertifAI/results/PU-R/FashionMNIST/extensions_v2/pu_r_vol/volume_gap_noise_0p1_aug16,"dataset=volume_gap_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, pretrain_training_mode=warm_start, es_budget=100","dataset,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget",volume_gap_fashion_mnist,0.1,0.0,warm_start,100,PU-R-Vol,PU-R,unique_group_fraction,higher,5,0 1 2 3 4,0.7884615384615385,0.8076923076923077,-0.01923076923076923,0.04550830602384319,-0.1455618267529579,0.10710028829141945,-2.3809523809523805,0.4,0.6,0.0,0,0,0
/rds/general/user/yw6822/home/CertifAI/results/PU-R/FashionMNIST/extensions_v2/pu_r_vol/volume_gap_noise_0p1_aug16/results.csv,/rds/general/user/yw6822/home/CertifAI/results/PU-R/FashionMNIST/extensions_v2/pu_r_vol/volume_gap_noise_0p1_aug16,"dataset=volume_gap_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, pretrain_training_mode=warm_start, es_budget=100","dataset,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget",volume_gap_fashion_mnist,0.1,0.0,warm_start,100,PU-R-Vol,PU-R,mode_entropy,higher,5,0 1 2 3 4,0.9815350992631519,0.9851149412023563,-0.0035798419392044424,0.005281504552834787,-0.01824129857787381,0.011081614699464925,-0.3633933249286789,0.4,0.6,0.0,0,0,0
/rds/general/user/yw6822/home/CertifAI/results/PU-R/FashionMNIST/extensions_v2/pu_r_vol/volume_gap_noise_0p1_aug16/results.csv,/rds/general/user/yw6822/home/CertifAI/results/PU-R/FashionMNIST/extensions_v2/pu_r_vol/volume_gap_noise_0p1_aug16,"dataset=volume_gap_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, pretrain_training_mode=warm_start, es_budget=100","dataset,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget",volume_gap_fashion_mnist,0.1,0.0,warm_start,100,PU-R-Vol,PU-R,spectral_entropy,higher,5,0 1 2 3 4,0.24925505610390317,0.2571841663036583,-0.007929110199755196,0.009085070072205924,-0.03314926472019884,0.017291044320688446,-3.083047573929285,0.2,0.8,0.0,0,0,0
/rds/general/user/yw6822/home/CertifAI/results/PU-R/FashionMNIST/extensions_v2/pu_r_vol/volume_gap_noise_0p1_aug16/results.csv,/rds/general/user/yw6822/home/CertifAI/results/PU-R/FashionMNIST/extensions_v2/pu_r_vol/volume_gap_noise_0p1_aug16,"dataset=volume_gap_fashion_mnist, noise_rate=0.1, pretrain_fraction=0.0, pretrain_training_mode=warm_start, es_budget=100","dataset,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget",volume_gap_fashion_mnist,0.1,0.0,warm_start,100,PU-R-Vol,PU-R,runtime_sec,lower,5,0 1 2 3 4,2.461433188803494,2.3741268878104167,0.08730630099307746,0.01848686194156294,0.03598677224329874,0.13862582974285617,3.6774066896482243,0.0,1.0,0.0,0,0,1
