dataset,method,noise_rate,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se
mnist,Marginal,0.0,3,800.0,0.0,94.0,3.0550504633038935,894.0,3.0550504633038935,0.1981315852026455,0.0006382863974711382,0.04786666666666665,0.0005811865258054271,0.29353981157022596,0.002914615951751958,0.018836666666666634,0.000611265717816554,0.0996695617585198,0.001193346830908845,545.069542132102,5.726583210284343,12.287049236629779,0.10925439237299998,0.0,0.0,797.0,0.0,0.0,0.0,0.0,0.0,0.5603977839152018,0.0023942951947620084
mnist,Marginal,0.1,3,800.0,0.0,660.3333333333334,31.42362875997049,1460.3333333333333,31.42362875997049,0.31527216827574495,0.0064426008189673424,0.09073333333333333,0.010535706483720543,0.49978115545547963,0.007019347121519573,0.13219733333333336,0.006293007477439626,0.2660665582076196,0.007929322887479839,560.2441304892982,7.84639380212546,13.347290675388649,0.09309545542500715,0.0,0.0,797.0,0.0,0.1025,0.010777097630314637,0.0,0.0,0.5624003807703654,0.0015756603430083199
mnist,Marginal,0.2,3,800.0,0.0,1263.6666666666667,73.48998420041862,2063.6666666666665,73.48998420041862,0.43809568918853375,0.014850797343733372,0.16886666666666664,0.02816228762803983,0.6471199640413839,0.016841593197353358,0.25266533333333335,0.0147269046457307,0.40768625253347074,0.016223279508045724,585.3522342194719,9.874322485132911,14.186595972782621,0.18267938975766193,0.0,0.0,797.0,0.0,0.19833333333333333,0.0046398036356916795,0.0,0.0,0.5680009126663208,0.001105175629252072
mnist,Marginal,0.3,3,800.0,0.0,1586.6666666666667,22.48209163855633,2386.6666666666665,22.482091638556334,0.5032113199704327,0.00451455672773452,0.2192333333333333,0.011124197848733964,0.7107012860771089,0.00221984623300455,0.31746666666666673,0.0044684485500500375,0.4778067112862807,0.004697876756995573,585.2884090927595,13.339192242143264,14.640284209356954,0.02239449003019997,0.0,0.0,797.0,0.0,0.2866666666666667,0.006859199013814301,0.0,0.0,0.5708898305892944,0.0009741301158198019
mnist,Marginal,0.4,3,800.0,0.0,1954.6666666666667,31.125195224733574,2754.6666666666665,31.12519522473358,0.5768365556141362,0.006202305896925833,0.38233333333333336,0.026010019436961414,0.7812304052562462,0.0031820700827091043,0.3910753333333334,0.006266568048869415,0.5533303061071547,0.006266434153842747,632.1805763311178,26.089195319313454,15.278057002074396,0.0845509463710025,0.0,0.0,797.0,0.0,0.4025,0.012520816001097269,0.0,0.0,0.5668462713559469,0.0010422022921180165
mnist,MaxLoss,0.0,3,474.6666666666667,6.11918658356194,0.0,0.0,474.6666666666667,6.11918658356194,0.10955384266950811,0.001310794703705204,0.045399999999999996,0.000568624070307732,0.22845434573302983,0.0008499258011620823,0.0005966666666666582,2.3701851779507823e-05,0.054752874631221415,0.00010338538797864743,560.3009898271621,4.898043956487575,7.718062086651723,1.09831249748565,1.0,0.0,471.6666666666667,6.11918658356194,0.0,0.0,0.0,0.0,0.5750177899996439,0.0019378192727908992
mnist,MaxLoss,0.1,3,800.0,0.0,953.3333333333334,58.95007303736876,1753.3333333333333,58.950073037368774,0.3751327385737871,0.012002473737784132,0.26763333333333333,0.017697488836304173,0.6309780362280368,0.013019782704616375,0.18900933333333336,0.011658737743760148,0.3351358002440799,0.013724521992209032,890.0525218357011,12.215978891881988,11.117874540776635,0.1132869972810052,0.0,0.0,797.0,0.0,0.34541666666666665,0.005416666666666664,0.0,0.0,0.56516565879186,0.0035279159427405267
mnist,MaxLoss,0.2,3,800.0,0.0,1432.6666666666667,30.644919825496544,2232.6666666666665,30.644919825496544,0.4722289767038698,0.006175185923117727,0.35883333333333334,0.009431566383398085,0.7288228449340975,0.0075987074453255045,0.2857,0.006593202661327301,0.4439422232382035,0.0071106705769588595,888.5838676636655,13.954547005884454,10.93834881298244,0.015645669386509083,0.0,0.0,797.0,0.0,0.4054166666666667,0.005416666666666663,0.0,0.0,0.5640658537546793,0.0032415950086278934
mnist,MaxLoss,0.3,3,800.0,0.0,1614.3333333333333,26.35863763129229,2414.3333333333335,26.35863763129229,0.508765717735514,0.00529238590633753,0.38899999999999996,0.009996165931662656,0.7577685813173973,0.003399839359643795,0.32114400000000004,0.004769201330761105,0.48167124284626234,0.005016513270183813,872.082947365921,6.8105563572279015,10.941087197667608,0.013732980059171241,0.0,0.0,797.0,0.0,0.4375,0.006959705453537518,0.0,0.0,0.5674805641174316,0.0007231583738146162
mnist,MaxLoss,0.4,3,800.0,0.0,1796.6666666666667,15.62405552701062,2596.6666666666665,15.62405552701062,0.5452979770100986,0.0031245759209325413,0.45536666666666664,0.013249696013284415,0.7901470102004732,0.003169679973504659,0.35885133333333336,0.002984416488658708,0.520753755363233,0.003051547286651885,885.1411714689326,11.107405261793353,10.948408256362503,0.007108386091303721,0.0,0.0,797.0,0.0,0.47708333333333336,0.0022047927592204943,0.0,0.0,0.5691689848899841,0.002832642281124882
