method,dataset,seed,noise_rate,pretrain_fraction,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,test_error,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,runtime_sec,stop_reached,train_calls,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine
Marginal,mnist,1,0.1,0.0,5000,0,800,619,1419,0.3067956283921376,0.08919999999999995,0.4914007682532401,0.12392400000000003,0.2556102322852928,574.0604224809113,13.485160480020568,0,797,0.08875,0.0,0.5631827712059021
MaxLoss,mnist,1,0.2,0.0,5000,0,800,1484,2284,0.4825708902790211,0.37760000000000005,0.7428154572147564,0.296972,0.45608005235774607,916.3662990098247,10.917546740034595,0,797,0.415,0.0,0.5591408014297485
PU-R,mnist,1,0.2,0.0,5000,0,800,1249,2049,0.43515268131159246,0.21089999999999998,0.650832816132379,0.249962,0.40488918547714653,617.3699497089773,72.11643550917506,0,797,0.27375,0.0,0.5575237274169922
PU-C,mnist,1,0.2,0.0,5000,0,800,1144,1944,0.4138886272558011,0.16449999999999998,0.6281040261701085,0.228578,0.3809308570737152,616.5980722805474,24.427284844918177,0,797,0.24875,0.0,0.5544599890708923
Marginal,mnist,1,0.2,0.0,5000,0,800,1172,1972,0.41956379491603,0.13029999999999997,0.6265912569839325,0.23423800000000003,0.3873165530649593,577.0255285874335,13.917417018208653,0,797,0.195,0.0,0.5681015253067017
MaxLoss,mnist,1,0.3,0.0,5000,0,800,1562,2362,0.4982579108327627,0.3721,0.7509972712174274,0.31163399999999997,0.4716677873142096,881.9881551876641,10.965973835904151,0,797,0.4325,0.0,0.5661097168922424
PU-R,mnist,1,0.3,0.0,5000,0,800,1516,2316,0.4890096883755177,0.2471,0.7051085727921853,0.303356,0.46288806872389376,627.8849885059154,74.5005437079817,0,797,0.3525,0.0,0.5635032057762146
PU-C,mnist,1,0.3,0.0,5000,0,800,1575,2375,0.5008699274621904,0.25960000000000005,0.7132930573187537,0.314314,0.47449876035992195,616.573134058961,27.272275727940723,0,797,0.33,0.0,0.5618629455566406
Marginal,mnist,1,0.3,0.0,5000,0,800,1558,2358,0.49745407060254365,0.2098,0.7066483735924006,0.31192800000000004,0.471978620941454,591.0060517069588,14.635414724936709,0,797,0.28625,0.0,0.5690711736679077
MaxLoss,mnist,1,0.4,0.0,5000,0,800,1767,2567,0.5393648255849257,0.45709999999999995,0.7865550992798314,0.3538339999999999,0.5156202227942817,887.7068656256672,10.934621951077133,0,797,0.47375,0.0,0.567760169506073
