dataset,method,noise_rate,pretrain_fraction,pretrain_training_mode,budget,n,noise_hit_rate_mean,noise_hit_rate_std,duplicate_hit_rate_mean,duplicate_hit_rate_std,group_revisit_rate_mean,group_revisit_rate_std,unique_group_fraction_mean,unique_group_fraction_std
manifold_group_noise_fashion_mnist,GREATS,0.1,0.0,support,100,10,0.07999999999999999,0.018257418583505537,0.517,0.07273238618387272,0.23000000000000004,0.04853406592853679,0.7700000000000001,0.0485340659285368
manifold_group_noise_fashion_mnist,GREATS,0.1,0.0,support,200,10,0.077,0.009189365834726815,0.48200000000000004,0.033349995835415376,0.2875,0.027003086243366083,0.7125000000000001,0.02700308624336608
manifold_group_noise_fashion_mnist,GREATS,0.1,0.0,support,50,10,0.086,0.029888682361946528,0.5120000000000001,0.08804039476916894,0.13000000000000003,0.04346134936801766,0.8700000000000001,0.043461349368017675
manifold_group_noise_fashion_mnist,MaxLoss,0.1,0.0,support,100,10,0.06500000000000002,0.02460803843372233,0.41100000000000003,0.08761658899242007,0.195,0.07501851623284599,0.805,0.07501851623284599
manifold_group_noise_fashion_mnist,MaxLoss,0.1,0.0,support,200,10,0.07849999999999999,0.01856669658884483,0.43800000000000006,0.07063993204979746,0.265,0.060507116202237816,0.7350000000000001,0.06050711620223784
manifold_group_noise_fashion_mnist,MaxLoss,0.1,0.0,support,50,10,0.07200000000000001,0.0214993539954628,0.41000000000000003,0.10165300454651272,0.14,0.07542472332656507,0.86,0.0754247233265651
manifold_group_noise_fashion_mnist,PU-R,0.1,0.0,support,100,10,0.057999999999999996,0.02529822128134703,0.446,0.04623610902506587,0.199,0.04148627617792553,0.8009999999999999,0.04148627617792552
manifold_group_noise_fashion_mnist,PU-R,0.1,0.0,support,200,10,0.05450000000000001,0.011413929112175954,0.44400000000000006,0.04181971890016585,0.2655,0.038833690985477495,0.7344999999999999,0.0388336909854775
manifold_group_noise_fashion_mnist,PU-R,0.1,0.0,support,50,10,0.062,0.033266599866332396,0.434,0.0639791632747204,0.11200000000000002,0.04237399621885521,0.8879999999999999,0.04237399621885522
manifold_group_noise_fashion_mnist,PU-R-Manifold,0.1,0.0,support,100,10,0.046,0.020110804171997808,0.44799999999999995,0.04685675570881488,0.189,0.029230881691191663,0.8109999999999999,0.029230881691191646
manifold_group_noise_fashion_mnist,PU-R-Manifold,0.1,0.0,support,200,10,0.0475,0.014191155304938667,0.433,0.04589843860815601,0.2525,0.02700308624336608,0.7474999999999999,0.027003086243366108
manifold_group_noise_fashion_mnist,PU-R-Manifold,0.1,0.0,support,50,10,0.05,0.03162277660168379,0.44400000000000006,0.06915361322607966,0.11600000000000002,0.04087922591134904,0.884,0.040879225911349064
