dataset,method,variant,sweep_name,sweep_value,noise_rate,pretrain_fraction,pretrain_training_mode,es_budget,n,step_mean,step_se,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,test_inappropriate_risk_mean,test_inappropriate_risk_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se,mean_support_redundancy_mean,mean_support_redundancy_se,max_support_redundancy_mean,max_support_redundancy_se,mean_selected_residual_novelty_mean,mean_selected_residual_novelty_se,local_redundancy_hit_rate_mean,local_redundancy_hit_rate_se,residual_redundancy_hit_rate_mean,residual_redundancy_hit_rate_se,strong_redundancy_hit_rate_mean,strong_redundancy_hit_rate_se,group_revisit_rate_mean,group_revisit_rate_se,unique_group_fraction_mean,unique_group_fraction_se,max_group_selection_fraction_mean,max_group_selection_fraction_se,mode_entropy_mean,mode_entropy_se,minority_mode_fraction_mean,minority_mode_fraction_se,spectral_entropy_mean,spectral_entropy_se,dynamic_mu_mean,dynamic_mu_se,dynamic_redundancy_weight_mean,dynamic_redundancy_weight_se,mu_mean,mu_se,global_redundancy_weight_mean,global_redundancy_weight_se,residual_rank_mean,residual_rank_se,gamma_value_mean,gamma_value_se
boundary_duplicate_fashion_mnist,PU-R,lambda=0,global_redundancy_weight,0.0,0.3,0.3,support,100,3,100.0,0.0,104.0,0.0,1274.0,26.950572040929547,1378.0,26.950572040929547,0.4234164354663032,0.007814411191788587,0.28525,0.005795112883571217,0.28525,0.005795112883571241,,,,,,,,,1.9765721910322707,0.020825802676798455,0.0,0.0,0.0,0.0,101.0,0.0,0.8365384615384616,0.005551444896054107,0.8525641025641025,0.013970829947245763,0.7429457902908325,0.005931995787026275,0.7429457902908325,0.005931995787026275,0.9978760679562887,0.001382207157585544,0.07673515885779002,0.0004706297069404664,0.8220064724919093,0.006472491909385111,0.8349514563106796,0.011210684838633505,0.8090614886731391,0.006472491909385111,0.9807692307692307,0.0,0.019230769230769232,0.0,0.8525641025641025,0.013970829947245763,0.6011574046334167,0.03509358046037335,0.14743589743589744,0.01397082994724575,0.25727393535590415,0.0031510871992908476,1.3713630323220478,0.0015755435996454435,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0
boundary_duplicate_fashion_mnist,PU-R,lambda=0,global_redundancy_weight,0.0,0.3,0.3,support,200,3,200.0,0.0,204.0,0.0,1299.6666666666667,7.859884081701065,1503.6666666666667,7.859884081701065,0.4597930544017193,0.0022693534413895946,0.34508333333333335,0.005560900206900961,0.34508333333333335,0.0055609002069009475,,,,,,,,,5.570293371682055,0.03445317286588406,0.0,0.0,1.0,0.0,201.0,0.0,0.7892156862745098,0.009803921568627453,0.8251633986928105,0.0016339869281046067,0.79505987962087,0.003849862057876206,0.79505987962087,0.003849862057876206,0.997117817401886,0.0018452723996035924,0.05462536886212078,0.0010030421665992073,0.7799671592775042,0.019359320398278496,0.9047619047619048,0.0016420361247947435,0.7783251231527094,0.020509024625282105,0.9901960784313726,0.0,0.00980392156862745,0.0,0.8251633986928105,0.0016339869281046067,0.6686234065429452,0.0036714105326928577,0.17483660130718956,0.0016339869281045785,0.2288310930746529,0.004074060316389546,1.3855844534626736,0.0020370301581947503,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0
boundary_duplicate_fashion_mnist,PU-R,lambda=0,global_redundancy_weight,0.0,0.3,0.3,support,50,3,50.0,0.0,54.0,0.0,1339.3333333333333,21.4035303422382,1393.3333333333333,21.4035303422382,0.42786585529878113,0.006207342623757243,0.32883333333333337,0.014684411613832025,0.32883333333333337,0.014684411613832016,,,,,,,,,0.8420547190277526,0.011450373819724784,0.0,0.0,0.0,0.0,51.0,0.0,0.8024691358024691,0.022256489354715976,0.8209876543209876,0.022256489354715987,0.7219537496566772,0.003077948154958779,0.7219537496566772,0.003077948154958779,0.9972965717315674,0.0008163184787750152,0.10939462192403444,0.0013897661782405926,0.7232704402515723,0.006289308176100628,0.710691823899371,0.012578616352201257,0.710691823899371,0.012578616352201257,0.9629629629629629,0.0,0.037037037037037035,0.0,0.8209876543209876,0.022256489354715987,0.6731378349301317,0.04733714980097212,0.17901234567901234,0.02225648935471598,0.2837793318433656,0.002948228348565752,1.3581103340783172,0.001474114174282916,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.6931471805599453,0.0
boundary_duplicate_fashion_mnist,PU-R,lambda=0.5,global_redundancy_weight,0.5,0.3,0.3,support,100,3,100.0,0.0,104.0,0.0,1275.6666666666667,22.585639488646567,1379.6666666666667,22.585639488646567,0.42390218179207295,0.006548866531203387,0.28391666666666665,0.005405115889393843,0.28391666666666665,0.005405115889393843,,,,,,,,,1.9677939229877666,0.02015900841160223,0.0,0.0,0.0,0.0,101.0,0.0,0.8205128205128206,0.006410256410256388,0.8461538461538461,0.014687742612037959,0.7379841009775797,0.006227615783115828,0.7379841009775797,0.006227615783115828,0.9978681008021036,0.0013763494920450232,0.08336236764312177,0.0005445061342702983,0.7637540453074433,0.008562301977555305,0.802588996763754,0.0032362459546925555,0.7637540453074433,0.008562301977555305,0.9807692307692307,0.0,0.019230769230769232,0.0,0.8461538461538461,0.014687742612037959,0.6169288208194489,0.03723623029286084,0.15384615384615385,0.014687742612037948,0.26543685134451644,0.0025098822919481997,1.3672815743277418,0.0012549411459740814,0.6836407871638709,0.0006274705729870407,1.0,0.0,0.5,0.0,0.0,0.0,0.6931471805599453,0.0
boundary_duplicate_fashion_mnist,PU-R,lambda=0.5,global_redundancy_weight,0.5,0.3,0.3,support,200,3,200.0,0.0,204.0,0.0,1279.0,2.6457513110645907,1483.0,2.6457513110645907,0.45382374959687394,0.0007645665448563549,0.3373333333333333,0.009090211463131326,0.3373333333333333,0.009090211463131345,,,,,,,,,5.562715573003516,0.04464801151340087,0.0,0.0,1.0,0.0,201.0,0.0,0.7712418300653594,0.011437908496732024,0.8137254901960785,0.0028301483783805086,0.7924972971280416,0.0031954343146399634,0.7924972971280416,0.0031954343146399634,0.9969459970792135,0.002000285170741788,0.05789155766294507,0.000880851429968604,0.7471264367816092,0.012824712111505163,0.8850574712643678,0.0043444192299911125,0.7438423645320197,0.013033257689973337,0.9901960784313726,0.0,0.00980392156862745,0.0,0.8137254901960785,0.0028301483783805086,0.6935363969190922,0.006020609704797453,0.18627450980392157,0.0028301483783805164,0.2323939238501641,0.0038729621920643434,1.3838030380749178,0.001936481096032127,0.6919015190374589,0.0009682405480160635,1.0,0.0,0.5,0.0,0.0,0.0,0.6931471805599453,0.0
boundary_duplicate_fashion_mnist,PU-R,lambda=0.5,global_redundancy_weight,0.5,0.3,0.3,support,50,3,50.0,0.0,54.0,0.0,1339.0,20.81665999466133,1393.0,20.81665999466133,0.42776948341634125,0.00603661132780903,0.32875,0.01453515852453401,0.32875000000000004,0.014535158524533992,,,,,,,,,0.8306392593076453,0.010304140303024486,0.0,0.0,0.0,0.0,51.0,0.0,0.7839506172839507,0.01234567901234566,0.8271604938271605,0.02690678360210292,0.7123510440190634,0.002627906897260257,0.7123510440190634,0.002627906897260257,0.9947954217592875,0.0031833357045081994,0.11966990562354994,0.002081139381771044,0.6666666666666666,0.016639945352607485,0.6666666666666666,0.016639945352607485,0.660377358490566,0.018867924528301883,0.9629629629629629,0.0,0.037037037037037035,0.0,0.8271604938271605,0.02690678360210292,0.6568828318151342,0.06007977024614266,0.1728395061728395,0.026906783602102923,0.2978528182703328,0.002076045724802985,1.3510735908648337,0.001038022862401513,0.6755367954324168,0.0005190114312007565,1.0,0.0,0.5,0.0,0.0,0.0,0.6931471805599453,0.0
boundary_duplicate_fashion_mnist,PU-R,lambda=1,global_redundancy_weight,1.0,0.3,0.3,support,100,3,100.0,0.0,104.0,0.0,1271.6666666666667,23.680746985215176,1375.6666666666667,23.680746985215176,0.422741321012533,0.006867375731672717,0.28375,0.006226622947740904,0.28375,0.006226622947740871,,,,,,,,,1.9703987420458968,0.021235917858426847,0.0,0.0,0.0,0.0,101.0,0.0,0.8076923076923078,0.005551444896054075,0.842948717948718,0.011556254088025627,0.7323918143908182,0.003259513424791907,0.7323918143908182,0.003259513424791907,0.9979209303855896,0.0013230160795197727,0.08933221310087776,0.0020805417920300023,0.7281553398058253,0.009708737864077667,0.7766990291262136,0.014830342054873265,0.7249190938511326,0.011668450729656919,0.9807692307692307,0.0,0.019230769230769232,0.0,0.842948717948718,0.011556254088025627,0.6257277984330334,0.028608169063323242,0.15705128205128205,0.011556254088025608,0.2733826727360294,0.0008675034359121336,1.3633086636319856,0.00043375171795607454,1.3633086636319856,0.00043375171795607454,1.0,0.0,1.0,0.0,0.0,0.0,0.6931471805599453,0.0
boundary_duplicate_fashion_mnist,PU-R,lambda=1,global_redundancy_weight,1.0,0.3,0.3,support,200,3,200.0,0.0,204.0,0.0,1272.0,12.858201014657274,1476.0,12.858201014657274,0.451799050012293,0.003716978369365911,0.33641666666666664,0.008329582489203449,0.33641666666666664,0.00832958248920343,,,,,,,,,5.573701132050094,0.044997620635705206,0.0,0.0,1.0,0.0,201.0,0.0,0.7712418300653594,0.00864624611459017,0.823529411764706,0.005660296756761049,0.7892698248227438,0.004355185432047022,0.7892698248227438,0.004355185432047022,0.9970895051956177,0.0018846780205087766,0.06029694274141283,0.001176182097322542,0.7257799671592776,0.0059204454441116345,0.8784893267651889,0.0016420361247947437,0.7257799671592776,0.0059204454441116345,0.9901960784313726,0.0,0.00980392156862745,0.0,0.823529411764706,0.005660296756761049,0.6719766263846957,0.01258441797550788,0.17647058823529413,0.005660296756761041,0.2355254320620266,0.004655427011331677,1.3822372839689867,0.0023277135056657926,1.3822372839689867,0.0023277135056657926,1.0,0.0,1.0,0.0,0.0,0.0,0.6931471805599453,0.0
boundary_duplicate_fashion_mnist,PU-R,lambda=1,global_redundancy_weight,1.0,0.3,0.3,support,50,3,50.0,0.0,54.0,0.0,1337.6666666666667,20.349720172796264,1391.6666666666667,20.349720172796264,0.42738312401343137,0.005901270895863101,0.32825,0.014807092894960851,0.32825,0.014807092894960842,,,,,,,,,0.8278184990243366,0.010321273542290363,0.0,0.0,0.0,0.0,51.0,0.0,0.7654320987654321,0.016331798216448094,0.8209876543209876,0.032663596432896166,0.7023977637290955,0.0030452990410070025,0.7023977637290955,0.0030452990410070025,0.9949480493863424,0.003074224769929264,0.13018063479249584,0.004719813202856512,0.6037735849056604,0.018867924528301883,0.610062893081761,0.016639945352607485,0.6037735849056604,0.018867924528301883,0.9629629629629629,0.0,0.037037037037037035,0.0,0.8209876543209876,0.032663596432896166,0.6675713086064068,0.0697920307636102,0.17901234567901234,0.03266359643289618,0.31307989104125705,0.0062644777056631955,1.3434600544793713,0.003132238852831575,1.3434600544793713,0.003132238852831575,1.0,0.0,1.0,0.0,0.0,0.0,0.6931471805599453,0.0
boundary_duplicate_fashion_mnist,PU-R,lambda=1.5,global_redundancy_weight,1.5,0.3,0.3,support,100,3,100.0,0.0,104.0,0.0,1274.6666666666667,22.784009987513418,1378.6666666666667,22.784009987513418,0.42361202350972843,0.0066062842815551685,0.2823333333333333,0.0046933759467762326,0.2823333333333333,0.004693375946776227,,,,,,,,,1.9713108383584768,0.02146747569509036,0.0,0.0,0.0,0.0,101.0,0.0,0.794871794871795,0.008479972150848052,0.8333333333333334,0.022435897435897433,0.7267919977506002,0.0031082348497413126,0.7267919977506002,0.0031082348497413126,0.9978858033816019,0.001369284101480011,0.09508500207203492,0.0017332706868218655,0.6796116504854369,0.011210684838633505,0.7346278317152103,0.01410646907294716,0.6796116504854369,0.011210684838633505,0.9807692307692307,0.0,0.019230769230769232,0.0,0.8333333333333334,0.022435897435897433,0.6449460368302661,0.04973357147895441,0.16666666666666666,0.02243589743589744,0.28146698668855935,0.001741784286561907,1.3592665066557206,0.000870892143280928,2.0388997599835803,0.0013063382149213327,1.0,0.0,1.5,0.0,0.0,0.0,0.6931471805599453,0.0
