dataset,method,noise_rate,pretrain_fraction,n,n_cert_mean,n_cert_se,n_pretrain_mean,n_pretrain_se,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,selection_steps_mean,selection_steps_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,test_inappropriate_risk_mean,test_inappropriate_risk_se,pool_empirical_error_mean,pool_empirical_error_se,support_empirical_error_mean,support_empirical_error_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,self_selected_bound_mean,self_selected_bound_se,self_selected_bound_raw_mean,self_selected_bound_raw_se,self_selected_empirical_risk_mean,self_selected_empirical_risk_se,self_selected_initial_gap_mean,self_selected_initial_gap_se,self_selected_reciprocal_gap_mean,self_selected_reciprocal_gap_se,self_selected_total_gap_mean,self_selected_total_gap_se,self_selected_lipschitz_sample_mean,self_selected_lipschitz_sample_se,self_selected_log_cover_constant_mean,self_selected_log_cover_constant_se,self_selected_concentration_rate_constant_mean,self_selected_concentration_rate_constant_se,self_selected_data_diameter_mean,self_selected_data_diameter_se,self_selected_dimension_mean,self_selected_dimension_se,self_selected_wasserstein_p_mean,self_selected_wasserstein_p_se,ada_bound_mean,ada_bound_se,ada_bound_raw_mean,ada_bound_raw_se,ada_empirical_risk_mean,ada_empirical_risk_se,ada_alpha_mean,ada_alpha_se,ada_query_count_mean,ada_query_count_se,ada_initial_size_mean,ada_initial_size_se,ada_final_size_mean,ada_final_size_se,ada_sigma_mean,ada_sigma_se,ada_beta_mean,ada_beta_se,ada_epsilon_mean,ada_epsilon_se,ada_delta_sum_mean,ada_delta_sum_se,ada_gamma_star_mean,ada_gamma_star_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,train_calls_mean,train_calls_se,loss_eval_count_mean,loss_eval_count_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se,mean_support_redundancy_mean,mean_support_redundancy_se,max_support_redundancy_mean,max_support_redundancy_se,mean_selected_residual_novelty_mean,mean_selected_residual_novelty_se,local_redundancy_hit_rate_mean,local_redundancy_hit_rate_se,residual_redundancy_hit_rate_mean,residual_redundancy_hit_rate_se,strong_redundancy_hit_rate_mean,strong_redundancy_hit_rate_se,mode_entropy_mean,mode_entropy_se,minority_mode_fraction_mean,minority_mode_fraction_se,spectral_entropy_mean,spectral_entropy_se,dynamic_mu_mean,dynamic_mu_se
boundary_duplicate_mnist,GREATS,0.3,0.0,5,5000.0,0.0,0.0,0.0,800.0,0.0,1891.2,22.929020912372163,2691.2,22.929020912372163,796.0,0.0,,,0.43981505265861803,0.008095481728231532,0.43981505265861803,0.008095481728231527,0.38320000000000004,0.004198571185534423,0.030999999999999982,0.0037790541144577428,0.899408009282784,0.003353192803190268,0.3829216000000001,0.003991093404068617,0.6111404013747987,0.003869974104804276,1442.2999114068505,24.859299898642675,1.0,0.0,12.371323295056975,0.05692401673861041,0.030999999999999982,0.0037790541144577428,1.010064791864163,1.244949495253432e-05,11.330258503192812,0.055136906411987756,12.340323295056974,0.05514935585759779,0.9998000000000001,5.551115123125783e-17,544.120536739557,0.0,4.220126741217924e-05,4.034743804686063e-07,76.97824381109633,0.37460241737428723,785.0,0.0,1.0,0.0,1.0,0.0,1.067156242575263,0.0041985711855343985,0.38320000000000004,0.004198571185534423,0.6839562425752629,0.0,797.0,0.0,5000.0,0.0,5000.0,0.0,0.05878016072274912,3.469446951953614e-18,0.00012568600613418795,0.0,0.3076923076923077,0.0,0.36348211248317414,0.0,36.83055024935381,0.0,62.51235283538699,0.46575926025211,0.0,0.0,797.0,0.0,3664606.0,0.0,0.32249999999999995,0.009706634329158585,0.7837499999999998,0.009786789565531688,0.603043258190155,0.003514416650875139,0.603043258190155,0.003514416650875139,0.9999984264373779,5.532646840034624e-07,0.005454963365527749,9.992445709147185e-05,0.9977471839799751,0.00025031289111387967,0.997997496871089,0.0005006257822277787,0.9974968710888611,0.0003957794318108084,0.7516317846018372,0.018117450552564737,0.21625,0.00978678956553169,0.1496902674434435,0.0003344694122509285,1.425154866278278,0.00016723470612543928
boundary_duplicate_mnist,GREATS,0.3,0.1,5,4500.0,0.0,500.0,0.0,800.0,0.0,1629.8,16.466329281293994,2429.8,16.466329281293994,796.0,0.0,,,0.4686873876188031,0.010860706003222583,0.4686873876188031,0.010860706003222588,0.3692444444444445,0.0034978653102135143,0.039749999999999994,0.00413445885213532,0.9013618828310406,0.0010771425737091766,0.3692417777777778,0.0030743111162512787,0.5978293280393746,0.0030076637110670414,1431.8059912335204,37.38285280686646,1.0,0.0,13.505261411513587,0.06159757299309436,0.039749999999999994,0.00413445885213532,1.0101949527460854,1.272726042026215e-05,12.455316458767502,0.061981936955618454,13.465511411513585,0.06199466417566733,0.9997777777777778,0.0,544.120536739557,0.0,4.2379610519808884e-05,4.1381469785375163e-07,76.81658072135798,0.38226571594380215,785.0,0.0,1.0,0.0,1.0,0.0,1.068689477907382,0.0034978653102135052,0.3692444444444445,0.0034978653102135143,0.6994450334629374,0.0,797.0,0.0,4500.0,0.0,4500.0,0.0,0.05878016072274912,3.469446951953614e-18,0.00012568600613418795,0.0,0.3076923076923077,0.0,1.0601192454501767,0.0,30.443296760233448,0.0,60.40480215810239,0.433573649122302,0.0,0.0,797.0,0.0,3266106.0,0.0,0.32925,0.008202514858261454,0.8240000000000001,0.014649018738468461,0.6124049663543701,0.003738921686915038,0.6124049663543701,0.003738921686915038,0.9999993562698364,3.3046999634812144e-07,0.005735189872739944,0.00022255852044156577,0.9974968710888611,0.0,0.9979974968710887,0.00030656942963492537,0.9972465581977472,0.00025031289111390184,0.6669999447165597,0.03226939640157475,0.176,0.014649018738468455,0.1495831231168606,0.00100965895590464,1.4252084384415695,0.0005048294779523388
boundary_duplicate_mnist,GREATS,0.3,0.2,5,4000.0,0.0,1000.0,0.0,800.0,0.0,1391.4,11.587061750072793,2191.4,11.587061750072793,796.0,0.0,,,0.4716670947855124,0.007467580704076388,0.4716670947855125,0.0074675807040763854,0.35429999999999995,0.0030805843601498795,0.03225,0.0022150056433336723,0.905940013743286,0.0014667259979144478,0.35424,0.003489719544605267,0.5830144366862186,0.0034731944711970802,1448.2151721726045,18.291997076350224,1.0,0.0,14.875273806709908,0.06911262479577202,0.03225,0.0022150056433336723,1.010340873788611,1.2885397486597992e-05,13.832682932921296,0.06965141450631157,14.843023806709908,0.06966429984221073,0.99975,0.0,544.120536739557,0.0,4.256666814012726e-05,4.211140256573963e-07,76.64789109947851,0.38594349772151826,785.0,0.0,1.0,0.0,1.0,0.0,1.0906416988253516,0.003080584360149883,0.35429999999999995,0.0030805843601498795,0.7363416988253516,0.0,797.0,0.0,4000.0,0.0,4000.0,0.0,0.05878016072274912,3.469446951953614e-18,0.00012568600613418795,0.0,0.3076923076923077,0.0,2.815844622893913,0.0,24.707911786193506,0.0,58.26429426558316,0.379155435365808,0.0,0.0,797.0,0.0,2867606.0,0.0,0.31975000000000003,0.007929375763576847,0.8380000000000001,0.012378156163177131,0.6085624814033508,0.0019254401127959178,0.6085624814033508,0.0019254401127959178,0.9999960064888,1.4682597387029802e-06,0.0053941042232414586,0.00017376976503101263,0.9974968710888611,0.0003957794318108084,0.9982478097622026,0.0003065694296349253,0.9974968710888611,0.0003957794318108084,0.6358262373978338,0.02915717351761605,0.162,0.01237815616317713,0.14809894566766305,0.0009656243830511868,1.4259505271661683,0.0004828121915256024
boundary_duplicate_mnist,GREATS,0.3,0.3,5,3500.0,0.0,1500.0,0.0,800.0,0.0,1110.6,19.653498416312548,1910.6,19.653498416312548,796.0,0.0,,,0.45455946570768047,0.00893181096498481,0.4545594657076804,0.008931810964984799,0.32542857142857146,0.005477225575051647,0.0355,0.0034141250709369153,0.9024747422285131,0.0033683182233377974,0.3246902857142857,0.004985198466972198,0.5531856453731414,0.005103289130064891,1426.4856189898871,20.40799825268427,1.0,0.0,16.58173410049248,0.05456760573892097,0.0355,0.0034141250709369153,1.0105032148213395,9.39474938941522e-06,15.535730885671143,0.05690499254760883,16.54623410049248,0.05691438727261228,0.9997142857142857,0.0,544.120536739557,0.0,4.287919094894656e-05,3.1057332214295316e-07,76.36270838997113,0.2797048548166076,785.0,0.0,1.0,0.0,1.0,0.0,1.1416982285796193,0.005477225575051651,0.32542857142857146,0.005477225575051647,0.816269657151048,5.551115123125783e-17,797.0,0.0,3500.0,0.0,3500.0,0.0,0.05878016072274912,3.469446951953614e-18,1.582581761977049e-05,0.0,0.3076923076923077,0.0,6.822854508322282,4.440892098500626e-16,19.61848348221287,0.0,56.2348803922534,0.23622202504050557,0.0,0.0,797.0,0.0,2469106.0,0.0,0.3095,0.005640257086339233,0.84825,0.007165455323983259,0.6047932028770446,0.0012489585579974025,0.6047932028770446,0.0012489585579974025,0.9999977231025696,4.931001157747848e-07,0.005856160905086278,0.00012031077272521101,0.9969962453066333,0.0005006257822277816,0.997747183979975,0.00046829253902051234,0.9967459324155193,0.0007509386733416832,0.6130592637037044,0.017622723261181555,0.15175,0.007165455323983253,0.15018316845255814,0.0009919939959317295,1.4249084157737208,0.0004959969979658767
boundary_duplicate_mnist,GREATS,0.3,0.4,5,3000.0,0.0,2000.0,0.0,800.0,0.0,864.4,7.839642849007855,1664.4,7.839642849007855,796.0,0.0,,,0.4549190855381454,0.014651800674414238,0.4549190855381454,0.014651800674414238,0.2954,0.0025350871122442015,0.027249999999999996,0.0028339460121886498,0.8999987471853557,0.0026836673770277352,0.29491733333333336,0.002542825724792535,0.5223013827816059,0.002683518143649471,1381.7171435711182,18.061900463171444,1.0,0.0,18.82925251330059,0.07691518673539834,0.027249999999999996,0.0028339460121886498,1.010700543386592,1.0926756017620018e-05,17.791301969914,0.07591205005117065,18.802002513300593,0.07592297677815943,0.9996666666666666,5.551115123125783e-17,544.120536739557,0.0,4.2918221391031184e-05,3.601969831814827e-07,76.3301105299984,0.32568584248433363,785.0,0.0,1.0,0.0,1.0,0.0,1.233161336313576,0.0025350871122442205,0.2954,0.0025350871122442015,0.9377613363135762,0.0,797.0,0.0,3000.0,0.0,3000.0,0.0,0.05878016072274912,3.469446951953614e-18,0.00012568600613418795,0.0,0.46153846153846156,0.0,1.1429157756941084,0.0,20.462404694843556,0.0,54.42565331310034,0.15619375478376052,0.0,0.0,797.0,0.0,2070606.0,0.0,0.32449999999999996,0.007881941385217221,0.83925,0.006898822363273316,0.5981741786003113,0.0022755781688822765,0.5981741786003113,0.0022755781688822765,0.9999945878982544,3.3399030700373574e-06,0.0057630917690904135,0.00011787870725210822,0.9972465581977472,0.00025031289111390184,0.9979974968710887,0.00030656942963492537,0.9972465581977472,0.00025031289111390184,0.6351024347566906,0.016004436133198185,0.16075,0.006898822363273316,0.1488485781109202,0.0007944551619487836,1.42557571094454,0.0003972275809743947
boundary_duplicate_mnist,GREATS,0.3,0.5,5,2500.0,0.0,2500.0,0.0,800.0,0.0,606.4,6.946941773183362,1406.4,6.9469417731833625,796.0,0.0,,,0.43519136912406886,0.015598963550996579,0.43519136912406886,0.01559896355099659,0.25248,0.0031582273509042948,0.031000000000000007,0.0016007810593582084,0.8925153330845346,0.0025209681236402505,0.2519616,0.0030749812617315323,0.4759490754274447,0.0034076534960813896,1320.5693924029492,19.598943249357244,1.0,0.0,21.70792271357926,0.08387963333320338,0.031000000000000007,0.0016007810593582084,1.010916467347414,1.0291620981644209e-05,20.66600624623185,0.08299238872453496,21.676922713579266,0.08300268031922156,0.9996,0.0,544.120536739557,0.0,4.3550189399149536e-05,3.445370764441029e-07,75.77334252055905,0.30429733846471746,785.0,0.0,1.0,0.0,1.0,0.0,1.2431656522528685,0.0031582273509043273,0.25248,0.0031582273509042948,0.9906856522528684,0.0,797.0,0.0,2500.0,0.0,2500.0,0.0,0.11937766417144371,6.938893903907228e-18,0.00099817731491033,0.0,0.3076923076923077,0.0,0.15040538736107592,0.0,37.876397405276386,0.0,52.47616330049932,0.2616575361129202,0.0,0.0,797.0,0.0,1672106.0,0.0,0.3235,0.003566335654421775,0.8594999999999999,0.0008477912478906616,0.5986459970474243,0.000783720700055163,0.5986459970474243,0.000783720700055163,0.9999896168708802,7.054239297384942e-06,0.005937241300129249,0.0001457168145017757,0.9974968710888611,0.0003957794318108084,0.9982478097622028,0.00030656942963492537,0.9972465581977472,0.00046829253902051825,0.5855296634349721,0.0022052367664794504,0.1405,0.0008477912478906539,0.15036161288302774,0.0006285945588376615,1.4248191935584862,0.00031429727941884706
boundary_duplicate_mnist,GREATS,0.3,0.6,5,2000.0,0.0,3000.0,0.0,800.0,0.0,336.2,6.61362230551458,1136.2,6.61362230551458,796.0,0.0,,,0.4237349088106859,0.011655448891132892,0.42373490881068576,0.011655448891132894,0.17500000000000002,0.0029453352950046334,0.01725000000000001,0.002417384950726707,0.8734851788551852,0.003342869333396511,0.17483600000000002,0.0025439115550663386,0.3865663850641006,0.0031105376253403407,1300.0500490402621,19.102817929420294,1.0,0.0,25.83461847271842,0.08951755355347744,0.01725000000000001,0.002417384950726707,1.0111957813257255,9.301448393097466e-06,24.806172691392696,0.0896700107682578,25.817368472718424,0.0896793121542877,0.9995,0.0,544.120536739557,0.0,4.382353513516079e-05,3.156601952201653e-07,75.53534861455854,0.273047180954351,785.0,0.0,1.0,0.0,1.0,0.0,1.2226053156434409,0.0029453352950046317,0.17500000000000002,0.0029453352950046334,1.0476053156434408,0.0,797.0,0.0,2000.0,0.0,2000.0,0.0,0.11937766417144371,6.938893903907228e-18,0.00012568600613418795,0.0,0.3076923076923077,0.0,1.234885682521912,0.0,25.382064554997893,0.0,50.980159184336664,0.23489152982839745,0.0,0.0,797.0,0.0,1273606.0,0.0,0.31225,0.009766012492312301,0.851,0.005733672470589853,0.5890425443649292,0.0016677185220894352,0.5890425443649292,0.0016677185220894352,0.9999925494194031,5.663445032393859e-06,0.005996413958854554,0.00013742853292621985,0.997747183979975,0.00025031289111387967,0.9979974968710887,0.0005006257822277787,0.9974968710888611,0.0003957794318108084,0.6065777977556881,0.014551547521747329,0.149,0.0057336724705898574,0.15053001004842,0.0010208733450745285,1.4247349949757901,0.0005104366725372518
boundary_duplicate_mnist,GREATS,0.3,0.7,5,1500.0,0.0,3500.0,0.0,800.0,0.0,112.8,7.927168473042564,912.8,7.927168473042564,796.0,0.0,,,0.43889031595170813,0.010933367447174193,0.43889031595170824,0.01093336744717421,0.08453333333333332,0.006651315659326358,0.017500000000000005,0.0036012150727219873,0.8430654733594027,0.006343757648662323,0.08374933333333333,0.006518646621636874,0.2651328968905006,0.009599561484571428,1236.4950675098873,12.591591992236241,1.0,0.0,31.95967769245191,0.08759898468027598,0.017500000000000005,0.0036012150727219873,1.0115513543810535,7.243416878297831e-06,30.93062633807086,0.08718745692744716,31.942177692451914,0.08719470032952267,0.9993333333333332,5.551115123125783e-17,544.120536739557,0.0,4.4337284416780484e-05,2.4776118785338946e-07,75.09413215095961,0.21167584325174602,785.0,0.0,1.0,0.0,1.0,0.0,1.3354873200475468,0.006651315659326358,0.08453333333333332,0.006651315659326358,1.2509539867142137,0.0,797.0,0.0,1500.0,0.0,1500.0,0.0,0.11937766417144371,6.938893903907228e-18,0.00012568600613418795,0.0,0.46153846153846156,0.0,0.4876560556199891,0.0,21.028732967288033,0.0,48.830940891988575,0.20420208774708162,0.0,0.0,797.0,0.0,875106.0,0.0,0.31825,0.013894693231590254,0.859,0.004115519408288583,0.5812218427658081,0.0027187192828195574,0.5812218427658081,0.0027187192828195574,0.999947476387024,4.275367006059895e-05,0.005913218728048687,0.00020857978641631794,0.9967459324155195,0.0005006257822277843,0.997747183979975,0.00046829253902051234,0.9967459324155195,0.0005006257822277843,0.586448469294687,0.010718251927461245,0.14100000000000001,0.004115519408288581,0.15029106072672205,0.0005613130548275405,1.4248544696366388,0.0002806565274137553
boundary_duplicate_mnist,GREATS,0.3,0.8,5,1000.0,0.0,4000.0,0.0,659.8,9.041017641836564,0.0,0.0,659.8,9.041017641836564,655.8,9.041017641836564,,,0.42799897251477015,0.008289981722880854,0.42799897251477015,0.008289981722880849,0.004800000000000004,0.0005830951894845306,0.007313845284301923,0.000962291754752165,0.7793238124673415,0.002628025794888301,0.005148000000000005,0.000558591084783852,0.12003831873494444,0.0016732900785849897,985.43449619544,12.669795300688097,1.0,0.0,36.773680831455216,0.37581012943029485,0.007313845284301923,0.000962291754752165,1.012047360648003,5.7509542997567486e-06,35.75431962552291,0.37659175705678327,36.766366986170915,0.3765942810408408,0.999,0.0,544.120536739557,0.0,4.5260904817649635e-05,2.0184692029343855e-07,74.32267802723659,0.16578677267327185,785.0,0.0,1.0,0.0,1.0,0.0,1.5136408094062332,0.011745707045544979,0.004800000000000004,0.0005830951894845306,1.5088408094062333,0.012128292886033266,656.8,9.041017641836564,1000.0,0.0,1000.0,0.0,0.11937766417144371,6.938893903907228e-18,0.00012568600613418795,0.0,0.46153846153846156,0.0,4.175445800912093,0.18413608946170879,12.354603739620357,0.14241451213494274,30.910222191363573,1.0154438844731004,1.0,0.0,656.8,9.041017641836564,438644.6,3094.010416918469,0.2967146299331044,0.006953577133012167,0.8622891402551616,0.007982503056540618,0.5732242941856385,0.002820542993833001,0.5732242941856385,0.002820542993833001,0.9983223795890808,0.0016291991042029462,0.007705659340350508,0.0002611538948760118,0.9954128132428132,0.000736469836480806,0.9969470350170777,0.0005064045788046258,0.9954128132428132,0.000736469836480806,0.5766952241668832,0.020609557849772125,0.1377108597448383,0.007982503056540623,0.1537410857412203,0.0006374056899576619,1.4231294571293898,0.0003187028449788461
boundary_duplicate_mnist,PU-R,0.3,0.0,5,5000.0,0.0,0.0,0.0,800.0,0.0,2013.0,18.619881847100963,2813.0,18.619881847100963,796.0,0.0,0.5884558735881,0.0037064342226879317,0.3934240945286412,0.008503022292185391,0.3934240945286412,0.00850302229218539,0.4027200000000001,0.003662567405523067,0.000749999999999984,0.0004999999999999893,0.8548078885853773,0.002177589595956408,0.40264799999999995,0.003584598387546377,0.6300601908898665,0.0034069358818086108,761.1259219891083,14.686145167317008,1.0,0.0,12.341073295056974,0.05521748460296054,0.000749999999999984,0.0004999999999999893,1.010064791864163,1.244949495253432e-05,11.330258503192812,0.055136906411987756,12.340323295056974,0.05514935585759779,0.9998000000000001,5.551115123125783e-17,544.120536739557,0.0,4.220126741217924e-05,4.034743804686063e-07,76.97824381109633,0.37460241737428723,785.0,0.0,1.0,0.0,1.0,0.0,1.0866762425752627,0.003662567405523054,0.4027200000000001,0.003662567405523067,0.6839562425752629,0.0,797.0,0.0,5000.0,0.0,5000.0,0.0,0.05878016072274912,3.469446951953614e-18,0.00012568600613418795,0.0,0.3076923076923077,0.0,0.36348211248317414,0.0,36.83055024935381,0.0,106.10894477404653,0.7902926554355484,0.0,0.0,797.0,0.0,3664606.0,0.0,0.31100000000000005,0.004319288135792745,0.73325,0.009565563234854498,0.5589527726173401,0.0034755503725791307,0.5589527726173401,0.0034755503725791307,0.9975564360618592,0.0006710825794973639,0.006828596877477345,0.00016298346809035197,0.9974968710888611,0.0003957794318108084,0.9977471839799751,0.00046829253902051234,0.997246558197747,0.00046829253902051825,0.8354017303490583,0.014284751456194036,0.26674999999999993,0.009565563234854494,0.15707629450993235,0.0006070179671837908,1.421461852745034,0.00030350898359189166
