source,source_dir,condition,condition_fields,target_method,baseline_method,metric,direction,n_pairs,paired_seeds,target_mean,baseline_mean,diff_mean,diff_se,diff_ci95_low,diff_ci95_high,relative_change_percent,target_win_rate,target_loss_rate,target_tie_rate,target_better_all_pairs,target_better_ci95,baseline_better_ci95
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,MaxLoss,duplicate_hit_rate,lower,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0.34174507774936663,0.36141845201954487,-0.01967337427017826,0.006452612093746998,-0.03351422721126557,-0.0058325213290909474,-5.443378488355198,0.8,0.0,0.2,0,1,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,MaxLoss,effective_compression_size,lower,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,95.2,158.93333333333334,-63.733333333333334,38.34535629259884,-145.98412258095783,18.517455914291176,-40.100671140939596,0.6666666666666666,0.2,0.13333333333333333,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,MaxLoss,group_revisit_rate,lower,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0.010109006146062244,0.016470350131552316,-0.0063613439854900726,0.004370967423921016,-0.015737069109800654,0.003014381138820508,-38.623003971868336,0.4,0.2,0.4,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,MaxLoss,mode_entropy,higher,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0.9990598187067066,0.9984979645067316,0.0005618541999749279,0.000396813424070062,-0.0002893105946553551,0.001413018994605211,0.056269939443741354,0.4,0.4,0.2,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,MaxLoss,noise_hit_rate,lower,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0.04351273576470867,0.04733339115852777,-0.0038206553938191115,0.002216093815378889,-0.008574176627806828,0.0009328658401686059,-8.071797309056246,0.4,0.3333333333333333,0.26666666666666666,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,MaxLoss,runtime_sec,lower,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,1.036095694739682,1.1491432828673471,-0.11304758812766522,0.27055522851715663,-0.6933885532969662,0.46729337704163576,-9.837553750963798,0.2,0.8,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,MaxLoss,spectral_entropy,higher,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0.2465720185049804,0.24391678737675798,0.0026552311282224037,0.002722508709242385,-0.003184550053102513,0.00849501230954732,1.0885807232780125,0.6,0.4,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,MaxLoss,test_inappropriate_risk,lower,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0.28596666666666665,0.30715,-0.02118333333333334,0.007377227938968137,-0.037007487262419994,-0.005359179404246683,-6.896738835530959,0.7333333333333333,0.26666666666666666,0.0,0,1,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,MaxLoss,unique_group_fraction,higher,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0.9898909938539375,0.9835296498684477,0.0063613439854900795,0.0043709674239210215,-0.0030143811388205115,0.01573706910980067,0.6467872103643183,0.4,0.2,0.4,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,PU-R,certified_bound,lower,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0.025454815135647853,0.03203625819490601,-0.006581443059258163,0.009297648832390214,-0.026524899804735175,0.013362013686218848,-20.54373210259823,0.7333333333333333,0.26666666666666666,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,PU-R,duplicate_hit_rate,lower,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0.34174507774936663,0.35082012130261064,-0.009075043553243933,0.011493295140766066,-0.033728161630187145,0.015578074523699277,-2.586808168114159,0.7333333333333333,0.26666666666666666,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,PU-R,effective_compression_size,lower,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,95.2,125.33333333333333,-30.133333333333333,42.30713850231387,-120.88214542079658,60.61547875412992,-24.042553191489365,0.7333333333333333,0.26666666666666666,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,PU-R,group_revisit_rate,lower,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0.010109006146062244,0.017002998579362383,-0.006893992433300139,0.006163884411409404,-0.020115524495773307,0.0063275396291730315,-40.54574492329732,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,PU-R,mode_entropy,higher,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0.9990598187067066,0.9978363087537689,0.001223509952937659,0.0008762222505525948,-0.0006559867744976569,0.0031030066803729747,0.12261629910678849,0.3333333333333333,0.5333333333333333,0.13333333333333333,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,PU-R,noise_hit_rate,lower,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0.04351273576470867,0.0504763723885624,-0.0069636366238537365,0.002399502558231155,-0.012110569611259564,-0.0018167036364479094,-13.795834158303437,0.6,0.26666666666666666,0.13333333333333333,0,1,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,PU-R,runtime_sec,lower,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,1.036095694739682,1.0263247829241058,0.009770911815576256,0.015959937348790757,-0.024463153797579917,0.044004977428732425,0.9520292190292741,0.4666666666666667,0.5333333333333333,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,PU-R,spectral_entropy,higher,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0.2465720185049804,0.2508479243434047,-0.0042759058384243065,0.00406239617921171,-0.012989745642833426,0.004437933965984812,-1.7045809127647775,0.6,0.4,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,PU-R,test_inappropriate_risk,lower,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0.28596666666666665,0.29945,-0.013483333333333337,0.008153930788373624,-0.03097351487439476,0.004006848207728085,-4.502699393332221,0.6,0.4,0.0,0,0,0
/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support/results.csv,/Users/yi1lan/Desktop/CertifAI/results/PU-R/FashionMNIST/extensions_v4/pu_r_vol/volume_group_noise_0p1_low_support,overall_across_conditions,,PU-R-Vol,PU-R,unique_group_fraction,higher,15,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14,0.9898909938539375,0.9829970014206376,0.006893992433300126,0.006163884411409408,-0.006327539629173055,0.020115524495773307,0.701323851785596,0.3333333333333333,0.3333333333333333,0.3333333333333333,0,0,0
