method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,runtime_sec,stop_reached,hit_limit,train_calls,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,group_revisit_rate,unique_group_fraction,max_group_selection_fraction,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu,dynamic_redundancy_weight,target_method,best_metric,best_direction
PU-R,manifold_group_noise_fashion_mnist,7,0.1,0.0,support,100,100,5000,0,104,1554,1658,0.3557156634051353,2.179181983927265,0,0,101,,,,,,,0.019230769230769232,0.5,0.622681200504303,0.622681200504303,0.9895482659339905,0.04078487179567585,0.9902912621359223,0.9902912621359223,0.9902912621359223,0.2692307692307692,0.7307692307692307,0.038461538461538464,0.9688774594838879,0.009615384615384616,0.22289478054444753,0.6248486743774994,1.527407870700554,PU-R,noise_hit_rate,min
PU-R-Manifold,manifold_group_noise_fashion_mnist,3,0.1,0.0,support,100,100,5000,0,104,1051,1155,0.25238663784693927,2.5305623549502343,0,0,101,,,,,,,0.028846153846153848,0.5,0.6217669248580933,0.6217669248580933,0.9857218861579895,0.04089487805166869,0.9805825242718447,0.9611650485436893,0.9611650485436893,0.2403846153846154,0.7596153846153846,0.057692307692307696,0.9644950676509964,0.009615384615384616,0.2250096946514689,0.6243728187034195,1.5262446679416923,PU-R-Manifold,noise_hit_rate,min
