method,noise_rate,pretrain_fraction,step,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se
MaxLoss,0.0,0.0,120,2,124.0,0.0,1.5,1.4999999999999998,125.5,1.4999999999999998,0.054607726546237245,0.0005720115441363305,0.023299999999999987,0.0021999999999999797,0.3387394169694744,0.003971916972659528,0.5,0.5,0.0,0.0,121.0,0.0,0.0,0.0,0.18951612903225806,0.06048387096774194,0.8583801984786987,0.001232147216796875
MaxLoss,0.0,0.0,125,1,129.0,0.0,144.0,0.0,273.0,0.0,0.10935921070631593,0.0,0.053100000000000036,0.0,0.34552879200782627,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,0.24031007751937986,0.0,0.9150989055633545,0.0
MaxLoss,0.0,0.0,130,1,134.0,0.0,20.0,0.0,154.0,0.0,0.06540102750295773,0.0,0.020399999999999974,0.0,0.35873379197437316,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.23134328358208955,0.0,0.8036133646965027,0.0
MaxLoss,0.0,0.0,131,1,135.0,0.0,0.0,0.0,135.0,0.0,0.058221797517035156,0.0,0.006800000000000028,0.0,0.36336700001265854,0.0,1.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.22962962962962963,0.0,0.8129353523254395,0.0
MaxLoss,0.0,0.0,15,10,19.0,0.0,356.1,32.477154363576176,375.1,32.477154363576176,0.14596312139183282,0.011680452054004779,0.08818,0.007045988614492327,0.13853130429633892,0.05760517903531761,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0894736842105263,0.03143240853889283,0.7684675753116608,0.017178938400795467
MaxLoss,0.0,0.0,20,10,24.0,0.0,198.4,24.6964684834807,222.4,24.6964684834807,0.0905562098894734,0.009139503795048484,0.056920000000000005,0.00639598485162545,0.1587808334035799,0.05629677885686013,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.09166666666666666,0.0376796110173626,0.7676795959472656,0.019125835056924154
MaxLoss,0.0,0.0,25,10,29.0,0.0,268.5,25.42887684853143,297.5,25.42887684853143,0.11806345466757193,0.00923734567983846,0.06831999999999999,0.005168769464560964,0.17866714581032284,0.055050961027427514,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.1,0.0440546388430731,0.8197092890739441,0.014459951491290762
MaxLoss,0.0,0.0,30,10,34.0,0.0,160.7,29.498794702307563,194.7,29.498794702307563,0.08019980529788881,0.010865652768084415,0.04846000000000002,0.007474671304553203,0.19884734599618242,0.05370136183862587,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.10588235294117646,0.04432413551159731,0.8148769915103913,0.019138065196736602
MaxLoss,0.0,0.0,35,10,39.0,0.0,212.0,26.354421935522613,251.0,26.354421935522613,0.10107256228220649,0.009656979489915379,0.05653999999999999,0.0052184118486587674,0.22096512100542895,0.05233668867809641,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,0.10256410256410256,0.0422191078127469,0.8468104481697083,0.011124869416648862
MaxLoss,0.0,0.0,40,10,44.0,0.0,108.0,17.044386498525288,152.0,17.044386498525288,0.06442469437606632,0.006453848460321917,0.03742000000000002,0.004897001350032709,0.2422763126087375,0.050928719046633826,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.11136363636363636,0.04384132210978874,0.8334239721298218,0.014888608898641438
MaxLoss,0.0,0.0,45,10,49.0,0.0,153.7,24.20975469149207,202.7,24.20975469149207,0.08326440090313554,0.008997270836264996,0.046230000000000014,0.005095118578927613,0.2604663417965639,0.04977395796335039,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.11224489795918366,0.041518896652155454,0.859366488456726,0.008896995263531547
MaxLoss,0.0,0.0,5,10,9.0,0.0,396.9,30.675161866819145,405.9,30.675161866819145,0.1570275169739034,0.010960071142702017,0.09862000000000001,0.007948260466570305,0.09683102510753087,0.06020950951941117,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.11111111111111112,0.023424278964210215,0.6364927232265473,0.021562448105707153
MaxLoss,0.0,0.0,50,10,54.0,0.0,85.9,13.749707067586726,139.9,13.749707067586726,0.05991451505105942,0.00523858173708994,0.03478000000000001,0.004124743763085306,0.27561856250395067,0.04890897825834272,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.11111111111111112,0.03795166950355407,0.8462794542312622,0.012670502684101885
MaxLoss,0.0,0.0,55,10,59.0,0.0,124.4,20.101520119411642,183.4,20.101520119411642,0.07614729861961678,0.007550886549889787,0.04125000000000002,0.0043083704060300505,0.2877521251095459,0.04835582975930583,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.1152542372881356,0.03606980723053642,0.8589447438716888,0.009339823926763127
MaxLoss,0.0,0.0,60,10,64.0,0.0,68.5,11.674521165531562,132.5,11.674521165531562,0.05714459295850247,0.004464290269206632,0.031400000000000004,0.0035814646290154664,0.2966069042973686,0.04811732938796816,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.1171875,0.03480242473393357,0.8466521561145782,0.011873062785187216
MaxLoss,0.0,0.0,65,10,69.0,0.0,100.9,18.629397318336533,169.9,18.629397318336533,0.07113135501276702,0.007012041819625046,0.03578,0.003959708182289316,0.3041503459971864,0.04809839592676934,0.1,0.09999999999999999,0.0,0.0,66.0,0.0,0.0,0.0,0.12608695652173912,0.03490651574782633,0.8565998315811157,0.0111479318604416
MaxLoss,0.0,0.0,70,9,74.0,0.0,53.333333333333336,9.130230616534892,127.33333333333333,9.130230616534892,0.055237118426399924,0.0034877231261647135,0.02971111111111111,0.0026878556325134976,0.26404218988803524,0.0043598963822811445,0.0,0.0,0.0,0.0,71.0,0.0,0.0,0.0,0.14564564564564567,0.03644042372225705,0.8495343923568726,0.012663935977218719
MaxLoss,0.0,0.0,75,9,79.0,0.0,92.0,14.655298624653739,171.0,14.655298624653739,0.07165558948569621,0.005497817272128523,0.03456666666666667,0.002786724481058959,0.2721289862205999,0.004470524558911001,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.14767932489451474,0.03375527426160337,0.8604030741585625,0.01189258071841081
MaxLoss,0.0,0.0,80,9,84.0,0.0,41.22222222222222,7.697001179712384,125.22222222222223,7.697001179712384,0.05445411437863691,0.002932092579090832,0.02712222222222222,0.002293818854720579,0.27967971300111255,0.004621456959420761,0.0,0.0,0.0,0.0,81.0,0.0,0.0,0.0,0.15608465608465608,0.03164943416403545,0.8473070197635226,0.012286204014675029
MaxLoss,0.0,0.0,85,9,89.0,0.0,74.88888888888889,13.656952283690982,163.88888888888889,13.656952283690982,0.06900345365930763,0.005136230681843115,0.03083333333333333,0.0025664502073226834,0.2870840648861809,0.004669681143705107,0.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,0.15480649188514356,0.029118361522323596,0.8602973818778992,0.011659486275795687
MaxLoss,0.0,0.0,88,1,92.0,0.0,0.0,0.0,92.0,0.0,0.041701713809743524,0.0,0.013000000000000012,0.0,0.29602604202227667,0.0,1.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.21739130434782608,0.0,0.8276789784431458,0.0
MaxLoss,0.0,0.0,90,8,94.0,0.0,31.75,6.396846321207259,125.75,6.396846321207259,0.05467590009357082,0.0024280303363288162,0.026212500000000014,0.001548552031046146,0.2938858176203212,0.005266343078628328,0.0,0.0,0.0,0.0,91.0,0.0,0.0,0.0,0.14361702127659573,0.029887477871272248,0.850312665104866,0.011453763855406758
MaxLoss,0.0,0.0,91,1,95.0,0.0,0.0,0.0,95.0,0.0,0.04286969528766349,0.0,0.01870000000000005,0.0,0.283440958999563,0.0,1.0,0.0,0.0,0.0,92.0,0.0,0.0,0.0,0.14736842105263157,0.0,0.8514805436134338,0.0
MaxLoss,0.0,0.0,95,7,99.0,0.0,57.42857142857143,10.877799897600841,156.42857142857142,10.877799897600841,0.06626516619663951,0.004066515204064306,0.027385714285714267,0.002458457566329376,0.30514922613344553,0.005678604457176998,0.0,0.0,0.0,0.0,96.0,0.0,0.0,0.0,0.14862914862914864,0.03207230991470832,0.8642882278987339,0.013911955081864451
MaxLoss,0.4,0.0,0,10,4.0,0.0,536.8,35.404268418119045,540.8,35.404268418119045,0.20481814265949652,0.012465176717645472,0.13502,0.01379183172106672,0.0064404956006910655,0.0007363826092211991,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.15,0.040824829046386304,0.5929334819316864,0.027509018005306796
MaxLoss,0.4,0.0,10,10,14.0,0.0,533.1,54.3708357281528,547.1,54.3708357281528,0.20683302966644987,0.019021853637281396,0.13406999999999997,0.020706853669471104,0.03029339130152948,0.0034190232802156577,0.0,0.0,0.0,0.0,11.0,0.0,0.3642857142857142,0.04447986117207,0.40714285714285714,0.043967107887189015,0.6738925695419311,0.01268221677889383
MaxLoss,0.4,0.0,100,10,104.0,0.0,443.7,20.81508534159247,547.7,20.81508534159247,0.20736242880811914,0.0073262012087413845,0.11943000000000001,0.006597323531385876,0.23248876240104438,0.018531452837654606,0.0,0.0,0.0,0.0,101.0,0.0,0.3355769230769231,0.018437150023422635,0.40865384615384615,0.02382382812070273,0.7491392135620117,0.02168541185201111
MaxLoss,0.4,0.0,105,10,109.0,0.0,469.4,22.25418812019187,578.4,22.25418812019187,0.21814263552660124,0.007791530637727085,0.12644000000000002,0.006836311546115747,0.2419473247951828,0.018595566847435917,0.0,0.0,0.0,0.0,106.0,0.0,0.33302752293577986,0.016184854583974607,0.4055045871559633,0.021916174761062893,0.7566809773445129,0.013624503331468083
MaxLoss,0.4,0.0,110,10,114.0,0.0,429.4,17.23575095872272,543.4,17.23575095872272,0.20586867051315494,0.006067056550905042,0.11698,0.006232670196454949,0.25125712050357835,0.018672678575777008,0.0,0.0,0.0,0.0,111.0,0.0,0.3315789473684211,0.015626186217412148,0.40614035087719297,0.020842436710171622,0.7509520769119262,0.020441645465985887
MaxLoss,0.4,0.0,115,10,119.0,0.0,458.3,22.37113715879856,577.3,22.37113715879856,0.21775619374238886,0.007831627671401989,0.1244,0.006743622501626586,0.2605753456009552,0.01876751875587804,0.0,0.0,0.0,0.0,116.0,0.0,0.3319327731092437,0.015507686874696256,0.40756302521008403,0.01909082264581371,0.7559884250164032,0.013454233747690792
MaxLoss,0.4,0.0,120,10,124.0,0.0,416.1,20.036328117807525,540.1,20.036328117807525,0.2046920142194722,0.007059577207535927,0.11384999999999998,0.006555459980470903,0.26969752890290694,0.018783439759048295,0.0,0.0,0.0,0.0,121.0,0.0,0.3314516129032258,0.015969190043310905,0.4088709677419355,0.020225703554813634,0.7476077318191529,0.020135007087004164
MaxLoss,0.4,0.0,125,10,129.0,0.0,483.3,17.530956746408464,612.3,17.530956746408464,0.23004010833683425,0.006154823664900692,0.13561,0.006874824442202946,0.27938697081408465,0.01889584657009989,0.0,0.0,0.0,0.0,126.0,0.0,0.32945736434108525,0.015600474261626437,0.410077519379845,0.02068636440271363,0.7776392281055451,0.015529860172457765
MaxLoss,0.4,0.0,130,10,134.0,0.0,392.3,24.87749987438448,526.3,24.877499874384483,0.19980002753436565,0.008772123289566522,0.10189,0.007585533746693253,0.29245717050507664,0.01898822934658434,0.0,0.0,0.0,0.0,131.0,0.0,0.3246268656716418,0.01481092104139721,0.4074626865671641,0.02048881620096915,0.7050056099891663,0.01979073043583349
MaxLoss,0.4,0.0,135,10,139.0,0.0,406.1,30.119558060797935,545.1,30.119558060797935,0.20637467837659643,0.010635863001273739,0.11101000000000001,0.00921539111125151,0.3058948789141141,0.019095635956754276,0.0,0.0,0.0,0.0,136.0,0.0,0.32374100719424465,0.01505261853858534,0.4071942446043165,0.02043863381550361,0.6768353909254075,0.030628980034679964
MaxLoss,0.4,0.0,140,10,144.0,0.0,407.2,26.210176140829983,551.2,26.210176140829983,0.20855543834040874,0.009240590068638747,0.11181999999999999,0.007634509370832772,0.319357912306441,0.01909561982158198,0.0,0.0,0.0,0.0,141.0,0.0,0.3222222222222222,0.01570666245711794,0.40347222222222223,0.020767643349404518,0.6387647330760956,0.02366997335909225
MaxLoss,0.4,0.0,145,10,149.0,0.0,396.6,22.373198251479376,545.6,22.373198251479376,0.20661509771016426,0.007869685134456307,0.11021,0.007173120349998011,0.34090345380245707,0.019099991933938795,0.0,0.0,0.0,0.0,146.0,0.0,0.31879194630872487,0.015921434763899855,0.4020134228187919,0.020901368572029334,0.6195461690425873,0.025948907050505194
MaxLoss,0.4,0.0,15,10,19.0,0.0,619.0,101.48716393931029,638.0,101.48716393931029,0.23812307413900272,0.03469848519795035,0.16773,0.03571332166635364,0.04251957880915143,0.004914107799518105,0.0,0.0,0.0,0.0,16.0,0.0,0.3894736842105263,0.03779063022550529,0.42105263157894735,0.03762738699917055,0.7087582468986511,0.014432519169824415
MaxLoss,0.4,0.0,150,10,154.0,0.0,367.1,34.34286275519591,521.1,34.34286275519591,0.19788667036918922,0.012102753263718137,0.10133999999999999,0.00900644460619419,0.36365166649920866,0.01872746626776288,0.0,0.0,0.0,0.0,151.0,0.0,0.3155844155844156,0.015463697921637883,0.39805194805194805,0.019117590880304364,0.5834172636270523,0.025965998737712513
MaxLoss,0.4,0.0,155,10,159.0,0.0,384.2,24.54736917336221,543.2,24.54736917336221,0.20575430090539157,0.008649644054406078,0.11061000000000001,0.007587056961255352,0.3851186333107762,0.018885775253179117,0.0,0.0,0.0,0.0,156.0,0.0,0.31446540880503143,0.014645072701528705,0.3987421383647799,0.019172936461507212,0.57444167137146,0.026436211479063006
MaxLoss,0.4,0.0,160,10,164.0,0.0,347.7,46.296160147947944,511.7,46.296160147947944,0.1944131180352997,0.016362586937108372,0.09372,0.01340416021655632,0.41006415809388275,0.019402822310676478,0.0,0.0,0.0,0.0,161.0,0.0,0.31158536585365854,0.013279996930015966,0.3969512195121951,0.017257282558640126,0.5403425127267838,0.02113736755000228
MaxLoss,0.4,0.0,165,10,169.0,0.0,333.3,26.187804625648003,502.3,26.187804625648003,0.19132154700928367,0.009243595878473305,0.09647000000000001,0.008682294243650893,0.43597624160465787,0.020489743485138757,0.0,0.0,0.0,0.0,166.0,0.0,0.30650887573964497,0.012897658954060602,0.39230769230769236,0.016145884805331603,0.5408155113458634,0.01791274846244803
MaxLoss,0.4,0.0,170,10,174.0,0.0,298.2,29.161923423837763,472.2,29.161923423837763,0.18065151241607963,0.01028379244624723,0.08025999999999998,0.008332029231292401,0.46058312890236264,0.020429198535990203,0.0,0.0,0.0,0.0,171.0,0.0,0.30344827586206896,0.01252703657032323,0.3896551724137931,0.01600046974545678,0.5142764657735824,0.025559322125704224
MaxLoss,0.4,0.0,175,10,179.0,0.0,320.6,19.156200040717888,499.6,19.156200040717888,0.1904166997759603,0.006755509885756038,0.09516999999999999,0.006198800063094652,0.48805377490934915,0.021534642147060953,0.0,0.0,0.0,0.0,176.0,0.0,0.30446927374301674,0.012609427945795306,0.3905027932960894,0.015568014754954835,0.5137068063020707,0.019948908475515593
MaxLoss,0.4,0.0,180,10,184.0,0.0,328.8,25.621518733717213,512.8,25.621518733717217,0.19503236032905988,0.009045408261141703,0.08871,0.007561752442390592,0.520618787407875,0.024491422105159102,0.0,0.0,0.0,0.0,181.0,0.0,0.3048913043478261,0.012191638665500893,0.38967391304347826,0.014917903533362448,0.4765770465135574,0.010088420524131328
MaxLoss,0.4,0.0,185,10,189.0,0.0,286.2,13.37559967503015,475.2,13.37559967503015,0.18181412990088575,0.004734520457194789,0.08489000000000001,0.005771836796029499,0.5537817124044523,0.024900278604759775,0.0,0.0,0.0,0.0,186.0,0.0,0.3042328042328042,0.011652230447378432,0.3894179894179894,0.01471791608114643,0.4754874676465988,0.010971050510170863
MaxLoss,0.4,0.0,190,10,194.0,0.0,306.7,22.21313425280938,500.7,22.21313425280938,0.1907862481486518,0.007835729307258482,0.08593999999999999,0.005948206078773292,0.5840133874095045,0.025851690413369897,0.0,0.0,0.0,0.0,191.0,0.0,0.30051546391752576,0.011083473142866075,0.3865979381443299,0.014640143233086458,0.496271425485611,0.011822763065389165
MaxLoss,0.4,0.0,195,10,199.0,0.0,290.9,29.79875090596174,489.9,29.79875090596174,0.18691206878283992,0.010501630352095117,0.07922,0.008606351659610998,0.615603112312965,0.029196175378977965,0.0,0.0,0.0,0.0,196.0,0.0,0.3015075376884422,0.011211524643672704,0.39045226130653266,0.014622837360956393,0.45955878794193267,0.010606352535403913
MaxLoss,0.4,0.0,20,10,24.0,0.0,610.8,88.45611592447659,634.8,88.45611592447659,0.2372050623758696,0.030348293264039695,0.16368,0.03300629838884289,0.0549160915077664,0.006532795068511245,0.0,0.0,0.0,0.0,21.0,0.0,0.39166666666666666,0.03413390479845696,0.4166666666666667,0.03344887382997859,0.7048184096813201,0.014243634469056318
MaxLoss,0.4,0.0,200,10,204.0,0.0,213.5,21.99709576790132,417.5,21.99709576790132,0.1612634674354922,0.007822539449785611,0.053770000000000005,0.008871039648454086,0.6442543498123996,0.030798423394593964,0.0,0.0,0.0,0.0,201.0,0.0,0.30049019607843136,0.010691070459448095,0.3897058823529412,0.01450939909934009,0.4835271924734116,0.01662311584532613
MaxLoss,0.4,0.0,205,10,209.0,0.0,233.8,30.72378738227289,442.8,30.72378738227289,0.17019766377634368,0.010868352478381669,0.06351,0.009565707849744665,0.6693455831089523,0.030952636355674887,0.0,0.0,0.0,0.0,206.0,0.0,0.3028708133971292,0.01003771545617835,0.3933014354066986,0.013716108452950557,0.46851702630519865,0.010129284796283994
MaxLoss,0.4,0.0,210,10,214.0,0.0,218.7,13.860455339642424,432.7,13.860455339642424,0.1667277761560399,0.004930770440935232,0.058679999999999996,0.005771920535373535,0.6950428582029418,0.03157093005052673,0.0,0.0,0.0,0.0,211.0,0.0,0.3060747663551401,0.010220015390856232,0.39766355140186915,0.01393972219428684,0.4719605356454849,0.021140628339809838
MaxLoss,0.4,0.0,215,10,219.0,0.0,237.2,30.959041041708996,456.2,30.959041041708996,0.17495623952709138,0.01094318116983121,0.06662,0.00885886624298567,0.7220507958030794,0.03234977471569612,0.0,0.0,0.0,0.0,216.0,0.0,0.30730593607305934,0.009309545621536089,0.40228310502283104,0.013484715711892189,0.4718040883541107,0.013266554559232651
MaxLoss,0.4,0.0,220,10,224.0,0.0,217.4,21.8226182358274,441.4,21.8226182358274,0.16977529401192443,0.007730590319257315,0.056330000000000005,0.0052934771181143295,0.7486202373111155,0.03380226326408782,0.0,0.0,0.0,0.0,221.0,0.0,0.30714285714285716,0.00916840583377938,0.4040178571428571,0.012857177303745745,0.4547896146774292,0.023460513721552643
MaxLoss,0.4,0.0,225,10,229.0,0.0,242.3,33.40859836096756,471.3,33.40859836096756,0.18028273584204726,0.011820686844731615,0.06506,0.009496258912505138,0.7861140622990206,0.041919721279494185,0.0,0.0,0.0,0.0,226.0,0.0,0.3096069868995633,0.008498783450943233,0.40829694323144106,0.01232115327732721,0.45445944368839264,0.020052223287555588
MaxLoss,0.4,0.0,230,10,234.0,0.0,205.5,26.150525807333203,439.5,26.150525807333203,0.16906199118238874,0.009279178326899467,0.057700000000000015,0.007854906463832375,0.8200940914044622,0.04782643174914377,0.0,0.0,0.0,0.0,231.0,0.0,0.3102564102564103,0.008335463725542903,0.40854700854700854,0.012791991065893819,0.45272783637046815,0.02059842730677366
MaxLoss,0.4,0.0,235,10,239.0,0.0,189.0,24.72066162365221,428.0,24.72066162365221,0.1649831899732817,0.008774953840491663,0.05405000000000002,0.009167493902067482,0.8635615874140058,0.06012398964981429,0.0,0.0,0.0,0.0,236.0,0.0,0.3104602510460251,0.008127644231148378,0.4087866108786611,0.011884449312564955,0.46376103162765503,0.019257845362569033
MaxLoss,0.4,0.0,240,10,244.0,0.0,205.7,33.112619279597254,449.7,33.112619279597254,0.17262530671432613,0.011709453722415868,0.05642000000000001,0.009836008675609565,0.8934882248053327,0.06074172507718074,0.0,0.0,0.0,0.0,241.0,0.0,0.31434426229508194,0.008036921355236462,0.41188524590163933,0.01173989381346657,0.4557863861322403,0.021162382917225896
MaxLoss,0.4,0.0,245,10,249.0,0.0,187.2,33.33593323194124,436.2,33.33593323194124,0.1678251625271514,0.011786293250733663,0.05581000000000001,0.00956828615792818,0.9239267748023849,0.06173917213732002,0.0,0.0,0.0,0.0,246.0,0.0,0.31445783132530114,0.007621121995978733,0.41365461847389556,0.010608627981878956,0.45783660709857943,0.021817814083667345
MaxLoss,0.4,0.0,25,10,29.0,0.0,548.4,35.432627775979455,577.4,35.432627775979455,0.21769248334458097,0.012421879269149439,0.14335,0.012080464027143623,0.06785420819651336,0.008688830228797727,0.0,0.0,0.0,0.0,26.0,0.0,0.40344827586206894,0.038484296650076334,0.4275862068965517,0.03853575773388554,0.7238025307655335,0.015012285666393654
MaxLoss,0.4,0.0,250,10,254.0,0.0,204.7,26.49152904441552,458.7,26.49152904441552,0.17588325431570412,0.009369428359829955,0.057469999999999986,0.008108638055253862,0.9691208123054821,0.06423849166205953,0.0,0.0,0.0,0.0,251.0,0.0,0.3177165354330708,0.00679506218687644,0.4153543307086614,0.010649345526860027,0.4637619942426682,0.02538702910462969
MaxLoss,0.4,0.0,255,10,259.0,0.0,198.4,26.40462922376386,457.4,26.404629223763855,0.17541936903144234,0.009354918005891857,0.06280000000000002,0.00777091443210586,0.9993289123056457,0.06375669013266073,0.0,0.0,0.0,0.0,256.0,0.0,0.3193050193050193,0.00718994992198889,0.4177606177606178,0.01030887227516128,0.4596580296754837,0.02555835659680001
MaxLoss,0.4,0.0,260,10,264.0,0.0,193.5,27.16871157947849,457.5,27.16871157947849,0.1754465807345696,0.009634325659253868,0.057719999999999994,0.008786198773581715,1.0300900372094475,0.06371594881551497,0.0,0.0,0.0,0.0,261.0,0.0,0.32121212121212117,0.007444142915648322,0.41969696969696973,0.010887909665308131,0.4532398521900177,0.022835869998394872
MaxLoss,0.4,0.0,265,10,269.0,0.0,194.4,19.465182591831326,463.4,19.465182591831326,0.17760165382060222,0.006886472518233131,0.06281,0.0041356297384235585,1.0617175705090631,0.06361021250256485,0.0,0.0,0.0,0.0,266.0,0.0,0.320817843866171,0.0074771622510758804,0.41933085501858736,0.010048641850167678,0.443939670920372,0.02513262007343976
MaxLoss,0.4,0.0,270,10,274.0,0.0,180.1,30.536117049232768,454.1,30.536117049232768,0.17421773012029007,0.010780862130750026,0.057289999999999994,0.00938235282029217,1.0953101164021064,0.0638397084013468,0.0,0.0,0.0,0.0,271.0,0.0,0.32007299270072986,0.007218736593258782,0.41897810218978104,0.009789975444637812,0.4471648007631302,0.02594721812125428
MaxLoss,0.4,0.0,275,10,279.0,0.0,164.3,25.85732219529143,443.3,25.85732219529143,0.1704154820588883,0.009173353776501188,0.04923999999999997,0.008263442919805814,1.1301471580925864,0.0649692306384175,0.0,0.0,0.0,0.0,276.0,0.0,0.3197132616487456,0.006754262377587849,0.4193548387096774,0.00979397922672363,0.4612951546907425,0.029409892978346695
MaxLoss,0.4,0.0,280,10,284.0,0.0,182.6,25.073757862221875,466.6,25.073757862221875,0.17869469338911587,0.008876183692596587,0.05500000000000001,0.007334984662560649,1.1604200748028233,0.06644099308307316,0.0,0.0,0.0,0.0,281.0,0.0,0.3207746478873239,0.006690140845070421,0.421830985915493,0.010188983293056671,0.45554045140743255,0.03065301157085673
MaxLoss,0.4,0.0,285,10,289.0,0.0,164.6,18.553945372585556,453.6,18.55394537258555,0.174127435189439,0.0065899069838652475,0.048160000000000015,0.006549150920369584,1.1914057331043295,0.06757581225341606,0.0,0.0,0.0,0.0,286.0,0.0,0.3217993079584775,0.007331141214334808,0.42179930795847753,0.010813110342107735,0.461918318271637,0.0258316048596602
