method,dataset,seed,noise_rate,pretrain_fraction,pretrain_training_mode,budget,step,n_cert,n_pretrain,compression_size,remaining_bad,effective_compression_size,certified_bound,runtime_sec,stop_reached,hit_limit,train_calls,test_error,test_inappropriate_risk,pac_bayes_bound,pac_bayes_empirical_risk,pac_bayes_mc_upper,pac_bayes_kl,noise_hit_rate,duplicate_hit_rate,pairwise_feature_cosine,mean_support_redundancy,max_support_redundancy,mean_selected_residual_novelty,local_redundancy_hit_rate,residual_redundancy_hit_rate,strong_redundancy_hit_rate,group_revisit_rate,unique_group_fraction,max_group_selection_fraction,mode_entropy,minority_mode_fraction,spectral_entropy,dynamic_mu,dynamic_redundancy_weight
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,3500,1500,54,1368,1422,0.4361771795665845,1.0174521169392392,0,0,51,,,,,,,0.8148148148148148,0.7407407407407407,0.7627639174461365,0.7627639174461365,0.9999972581863403,0.0711484450214314,0.8867924528301887,0.8679245283018868,0.8490566037735849,0.9629629629629629,0.037037037037037035,0.7407407407407407,0.8256265261578954,0.25925925925925924,0.2419680926844788,1.3790159536577606,1.3790159536577606
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,100,100,3500,1500,104,1311,1415,0.4341496617998928,1.7011856449535117,0,0,101,,,,,,,0.8846153846153846,0.7788461538461539,0.7506684064865112,0.7506684064865112,0.9999967217445374,0.056310904836191715,0.883495145631068,0.9029126213592233,0.883495145631068,0.9807692307692307,0.019230769230769232,0.7788461538461539,0.7622688025356509,0.22115384615384615,0.24279371546243722,1.3786031422687814,1.3786031422687814
MaxLoss,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,200,200,3500,1500,204,1370,1574,0.48007758491439745,3.6604908918961883,0,1,201,,,,,,,0.7450980392156863,0.8186274509803921,0.8149840235710144,0.8149840235710144,0.9999961853027344,0.045896296430691125,0.8226600985221675,0.9507389162561576,0.8226600985221675,0.9901960784313726,0.00980392156862745,0.8186274509803921,0.6830704823075845,0.18137254901960784,0.2120555017997173,1.3939722491001414,1.3939722491001414
GREATS,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,3500,1500,54,1392,1446,,0.9123419190291315,0,0,51,,,,,,,0.37037037037037035,0.6666666666666666,0.7397326827049255,0.7397326827049255,0.9587802886962891,0.18718915446749274,0.07547169811320754,0.1509433962264151,0.05660377358490566,0.9629629629629629,0.037037037037037035,0.6666666666666666,0.9182958340544894,0.3333333333333333,0.36358309309946096,1.3182084534502696,1.3182084534502696
GREATS,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,100,100,3500,1500,104,1328,1432,,1.981993491994217,0,0,101,,,,,,,0.3942307692307692,0.6923076923076923,0.776289701461792,0.776289701461792,0.9986393451690674,0.11825980897088653,0.1650485436893204,0.5145631067961165,0.1650485436893204,0.9807692307692307,0.019230769230769232,0.6923076923076923,0.8904916402194913,0.3076923076923077,0.29216805456811773,1.353915972715941,1.353915972715941
GREATS,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,200,200,3500,1500,204,1394,1598,,4.920408764039166,0,1,201,,,,,,,0.35294117647058826,0.7696078431372549,0.7503384351730347,0.7503384351730347,0.998228907585144,0.07012074011299997,0.4039408866995074,0.8275862068965517,0.3842364532019704,0.9901960784313726,0.00980392156862745,0.7696078431372549,0.7786942948889739,0.23039215686274508,0.2601239537799757,1.369938023110012,1.369938023110012
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,50,50,3500,1500,54,1368,1422,0.4361771795665845,0.8238417389802635,0,0,51,,,,,,,0.7962962962962963,0.8703703703703703,0.7056053876876831,0.7056053876876831,0.996968150138855,0.1255852478855061,0.5849056603773585,0.6037735849056604,0.5849056603773585,0.9629629629629629,0.037037037037037035,0.8703703703703703,0.5564215672884281,0.12962962962962962,0.304048498579196,1.347975750710402,1.347975750710402
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,100,100,3500,1500,104,1318,1422,0.4361771795665845,1.9521193959517404,0,0,101,,,,,,,0.8173076923076923,0.8269230769230769,0.7258754968643188,0.7258754968643188,0.9954508543014526,0.08528397210593362,0.7184466019417476,0.7961165048543689,0.7184466019417476,0.9807692307692307,0.019230769230769232,0.8269230769230769,0.6646953053493418,0.17307692307692307,0.271891809343039,1.3640540953284805,1.3640540953284805
PU-R,boundary_duplicate_fashion_mnist,0,0.3,0.3,support,200,200,3500,1500,204,1292,1496,0.45757957780733705,5.586971731972881,0,1,201,,,,,,,0.7745098039215687,0.8333333333333334,0.7978479862213135,0.7978479862213135,0.9935411214828491,0.05824957428307369,0.729064039408867,0.8817733990147784,0.729064039408867,0.9901960784313726,0.00980392156862745,0.8333333333333334,0.6500224216483541,0.16666666666666666,0.2269024328041661,1.386548783597917,1.386548783597917
