dataset,method,noise_rate,pretrain_fraction,pretrain_training_mode,n,compression_size_mean,compression_size_se,remaining_bad_mean,remaining_bad_se,effective_compression_size_mean,effective_compression_size_se,certified_bound_mean,certified_bound_se,test_error_mean,test_error_se,test_inappropriate_risk_mean,test_inappropriate_risk_se,pac_bayes_bound_mean,pac_bayes_bound_se,pac_bayes_empirical_risk_mean,pac_bayes_empirical_risk_se,pac_bayes_mc_upper_mean,pac_bayes_mc_upper_se,pac_bayes_kl_mean,pac_bayes_kl_se,runtime_sec_mean,runtime_sec_se,stop_reached_mean,stop_reached_se,hit_limit_mean,hit_limit_se,train_calls_mean,train_calls_se,noise_hit_rate_mean,noise_hit_rate_se,duplicate_hit_rate_mean,duplicate_hit_rate_se,pairwise_feature_cosine_mean,pairwise_feature_cosine_se,mean_support_redundancy_mean,mean_support_redundancy_se,max_support_redundancy_mean,max_support_redundancy_se,mean_selected_residual_novelty_mean,mean_selected_residual_novelty_se,local_redundancy_hit_rate_mean,local_redundancy_hit_rate_se,residual_redundancy_hit_rate_mean,residual_redundancy_hit_rate_se,strong_redundancy_hit_rate_mean,strong_redundancy_hit_rate_se,mode_entropy_mean,mode_entropy_se,minority_mode_fraction_mean,minority_mode_fraction_se,spectral_entropy_mean,spectral_entropy_se,dynamic_mu_mean,dynamic_mu_se
mnist,GREATS,0.3,0.0,support,5,800.0,0.0,1667.6,20.299261070295145,2467.6,20.299261070295145,,,0.42088000000000003,0.009389217219768643,0.42088000000000003,0.009389217219768634,,,,,,,,,61.45086720401887,0.23837905676381863,0.0,0.0,,,797.0,0.0,0.442,0.005499999999999994,0.0,0.0,0.5836688637733459,0.0014421003992078321,0.5836688637733459,0.0014421003992078321,0.9906391263008117,0.0010466206650405353,0.007993121821904214,6.294019156216796e-05,0.9987484355444305,0.0,0.9982478097622026,0.00030656942963492537,0.9982478097622026,0.00030656942963492537,0.0,0.0,0.0,0.0,0.16269196177288764,0.0005018699438857192,1.4186540191135562,0.0002509349719428482
mnist,GREATS,0.3,0.1,support,5,800.0,0.0,1479.6,22.069435878608225,2279.6,22.069435878608225,,,0.29989999999999994,0.007008780207710893,0.2999,0.007008780207710897,,,,,,,,,59.35236930877436,0.14722727471281585,0.0,0.0,,,797.0,0.0,0.37575000000000003,0.004914900812834373,0.0,0.0,0.5685901880264282,0.0019032854096679066,0.5685901880264282,0.0019032854096679066,0.9901420474052429,0.00125864603934787,0.009412081522379859,8.956862538339418e-05,0.9972465581977472,0.0006131388592698778,0.997747183979975,0.00046829253902051234,0.9962453066332916,0.0006855100844870519,0.0,0.0,0.0,0.0,0.1711214528504444,0.00032152165925600077,1.414439273574778,0.00016076082962801283
mnist,GREATS,0.3,0.2,support,5,800.0,0.0,1212.6,11.556816170554933,2012.6,11.556816170554933,,,0.28628,0.006595331682334104,0.28628,0.0065953316823341105,,,,,,,,,57.72582030701451,0.1066362231050385,0.0,0.0,,,797.0,0.0,0.362,0.007401435671543734,0.0,0.0,0.5723469018936157,0.0014261539567558496,0.5723469018936157,0.0014261539567558496,0.9888735413551331,0.0011419889972255908,0.009541161859335753,0.00020033158798128767,0.9977471839799751,0.000729781213372362,0.9982478097622028,0.00030656942963492537,0.9972465581977472,0.0009197082889048183,0.0,0.0,0.0,0.0,0.17222473188967785,0.0008020721966998892,1.4138876340551612,0.00040103609834995385
mnist,GREATS,0.3,0.3,support,5,800.0,0.0,1001.0,19.977487329491662,1801.0,19.977487329491662,,,0.25982,0.0041096715197202725,0.25982000000000005,0.0041096715197202855,,,,,,,,,56.898812923394146,0.2228892638475184,0.0,0.0,,,797.0,0.0,0.35875,0.009674386285444677,0.0,0.0,0.5722527027130127,0.001400946087962014,0.5722527027130127,0.001400946087962014,0.9875869989395142,0.00032136267817170554,0.010146727008705444,0.00011149351192112963,0.9974968710888611,0.0005597166401751628,0.9984981226533167,0.00025031289111387967,0.9972465581977472,0.00046829253902051825,0.0,0.0,0.0,0.0,0.17382725039801958,0.0007490090554607008,1.4130863748009903,0.00037450452773034895
mnist,GREATS,0.3,0.4,support,5,800.0,0.0,794.2,14.012137595670405,1594.2,14.012137595670405,,,0.25936000000000003,0.007217451073613182,0.25936,0.007217451073613174,,,,,,,,,56.87232430879958,0.2697645403067156,0.0,0.0,,,797.0,0.0,0.35475,0.010242375212810746,0.0,0.0,0.5746002554893493,0.0019365851317406108,0.5746002554893493,0.0019365851317406108,0.9875722646713256,0.0009900854702341064,0.009811673863081074,0.00014676224179519497,0.9974968710888611,0.0003957794318108084,0.9984981226533167,0.0002503128911138797,0.9972465581977472,0.0006131388592698711,0.0,0.0,0.0,0.0,0.17150601190197992,0.0006000604741711197,1.41424699404901,0.00030003023708552803
mnist,GREATS,0.3,0.5,support,5,800.0,0.0,594.0,6.782329983125268,1394.0,6.782329983125268,,,0.25796,0.005632104402441424,0.25796,0.005632104402441413,,,,,,,,,57.079279004596174,0.17203796315395548,0.0,0.0,,,797.0,0.0,0.329,0.004077376607575026,0.0,0.0,0.579934561252594,0.0030691327009087304,0.579934561252594,0.0030691327009087304,0.9911649703979493,0.0016151365915648066,0.01001861023580252,0.0002993793317451743,0.9974968710888612,0.000685510084487052,0.997997496871089,0.00030656942963492537,0.9967459324155195,0.0008488523132822608,0.0,0.0,0.0,0.0,0.17079164660129892,0.001085789362704231,1.4146041766993505,0.0005428946813520997
mnist,GREATS,0.3,0.6,support,5,800.0,0.0,371.2,9.38296328459192,1171.2,9.382963284591918,,,0.25214,0.007640785299954459,0.25214,0.007640785299954449,,,,,,,,,57.02194691339973,0.13100349675294395,0.0,0.0,,,797.0,0.0,0.35225,0.00304651440173848,0.0,0.0,0.5864782929420471,0.003039105205916754,0.5864782929420471,0.003039105205916754,0.9889935255050659,0.0014627345413040045,0.010337530432247995,0.0002136151051116299,0.9979974968710887,0.0005006257822277787,0.9979974968710887,0.00030656942963492537,0.9972465581977472,0.0007297812133723657,0.0,0.0,0.0,0.0,0.17278550397514642,0.0009854852606948409,1.4136072480124269,0.0004927426303474177
mnist,GREATS,0.3,0.7,support,5,800.0,0.0,147.4,9.500526301210897,947.4,9.500526301210897,,,0.26039999999999996,0.0057556059628852295,0.2604,0.0057556059628852295,,,,,,,,,56.90397432441823,0.14399888849194703,0.0,0.0,,,797.0,0.0,0.38550000000000006,0.01069170239017155,0.0,0.0,0.5930279850959778,0.001251341247740721,0.5930279850959778,0.001251341247740721,0.991080379486084,0.0014475005795872538,0.010256214897254383,6.0342262094086484e-05,0.9967459324155193,0.0008488523132822608,0.9972465581977472,0.0007297812133723657,0.995244055068836,0.001213436760304454,0.0,0.0,0.0,0.0,0.17337022269219962,0.0005516160461592727,1.4133148886539002,0.0002758080230796192
mnist,GREATS,0.3,0.8,support,5,684.8,8.805679985100525,0.0,0.0,684.8,8.805679985100525,,,0.27371999999999996,0.0033943187829077112,0.27372,0.0033943187829076995,,,,,,,,,41.28499487598892,1.0972659837527223,1.0,0.0,,,681.8,8.805679985100525,0.41628357394645193,0.011946706343185629,0.0,0.0,0.6205026149749756,0.002081687373570051,0.6205026149749756,0.002081687373570051,0.9867676734924317,0.0011924942380505542,0.013119840553917711,0.0003791258935901027,0.9979514634345168,0.0003591757614124924,0.9979514634345168,0.0003591757614124924,0.9976516133595543,0.0006011162208380567,0.0,0.0,0.0,0.0,0.178055008705007,0.0010660316239020653,1.4109724956474963,0.0005330158119510275
mnist,MaxLoss,0.3,0.0,support,5,800.0,0.0,1659.4,18.707217858356167,2459.4,18.707217858356167,0.5178077607648447,0.0037517280370387416,0.40722,0.007256541876128065,0.40721999999999997,0.007256541876128046,,,,,,,,,47.65975391138345,0.6123312998287365,0.0,0.0,,,797.0,0.0,0.44049999999999995,0.004304793839430641,0.0,0.0,0.5675450682640075,0.0016482560096077888,0.5675450682640075,0.0016482560096077888,0.9907862424850464,0.0004571524595626011,0.007698471504187815,0.00014301566296362272,0.9984981226533167,0.00025031289111387967,0.9987484355444305,0.0,0.9984981226533167,0.00025031289111387967,0.0,0.0,0.0,0.0,0.1617688592162269,0.0009748158328065623,1.4191155703918867,0.00048740791640328223
mnist,MaxLoss,0.3,0.1,support,5,800.0,0.0,1314.6,25.1726041561059,2114.6,25.1726041561059,0.4970467639504932,0.005623856590112793,0.38494,0.00786375228501001,0.38494,0.00786375228501,,,,,,,,,47.18249055580236,0.13328020493261442,0.0,0.0,,,797.0,0.0,0.501,0.004633438248212656,0.0,0.0,0.5803740978240967,0.0015092328552545043,0.5803740978240967,0.0015092328552545043,0.9887536883354187,0.0007923731375665093,0.009195689859803537,6.390722370546698e-05,0.9979974968710887,0.00030656942963492537,0.9982478097622028,0.00030656942963492537,0.9974968710888611,0.0003957794318108084,0.0,0.0,0.0,0.0,0.16947053886302568,0.0005592829599505335,1.4152647305684873,0.00027964147997528333
mnist,MaxLoss,0.3,0.2,support,5,800.0,0.0,1041.6,27.10461215365385,1841.6,27.10461215365385,0.4890014305943623,0.006821381252747513,0.36325999999999997,0.0060471976981077685,0.36325999999999997,0.006047197698107774,,,,,,,,,47.05608856021426,0.16191545999594995,0.0,0.0,,,797.0,0.0,0.53675,0.003678484742390539,0.0,0.0,0.5878350257873535,0.002393807227557064,0.5878350257873535,0.002393807227557064,0.989421796798706,0.0017880477232508217,0.00970067448671604,0.00015555231512770867,0.9979974968710887,0.0005006257822277787,0.9984981226533167,0.00025031289111387967,0.997747183979975,0.000729781213372362,0.0,0.0,0.0,0.0,0.17070516320476473,0.0007845207976794255,1.4146474183976174,0.00039226039883971333
mnist,MaxLoss,0.3,0.3,support,5,800.0,0.0,777.6,16.06735821471595,1577.6,16.067358214715945,0.48110919022001325,0.004626377965723876,0.34774000000000005,0.0077472963025819646,0.34774000000000005,0.007747296302581948,,,,,,,,,47.76775801205076,0.0826733566594826,0.0,0.0,,,797.0,0.0,0.56075,0.008764274071479049,0.0,0.0,0.5864649176597595,0.001650534450937749,0.5864649176597595,0.001650534450937749,0.9883370637893677,0.0009746255099990164,0.009606373953505958,9.370852309317521e-05,0.9982478097622028,0.00030656942963492537,0.9984981226533165,0.00025031289111387967,0.9979974968710887,0.00030656942963492537,0.0,0.0,0.0,0.0,0.1705594516117005,0.0004422385918057992,1.4147202741941498,0.00022111929590289806
mnist,MaxLoss,0.3,0.4,support,5,800.0,0.0,535.8,6.359245238233858,1335.8,6.359245238233858,0.4778436428750865,0.00213914427237717,0.33496,0.003917473675725216,0.33496000000000004,0.003917473675725205,,,,,,,,,48.74252856022213,0.21434798451535153,0.0,0.0,,,797.0,0.0,0.5705,0.007822243923581017,0.0,0.0,0.5853551626205444,0.004629801936292704,0.5853551626205444,0.004629801936292704,0.9888356566429138,0.001333046452144739,0.009841833346860205,0.00022417394889897053,0.9979974968710887,0.0005006257822277787,0.9984981226533167,0.0002503128911138797,0.997747183979975,0.00046829253902051234,0.0,0.0,0.0,0.0,0.17151707882528228,0.0009247834444448738,1.4142414605873586,0.0004623917222224263
mnist,MaxLoss,0.3,0.5,support,5,800.0,0.0,306.4,8.54751425854324,1106.4,8.54751425854324,0.47798697677208113,0.003454227856541792,0.3083,0.008108329051043738,0.3083,0.008108329051043748,,,,,,,,,50.258751169824976,0.2088066883294207,0.0,0.0,,,797.0,0.0,0.546,0.005052845732851944,0.0,0.0,0.593520724773407,0.0038067666579603217,0.593520724773407,0.0038067666579603217,0.9898218631744384,0.0008419119776588445,0.009966338748049378,0.0001820654284089165,0.9982478097622028,0.00030656942963492537,0.9987484355444305,0.0,0.9982478097622028,0.00030656942963492537,0.0,0.0,0.0,0.0,0.17203590971670693,0.0006088717913788951,1.4139820451416465,0.00030443589568946344
mnist,MaxLoss,0.3,0.6,support,5,800.0,0.0,93.2,9.712878049270463,893.2,9.712878049270463,0.4859329320956022,0.004903164121685534,0.28884,0.004145431220030072,0.28884,0.004145431220030064,,,,,,,,,51.251651899167335,0.23269145089797905,0.0,0.0,,,797.0,0.0,0.51675,0.0026983791431153684,0.0,0.0,0.6015319585800171,0.001664467279191574,0.6015319585800171,0.001664467279191574,0.989446485042572,0.0013575608829336726,0.010089783331796583,0.00015697840836458423,0.9984981226533167,0.0002503128911138797,0.9979974968710887,0.0005006257822277787,0.9979974968710887,0.0005006257822277787,0.0,0.0,0.0,0.0,0.1715226079338076,0.0006856380764999522,1.4142386960330964,0.0003428190382499808
mnist,MaxLoss,0.3,0.7,support,5,718.4,10.717275773255066,0.0,0.0,718.4,10.717275773255066,0.5241303505492396,0.007185735768824545,0.27271999999999996,0.004138043015726161,0.27271999999999996,0.004138043015726157,,,,,,,,,41.913015455799176,1.2817280981863866,1.0,0.0,,,715.4,10.717275773255066,0.5014241656100953,0.011347712226427541,0.0,0.0,0.6160469889640808,0.0014453952452262318,0.6160469889640808,0.0014453952452262318,0.9876858949661255,0.0013765761072937167,0.011634281113729088,0.0002978086292695689,0.998027896808094,0.00037281486668134053,0.9974882673643453,0.0005299282118473059,0.9971954415956776,0.0004617230204737001,0.0,0.0,0.0,0.0,0.1740820505323123,0.0005275371091513856,1.412958974733844,0.00026376855457568713
mnist,MaxLoss,0.3,0.8,support,5,483.2,6.568104749469209,0.0,0.0,483.2,6.568104749469209,0.5377136356546544,0.006597254029294988,0.26361999999999997,0.006073088176537539,0.26361999999999997,0.006073088176537531,,,,,,,,,18.318235100829042,0.5071155047724621,1.0,0.0,,,480.2,6.568104749469209,0.5176934387940241,0.012287554403208844,0.0,0.0,0.6946239352226258,0.004862756548248366,0.6946239352226258,0.004862756548248366,0.9777170538902282,0.002143813734676152,0.025591494716404223,0.000518734026789569,0.9903864423362192,0.0019973612551635028,0.9837096412162876,0.0021374824986779674,0.977863543208346,0.003104466215899118,0.0,0.0,0.0,0.0,0.2006335009666987,0.0008616640856459831,1.399683249516651,0.00043083204282301317
mnist,PU-R,0.3,0.0,support,5,800.0,0.0,1627.4,32.57698574147092,2427.4,32.57698574147092,0.5113822688348592,0.006537307126110305,0.2734,0.010244364304338258,0.2734,0.010244364304338264,,,,,,,,,104.23733533401973,0.49055944217529723,0.0,0.0,,,797.0,0.0,0.3365,0.004799088455113111,0.0,0.0,0.5584022879600525,0.0020340377403260924,0.5584022879600525,0.0020340377403260924,0.9961850047111511,0.0004695062662600174,0.007560250016692233,0.00010271445362069421,0.997747183979975,0.00025031289111387967,0.9982478097622026,0.0003065694296349253,0.9974968710888611,0.0003957794318108084,0.0,0.0,0.0,0.0,0.1639093054415221,0.0006966893206339824,1.418045347279239,0.0003483446603169924
mnist,PU-R,0.3,0.1,support,5,800.0,0.0,1436.4,34.050844336080715,2236.4,34.050844336080715,0.5242079852730968,0.007578582899419639,0.32652000000000003,0.007258815330341448,0.32652000000000003,0.007258815330341454,,,,,,,,,101.8560594440205,0.3594160643122887,0.0,0.0,,,797.0,0.0,0.392,0.0032258719751409874,0.0,0.0,0.5754318118095398,0.00479733880848748,0.5754318118095398,0.00479733880848748,0.99119952917099,0.00102737372979833,0.00947304527189009,0.00014783724134915567,0.9984981226533167,0.0002503128911138797,0.9982478097622028,0.0005006257822277816,0.997997496871089,0.0007509386733416612,0.0,0.0,0.0,0.0,0.168777614705639,0.000906325632627129,1.4156111926471806,0.00045316281631352677
mnist,PU-R,0.3,0.2,support,5,800.0,0.0,1158.6,18.299180309511133,1958.6,18.299180309511133,0.5183976509259083,0.0045895396813199485,0.33794,0.0070810027538477874,0.33794,0.007081002753847786,,,,,,,,,100.2955477525713,0.26627342157730494,0.0,0.0,,,797.0,0.0,0.44300000000000006,0.0071217097666220605,0.0,0.0,0.5790167450904846,0.0013563266645385383,0.5790167450904846,0.0013563266645385383,0.9870840430259704,0.0006219668267945446,0.009822241374138785,8.503667171312078e-05,0.9982478097622028,0.00030656942963492537,0.9984981226533167,0.0002503128911138797,0.9982478097622028,0.00030656942963492537,0.0,0.0,0.0,0.0,0.17142207629593353,0.0007737280042609655,1.4142889618520331,0.000386864002130466
mnist,PU-R,0.3,0.3,support,5,800.0,0.0,907.2,12.34665946724052,1707.2,12.34665946724052,0.5183509186259471,0.003541294825699037,0.31642000000000003,0.008718050240736165,0.31642,0.00871805024073617,,,,,,,,,98.26022737601306,0.21468268298883805,0.0,0.0,,,797.0,0.0,0.46399999999999997,0.01011959732400455,0.0,0.0,0.5921064853668213,0.003736090371311093,0.5921064853668213,0.003736090371311093,0.9894364714622498,0.0011135959311292343,0.00973209319088389,0.00022971716953326454,0.9987484355444305,0.0,0.9984981226533167,0.0002503128911138797,0.9984981226533167,0.0002503128911138797,0.0,0.0,0.0,0.0,0.1671305965822329,0.0007905431379103999,1.4164347017088836,0.00039527156895520277
mnist,PU-R,0.3,0.4,support,5,800.0,0.0,635.0,15.30686120666154,1435.0,15.30686120666154,0.5111343604279682,0.005127859010667915,0.31238,0.006332566620257528,0.31238,0.006332566620257538,,,,,,,,,97.44572707579937,0.34123730026675586,0.0,0.0,,,797.0,0.0,0.48650000000000004,0.010295630140987002,0.0,0.0,0.5810740828514099,0.0023544255633604944,0.5810740828514099,0.0023544255633604944,0.9895966172218322,0.0018958557036109944,0.00969624380057722,7.626267274014951e-05,0.9984981226533167,0.00025031289111387967,0.9987484355444305,0.0,0.9984981226533167,0.00025031289111387967,0.0,0.0,0.0,0.0,0.16973336202566683,0.000421919187525131,1.4151333189871667,0.00021095959376255622
